Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",640,9,10,1,410,21.58,Kings Park D,15,0,1,1,10,10.00,20
"
Darien B",620,9,9,1,400,22.22,Kings Park C,15,0,1,1,10,10.00,20
"
High Tech A",630,11,4,3,440,29.33,Middlesex Middle B,90,0,4,0,50,12.50,20
"
Mountain Lakes",570,7,11,1,360,20.00,Kings Park B,45,1,1,0,20,10.00,20
"
Livingston B",470,2,14,4,320,20.00,Great Neck South,25,0,2,1,10,5.00,20
"
Middlesex Middle A",450,5,9,3,300,21.43,South Side B,55,2,1,1,20,6.67,20
"
Livingston A",475,9,4,0,300,23.08,High Tech B,225,5,2,2,140,20.00,20
"
Bronx Science",465,8,5,3,310,23.85,Kellenberg B,215,2,5,1,140,20.00,20
"
Port Jefferson",325,2,9,3,220,20.00,Seton Hall Prep A,90,0,5,4,60,12.00,20
"
Clarke",335,2,9,1,220,20.00,High Tech C,180,1,7,1,100,12.50,20
"
Kellenberg A",320,2,10,2,200,16.67,Kings Park A,230,4,3,2,150,21.43,20
"
South Side A",150,1,6,3,90,12.86,North Babylon B,80,0,6,0,20,3.33,20
"
Darien C",340,4,7,0,210,19.09,Greens Farms A,275,3,6,2,180,20.00,20
"
Greens Farms B",265,5,5,0,140,14.00,Hastings A,205,2,4,3,150,25.00,20
"
Stuyvesant",225,1,9,0,120,12.00,Darien D,165,0,8,3,100,12.50,20
"
Staples",335,7,3,2,210,21.00,Woodland,295,4,6,1,180,18.00,20
"
Hastings B",175,0,8,1,100,12.50,Seton Hall Prep B,150,0,8,2,80,10.00,20
"
Hopkins",300,7,2,1,180,20.00,North Babylon A,285,5,5,4,180,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",640,8,11,0,410,21.58,Stuyvesant,25,0,1,1,20,20.00,20
"
Livingston B",510,3,15,1,320,17.78,South Side B,20,1,0,1,10,10.00,20
"
High Tech A",520,6,10,4,350,21.88,South Side A,45,0,3,1,20,6.67,20
"
Hopkins",480,8,7,0,290,19.33,Seton Hall Prep B,25,1,1,4,20,10.00,20
"
Kellenberg A",490,4,12,2,320,20.00,North Babylon B,80,0,3,0,50,16.67,20
"
Staples",480,6,9,2,310,20.67,Port Jefferson,115,1,4,0,60,12.00,20
"
Darien A",495,7,7,0,320,22.86,North Babylon A,145,3,3,2,80,13.33,20
"
Hastings B",370,1,14,3,230,15.33,Kings Park D,65,0,4,1,30,7.50,20
"
Mountain Lakes",405,5,8,2,260,20.00,Darien D,175,2,5,1,100,14.29,20
"
High Tech B",340,4,7,2,220,20.00,Kings Park B,150,0,6,0,90,15.00,20
"
Bronx Science",360,5,8,1,210,16.15,Greens Farms A,185,2,5,3,120,17.14,20
"
Middlesex Middle A",365,6,6,1,220,18.33,Hastings A,195,4,3,3,120,17.14,20
"
Greens Farms B",265,3,8,2,150,13.64,Great Neck South,110,0,7,2,50,7.14,20
"
Seton Hall Prep A",265,2,11,1,130,10.00,Kings Park C,130,2,3,0,70,14.00,20
"
Kings Park A",270,2,7,2,180,20.00,Middlesex Middle B,220,2,8,0,110,11.00,20
"
Kellenberg B",255,1,10,2,150,13.64,High Tech C,210,1,7,1,130,16.25,20
"
Clarke",285,1,10,0,170,15.45,Darien C,245,3,6,0,140,15.56,20
"
Woodland",375,5,6,0,240,21.82,Darien B,360,5,4,1,250,27.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
High Tech A",715,13,6,0,460,24.21,North Babylon B,0,0,0,0,0,0.00,20
"
Darien B",690,10,8,0,460,25.56,Seton Hall Prep A,5,1,0,2,0,0.00,20
"
Livingston A",650,8,10,0,430,23.89,Mountain Lakes,40,2,0,4,30,15.00,20
"
Middlesex Middle A",615,9,9,0,390,21.67,Greens Farms B,20,0,1,4,30,30.00,20
"
Staples",505,9,6,2,320,21.33,Kings Park C,70,0,3,0,40,13.33,20
"
Hopkins",505,11,5,0,290,18.12,Hastings B,105,3,0,0,60,20.00,20
"
Woodland",475,5,10,0,300,20.00,Port Jefferson,95,4,0,3,50,12.50,20
"
Kellenberg A",475,3,13,0,300,18.75,Middlesex Middle B,135,3,1,0,80,20.00,20
"
North Babylon A",400,6,6,2,260,21.67,Kings Park D,75,1,3,0,30,7.50,20
"
Darien A",480,10,3,2,310,23.85,Seton Hall Prep B,165,3,3,0,90,15.00,20
"
Bronx Science",470,9,5,1,290,20.71,High Tech C,205,3,3,0,130,21.67,20
"
Kings Park B",340,4,9,0,190,14.62,Darien D,130,2,4,2,70,11.67,20
"
High Tech B",340,2,11,2,210,16.15,Stuyvesant,135,1,4,0,80,16.00,20
"
Kings Park A",295,3,8,2,180,16.36,South Side A,95,2,4,1,30,5.00,20
"
Darien C",330,4,8,2,200,16.67,Kellenberg B,185,2,4,1,120,20.00,20
"
Great Neck South",170,2,7,4,90,10.00,South Side B,90,1,4,1,40,8.00,20
"
Greens Farms A",345,5,6,2,220,20.00,Clarke,275,2,7,1,180,20.00,20
"
Livingston B",325,6,3,3,220,24.44,Hastings A,315,6,4,1,190,19.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Woodland",575,6,12,1,370,20.56,Kings Park C,25,1,0,0,10,10.00,20
"
Darien B",590,10,6,0,380,23.75,Port Jefferson,100,2,2,2,60,15.00,20
"
Middlesex Middle A",535,7,9,2,350,21.88,Great Neck South,70,0,4,0,30,7.50,20
"
Kellenberg A",475,4,12,3,310,19.38,South Side A,15,0,1,1,10,10.00,20
"
High Tech B",485,1,14,2,340,22.67,Darien D,35,0,3,1,10,3.33,20
"
North Babylon A",505,7,9,2,320,20.00,Hastings B,85,0,4,1,50,12.50,20
"
Staples",445,5,9,4,300,21.43,Seton Hall Prep A,30,2,1,2,0,0.00,20
"
Hastings A",455,3,12,4,310,20.67,South Side B,40,0,2,0,20,10.00,20
"
Livingston A",500,4,10,4,360,25.71,Kings Park B,90,0,4,2,60,15.00,20
"
Livingston B",405,4,10,3,260,18.57,Greens Farms B,40,1,3,5,20,5.00,20
"
Middlesex Middle B",290,2,12,0,140,10.00,North Babylon B,25,0,1,1,20,20.00,20
"
Greens Farms A",360,4,8,4,240,20.00,Kellenberg B,130,0,7,2,70,10.00,20
"
High Tech A",380,7,6,3,230,17.69,Kings Park A,190,2,5,2,120,17.14,20
"
Mountain Lakes",345,2,9,5,250,22.73,Stuyvesant,175,1,7,2,100,12.50,20
"
Darien C",345,3,9,0,210,17.50,High Tech C,195,4,2,1,120,20.00,20
"
Hopkins",405,8,3,1,260,23.64,Darien A,305,4,5,3,210,23.33,20
"
Kings Park D",185,1,7,2,110,13.75,Seton Hall Prep B,160,2,6,2,80,10.00,20
"
Bronx Science",310,3,6,5,230,25.56,Clarke,300,4,6,0,180,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",550,11,4,1,350,23.33,Darien D,55,1,2,2,30,10.00,20
"
Hopkins",485,6,9,3,320,21.33,Kings Park D,10,0,1,0,0,0.00,20
"
Greens Farms A",495,8,9,1,290,17.06,High Tech C,50,1,2,3,30,10.00,20
"
Darien A",530,9,7,1,330,20.62,Hastings B,100,1,2,1,70,23.33,20
"
Woodland",465,8,6,1,290,20.71,Seton Hall Prep A,80,1,4,1,30,6.00,20
"
Bronx Science",435,6,8,1,270,19.29,Darien C,125,3,2,2,70,14.00,20
"
High Tech A",500,9,4,3,340,26.15,Kellenberg A,195,4,2,3,130,21.67,20
"
Hastings A",390,7,5,5,260,21.67,Great Neck South,110,0,5,0,60,12.00,20
"
Port Jefferson",355,5,8,4,220,16.92,Kings Park C,125,1,4,0,70,14.00,20
"
Mountain Lakes",430,6,7,2,280,21.54,High Tech B,205,4,2,1,130,21.67,20
