Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cornell A",505,5,14,0,290,15.26,Chicago C,50,0,3,2,30,10.00,22
"
Ohio State",485,6,11,1,290,17.06,Iowa,65,0,4,1,30,7.50,22
"
Texas A",490,5,12,1,300,17.65,Kenyon,80,2,3,0,20,4.00,23
"
Stanford A",490,8,9,2,290,17.06,Kentucky A,90,1,3,1,50,12.50,22
"
Harvard A",505,6,11,3,320,18.82,Penn State,110,1,4,3,70,14.00,24
"
WUSTL A",460,5,11,3,290,18.12,Northwestern B,110,1,4,1,60,12.00,21
"
Chicago A",305,2,11,3,180,13.85,Rutgers,110,0,5,4,80,16.00,21
"
Georgia Tech",280,4,8,2,150,12.50,Texas B,165,1,7,2,90,11.25,22
"
Brown A",245,4,6,3,140,14.00,Indiana,135,0,6,1,80,13.33,19
"
Florida",215,1,9,4,130,13.00,South Carolina,130,0,7,4,80,11.43,20
"
Columbia A",255,2,9,1,140,12.73,MIT A,180,1,7,1,100,12.50,21
"
Chicago B",190,0,8,4,130,16.25,UC Berkeley A,140,0,7,4,90,12.86,19
"
McGill A",235,1,10,0,120,10.91,Northwestern A,190,1,8,3,110,12.22,21
"
Yale A",255,3,8,2,140,12.73,Vanderbilt A,240,2,10,0,110,9.17,24
"
Maryland",220,1,8,1,130,14.44,Illinois,210,3,6,1,110,12.22,20
"
Columbia B",175,1,7,2,100,12.50,British Columbia,170,2,6,0,80,10.00,18
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Stanford A",650,4,16,0,430,21.50,Georgia Tech,75,2,1,3,50,16.67,24
"
Cornell A",440,6,8,2,280,20.00,Texas B,130,1,5,1,70,11.67,22
"
Ohio State",435,3,13,0,260,16.25,Northwestern A,130,1,4,3,90,18.00,21
"
Chicago A",375,5,8,2,230,17.69,Illinois,105,2,3,3,60,12.00,19
"
WUSTL A",430,5,10,3,270,18.00,UC Berkeley A,175,1,5,2,120,20.00,21
"
Vanderbilt A",355,4,9,5,230,17.69,Iowa,105,0,6,1,50,8.33,22
"
MIT A",330,2,11,0,190,14.62,Kentucky A,85,0,5,3,50,10.00,21
"
Columbia A",370,2,12,0,220,15.71,Chicago C,135,0,6,1,80,13.33,21
"
Texas A",395,3,10,2,260,20.00,Columbia B,175,1,5,2,120,20.00,21
"
Brown A",335,1,12,2,210,16.15,McGill A,135,0,6,3,90,15.00,21
"
Florida",340,1,12,1,210,16.15,Chicago B,140,1,5,5,100,16.67,24
"
Yale A",335,3,9,2,210,17.50,Indiana,165,1,7,0,80,10.00,21
"
Rutgers",235,2,9,5,140,12.73,Kenyon,140,2,4,2,80,13.33,20
"
Harvard A",275,3,7,6,190,19.00,South Carolina,205,3,6,0,100,11.11,21
"
British Columbia",245,2,9,3,140,12.73,Maryland,215,1,8,4,140,15.56,23
"
Northwestern B",220,0,10,0,120,12.00,Penn State,205,1,8,2,120,13.33,24
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Stanford A",430,2,12,4,300,21.43,Chicago C,85,0,5,1,40,8.00,21
"
Georgia Tech",385,3,12,2,230,15.33,Columbia A,100,1,4,3,60,12.00,21
"
Cornell A",360,3,11,5,230,16.43,MIT A,135,1,5,2,80,13.33,23
"
Ohio State",350,2,12,2,210,15.00,Indiana,160,1,6,3,100,14.29,21
"
Texas A",360,3,9,1,230,19.17,Illinois,180,2,6,0,90,11.25,20
"
Chicago B",290,3,9,3,170,14.17,Northwestern B,135,1,5,2,80,13.33,19
"
Harvard A",345,1,11,2,230,19.17,UC Berkeley A,205,2,7,3,120,13.33,22
"
Northwestern A",295,1,11,4,190,15.83,Yale A,170,1,7,3,100,12.50,23
"
Chicago A",280,1,11,3,170,14.17,Columbia B,155,0,8,5,100,12.50,22
"
WUSTL A",305,0,12,7,220,18.33,South Carolina,195,0,9,1,110,12.22,23
"
British Columbia",255,2,8,3,160,16.00,Kenyon,160,0,8,0,80,10.00,18
"
Vanderbilt A",240,2,8,6,160,16.00,Brown A,180,0,8,2,110,13.75,23
"
Maryland",240,1,9,3,150,15.00,Rutgers,185,3,5,2,100,12.50,19
"
McGill A",175,0,8,3,110,13.75,Iowa,135,1,6,2,70,10.00,22
"
Texas B",205,2,7,3,120,13.33,Kentucky A,170,1,8,1,80,8.89,23
"
Penn State",280,3,8,1,160,14.55,Florida,255,4,5,3,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Stanford A",475,2,17,1,280,14.74,Texas B,20,1,1,5,20,10.00,22
"
Harvard A",380,4,10,4,240,17.14,Northwestern B,100,0,5,2,60,12.00,23
"
Yale A",345,2,11,1,210,16.15,Iowa,70,0,5,2,30,6.00,20
"
WUSTL A",460,7,6,1,300,23.08,Chicago B,195,4,4,1,100,12.50,22
"
Northwestern A",355,3,11,2,210,15.00,Brown A,110,2,4,4,60,10.00,21
"
Chicago A",340,3,10,1,200,15.38,Kenyon,110,1,4,1,60,12.00,21
"
Illinois",310,3,10,1,170,13.08,Rutgers,85,0,6,5,50,8.33,24
"
Columbia A",305,1,12,4,190,14.62,Kentucky A,85,0,6,1,30,5.00,23
"
Ohio State",350,2,10,2,230,19.17,McGill A,165,1,6,0,90,12.86,23
"
Vanderbilt A",310,1,10,3,210,19.09,Indiana,195,1,8,0,100,11.11,21
"
MIT A",255,1,11,4,150,12.50,Chicago C,145,2,4,3,90,15.00,21
"
Texas A",285,1,11,0,160,13.33,British Columbia,195,4,3,3,120,17.14,19
"
Georgia Tech",300,5,8,1,150,11.54,Cornell A,215,3,5,4,140,17.50,22
"
UC Berkeley A",265,2,8,1,160,16.00,Florida,245,3,7,2,140,14.00,24
"
Penn State",195,0,11,3,100,9.09,South Carolina,180,0,10,2,90,9.00,25
"
Maryland",205,3,5,4,130,16.25,Columbia B,200,1,8,1,110,12.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Stanford A",405,4,10,1,250,17.86,MIT A,135,1,5,0,70,11.67,21
"
Georgia Tech",385,5,9,2,230,16.43,Kentucky A,150,0,6,2,100,16.67,21
"
Northwestern A",335,3,10,4,210,16.15,Iowa,115,0,6,1,60,10.00,20
"
Harvard A",410,4,10,2,260,18.57,Florida,200,1,8,3,120,13.33,24
"
Vanderbilt A",350,2,12,2,210,15.00,Ohio State,145,1,5,4,100,16.67,20
"
Chicago B",330,1,11,1,210,17.50,South Carolina,135,0,7,3,80,11.43,23
"
WUSTL A",360,2,11,2,230,17.69,Penn State,185,2,5,1,110,15.71,20
"
UC Berkeley A",270,0,12,4,170,14.17,Northwestern B,110,1,5,3,60,10.00,21
"
Columbia B",290,0,12,0,170,14.17,Kenyon,150,1,5,1,90,15.00,19
"
Illinois",245,1,10,2,140,12.73,British Columbia,115,0,6,3,70,11.67,22
"
Texas A",265,2,7,3,180,20.00,Rutgers,155,0,8,3,90,11.25,21
"
Chicago A",290,4,8,2,160,13.33,Maryland,210,1,8,3,130,14.44,22
"
Cornell A",300,5,7,3,170,14.17,Columbia A,225,1,8,0,130,14.44,21
"
Brown A",290,1,11,3,180,15.00,Yale A,230,0,9,2,150,16.67,22
"
Chicago C (OT)",220,1,10,1,110,10.00,Texas B,200,0,10,2,110,11.00,23
"
Indiana",260,2,8,2,160,16.00,McGill A,255,1,9,2,160,16.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ohio State",445,1,14,0,290,19.33,Brown A,160,2,5,0,80,11.43,23
"
Indiana",305,1,12,0,170,13.08,Iowa,80,0,4,0,40,10.00,24
