Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter B",585,13,3,2,370,23.12,High Tech B,70,2,1,0,30,10.00,20
"
Phillips Exeter",555,7,8,0,370,24.67,Hunter C,130,3,2,3,80,16.00,20
"
High Tech A",480,9,5,3,310,22.14,Belmont B,175,1,5,0,110,18.33,20
"
Hempfield",395,6,6,3,260,21.67,West Windsor-Plainsboro North B,105,0,4,1,70,17.50,20
"
Hunter A",505,10,2,3,350,29.17,Edison A,230,5,3,1,130,16.25,20
"
Marlboro",385,2,11,1,250,19.23,Wallenpaupack,110,1,5,1,50,8.33,20
"
Belmont A",450,8,5,0,280,21.54,John P. Stevens A,180,3,2,3,130,26.00,20
"
John P. Stevens B",365,3,12,2,210,14.00,Edison C,100,0,5,2,60,12.00,20
"
Moravian Academy A",385,2,10,1,260,21.67,Advanced Math & Science B,140,0,6,2,90,15.00,20
"
Advanced Math & Science A",360,6,5,6,250,22.73,Hunter D,135,2,4,1,70,11.67,20
"
Bishop Ludden B",235,2,10,3,120,10.00,Moravian Academy B,40,0,2,2,30,15.00,20
"
Bishop Ludden A",315,1,10,2,210,19.09,High Tech C,135,5,1,0,50,8.33,20
"
Plymouth",240,3,6,1,140,15.56,Cooperstown B,80,0,4,2,50,12.50,20
"
Adirondack Central",195,0,9,1,110,12.22,Edison B,115,1,6,2,50,7.14,20
"
Ridgewood B",220,5,5,3,110,11.00,West Windsor-Plainsboro North A,195,0,8,1,120,15.00,20
"
John P. Stevens C",185,1,8,2,100,11.11,West Windsor-Plainsboro North C,160,2,5,0,80,11.43,20
"
Ridgewood A",360,4,6,2,250,25.00,Livingston A,340,6,3,2,230,25.56,20
"
Livingston B",205,4,5,1,100,11.11,Cooperstown A,200,0,8,2,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",570,8,8,2,380,23.75,John P. Stevens C,65,1,2,2,40,13.33,20
"
Hunter B",590,9,7,1,390,24.38,Marlboro,105,0,3,1,80,26.67,20
"
Advanced Math & Science A",505,5,11,2,330,20.62,West Windsor-Plainsboro North C,30,0,2,0,10,5.00,20
"
John P. Stevens A",525,6,10,3,350,21.88,Plymouth,60,0,3,0,30,10.00,20
"
Hunter A",555,11,3,4,380,27.14,Hempfield,195,2,4,1,130,21.67,20
"
High Tech A",460,8,6,6,310,22.14,Livingston B,120,0,5,0,70,14.00,20
"
Belmont A",470,9,5,1,290,20.71,Bishop Ludden A,195,1,5,0,130,21.67,20
"
Phillips Exeter",440,8,4,6,310,25.83,West Windsor-Plainsboro North A,165,1,6,0,90,12.86,20
"
Ridgewood A",430,7,6,1,270,20.77,Hunter D,180,4,3,0,90,12.86,20
"
Advanced Math & Science B",250,1,10,1,140,12.73,West Windsor-Plainsboro North B,80,0,6,4,40,6.67,20
"
Belmont B",285,3,9,2,160,13.33,Edison B,115,2,5,1,40,5.71,20
"
High Tech C",250,0,11,0,140,12.73,Cooperstown B,85,1,5,2,30,5.00,20
"
Ridgewood B",210,1,8,3,130,14.44,Edison C,130,2,5,0,50,7.14,20
"
Hunter C",325,5,6,4,210,19.09,John P. Stevens B,245,2,7,1,150,16.67,20
"
High Tech B",220,4,5,4,130,14.44,Bishop Ludden B,155,1,6,0,80,11.43,20
"
Edison A",295,4,6,1,180,18.00,Moravian Academy A,270,1,8,1,180,20.00,20
"
Adirondack Central",230,2,8,0,120,12.00,Cooperstown A,210,1,7,1,130,16.25,20
