Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop Ludden D",210,2,8,0,100,10.00,Cooperstown B,20,0,2,0,0,0.00,20
"
Bishop Ludden B",205,1,9,2,110,11.00,Wallenpaupack B,20,0,2,2,10,5.00,20
"
Saratoga Springs",220,0,12,2,110,9.17,Bishop Ludden C,40,0,3,2,20,6.67,20
"
Cooperstown A",295,4,6,3,190,19.00,Moravia,125,0,7,1,60,8.57,20
"
Bishop Ludden A",185,2,8,5,100,10.00,Geneva,40,0,2,0,20,10.00,20
"
Berwick A",230,0,11,0,120,10.91,Wallenpaupack A,115,1,5,0,50,8.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cooperstown A",300,3,10,1,160,12.31,Bishop Ludden C,0,0,0,0,0,0.00,20
"
Adirondack Central",180,2,8,4,90,9.00,Wallenpaupack A,0,0,0,0,0,0.00,20
"
Berwick A",190,0,12,0,70,5.83,Cooperstown B,30,0,3,2,10,3.33,20
"
Berwick B",110,4,3,6,50,7.14,Wallenpaupack B,30,0,3,0,0,0.00,20
"
Moravia",125,1,7,2,50,6.25,Bishop Ludden B,85,1,6,2,20,2.86,20
"
Bishop Ludden D",140,2,7,2,50,5.56,Bishop Ludden A,110,1,6,3,50,7.14,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Berwick B",270,2,12,2,130,9.29,Saratoga Springs,60,0,3,0,30,10.00,20
"
Adirondack Central",205,0,10,1,110,11.00,Geneva,60,0,5,2,20,4.00,20
"
Moravia",180,2,8,2,80,8.00,Wallenpaupack B,50,0,4,2,20,5.00,20
"
Bishop Ludden A",185,0,11,3,90,8.18,Berwick A,70,1,3,1,30,7.50,20
"
Bishop Ludden B",160,1,7,3,90,11.25,Bishop Ludden C,65,0,5,1,20,4.00,20
"
Cooperstown B",75,1,4,2,30,6.00,Wallenpaupack A,70,1,4,1,20,4.00,20
