Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkins A",365,3,11,2,220,15.71,Bishop Ludden C,30,0,2,0,10,5.00,20
"
Staples",420,3,12,3,270,18.00,Bishop Ludden A,125,1,4,2,80,16.00,20
"
Berwick Middle",175,1,9,2,80,8.00,Union Springs,60,0,3,0,30,10.00,20
"
Hopkins B",195,0,10,1,100,10.00,Bishop Ludden D,90,0,6,0,30,5.00,20
"
Berwick A",195,1,10,2,90,8.18,Ithaca,100,0,6,0,40,6.67,20
"
Bishop Ludden B",155,0,7,1,90,12.86,Geneva,150,0,7,0,80,11.43,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkins A",370,3,10,3,240,18.46,Geneva,50,0,3,2,30,10.00,20
"
Berwick B",250,0,11,0,140,12.73,Union Springs,5,0,1,1,0,0.00,20
"
Berwick Middle",205,0,10,1,110,11.00,Hopkins B,85,0,7,1,20,2.86,20
"
Bishop Ludden A",185,0,10,3,100,10.00,Bishop Ludden D,85,0,5,1,40,8.00,20
"
Ithaca",115,0,7,1,50,7.14,Bishop Ludden B,90,0,6,2,40,6.67,20
"
Saratoga Springs",195,0,9,1,110,12.22,Berwick A,185,0,9,1,100,11.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Staples",510,4,12,2,340,21.25,Berwick B,55,1,2,0,20,6.67,20
"
Hopkins A",310,1,10,5,220,20.00,Ithaca,90,1,4,1,40,8.00,20
"
Bishop Ludden A",250,2,9,0,130,11.82,Berwick Middle,70,0,4,0,30,7.50,20
"
Saratoga Springs",200,1,9,1,100,10.00,Bishop Ludden C,45,1,3,2,10,2.50,20
"
Hopkins B",185,0,12,3,80,6.67,Union Springs,70,0,4,0,30,7.50,20
"
Berwick A",180,1,8,1,90,10.00,Bishop Ludden B,80,0,5,0,30,6.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Staples",435,6,8,5,290,20.71,Bishop Ludden D,60,0,4,0,20,5.00,20
"
Bishop Ludden A",295,0,14,1,160,11.43,Union Springs,5,0,1,1,0,0.00,20
"
Hopkins A",340,3,11,1,190,13.57,Berwick A,120,1,4,1,70,14.00,20
"
Geneva",225,1,9,0,120,12.00,Bishop Ludden C,75,1,3,0,30,7.50,20
"
Saratoga Springs",215,0,8,1,140,17.50,Bishop Ludden B,95,0,6,1,40,6.67,20
"
Hopkins B",180,0,9,0,90,10.00,Berwick B,100,0,5,0,50,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Staples",520,5,12,1,330,19.41,Berwick Middle,-10,0,0,2,0,0.00,20
"
Hopkins A",410,6,10,2,230,14.38,Bishop Ludden B,80,0,4,0,40,10.00,20
"
Berwick B",140,0,8,0,60,7.50,Bishop Ludden D,35,0,4,1,0,0.00,20
"
Bishop Ludden A",180,0,11,4,90,8.18,Hopkins B,120,0,6,0,60,10.00,20
"
Geneva",160,1,7,1,80,10.00,Saratoga Springs,120,3,3,1,50,8.33,20
"
Ithaca",100,1,4,1,50,10.00,Bishop Ludden C,65,1,3,0,20,5.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Staples",495,7,11,2,290,16.11,Union Springs,0,0,0,0,0,0.00,20
"
Hopkins A",375,5,8,2,230,17.69,Saratoga Springs,95,0,4,1,60,15.00,20
"
Berwick A",270,0,11,2,170,15.45,Bishop Ludden C,-10,0,0,2,0,0.00,20
"
Berwick Middle",235,1,10,2,130,11.82,Bishop Ludden D,35,0,3,1,10,3.33,20
"
Geneva",150,1,6,3,90,12.86,Ithaca,75,0,5,3,40,8.00,20
"
Bishop Ludden A",185,1,5,2,130,21.67,Berwick B,125,0,7,3,70,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Staples",595,9,7,2,400,25.00,Hopkins B,20,0,1,2,20,20.00,20
"
Saratoga Springs",190,2,7,0,90,10.00,Ithaca,60,1,2,1,30,10.00,20
"
Geneva",185,0,9,1,100,11.11,Berwick A,125,2,4,3,70,11.67,20
"
Bishop Ludden C",120,1,6,1,50,7.14,Bishop Ludden B,80,2,3,0,20,4.00,20
"
Union Springs",90,2,3,0,30,6.00,Bishop Ludden D,70,0,5,0,20,4.00,20
"
Berwick B (OT)",125,1,4,0,70,14.00,Berwick Middle,120,1,6,3,60,8.57,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Staples",325,5,7,4,200,16.67,Berwick A,110,0,5,0,60,12.00,20
"
Geneva",230,2,8,2,130,13.00,Bishop Ludden A,25,1,2,4,10,3.33,20
"
Hopkins B",215,1,9,0,110,11.00,Ithaca,30,1,1,1,10,5.00,20
"
Hopkins A",270,3,8,1,150,13.64,Berwick Middle,85,0,5,1,40,8.00,20
"
Saratoga Springs",200,3,7,1,90,9.00,Berwick B,20,0,2,0,0,0.00,20
"
Bishop Ludden C",100,2,4,0,30,5.00,Union Springs,75,0,5,1,30,6.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkins A",325,4,8,3,200,16.67,Geneva,80,0,3,0,50,16.67,20
"
Staples",365,7,5,6,240,20.00,Berwick B,135,1,5,0,70,11.67,20
"
Bishop Ludden B",225,1,9,0,120,12.00,Hopkins B,85,1,3,0,40,10.00,20
"
Saratoga Springs",215,2,7,1,120,13.33,Berwick A,140,1,5,1,80,13.33,20
"
Berwick Middle",225,0,10,1,130,13.00,Bishop Ludden A,155,0,7,3,100,14.29,20
"
Bishop Ludden D",85,0,4,1,50,12.50,Union Springs,70,0,4,0,30,7.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Staples",350,4,9,4,220,16.92,Saratoga Springs,50,0,3,0,20,6.67,20
"
Hopkins A",225,0,10,3,140,14.00,Bishop Ludden A,50,1,3,1,10,2.50,20
"
Berwick A",150,0,10,2,60,6.00,Berwick B,55,0,3,1,30,10.00,20
"
Geneva",125,0,5,1,80,16.00,Berwick Middle,65,1,4,2,20,4.00,20
"
Bishop Ludden D",90,0,6,0,30,5.00,Bishop Ludden C,40,0,2,2,30,15.00,20
"
Bishop Ludden B",65,0,4,1,30,7.50,Ithaca,35,0,3,1,10,3.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Berwick A",295,2,11,1,160,12.31,Berwick Middle,35,0,1,1,30,30.00,20
"
Staples",370,0,13,2,250,19.23,Hopkins A,140,1,4,3,100,20.00,20
"
Saratoga Springs",190,1,6,1,120,17.14,Geneva,40,0,4,2,10,2.50,20
"
Bishop Ludden A",200,1,9,3,110,11.00,Berwick B,100,0,6,2,50,8.33,20
