Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Piedmont",205,0,8,1,130,16.25,Norman A,70,0,3,0,40,13.33,15
"
Edmond North B",115,1,4,0,60,12.00,Russellville B,50,0,3,0,20,6.67,13
"
Edmond North A",155,1,5,2,100,16.67,Russellville A,110,0,5,2,70,14.00,11
"
Lawton",150,1,5,1,90,15.00,Jenks A,120,0,6,0,60,10.00,13
"
Yukon A",100,0,5,0,50,10.00,El Reno A,90,0,4,0,50,12.50,20
"
Norman B",90,0,5,0,40,8.00,Enid A,80,0,5,0,30,6.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jenks B",355,1,12,0,220,16.92,Enid A,-5,0,0,1,0,0.00,15
"
Piedmont",220,2,6,0,130,16.25,Edmond North A,80,0,5,6,60,12.00,13
"
Stillwater",180,3,4,1,100,14.29,Edmond North B,55,0,3,3,40,13.33,13
"
Norman B",110,2,4,0,40,6.67,El Reno A,80,1,2,1,50,16.67,10
"
Yukon A",115,1,4,0,60,12.00,Jenks A,90,0,4,0,50,12.50,11
"
Norman A",90,0,4,0,50,12.50,Russellville B,85,1,4,2,40,8.00,11
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Edmond North A",265,1,9,2,170,17.00,Russellville B,0,0,1,2,0,0.00,16
"
Edmond North B",180,1,7,1,100,12.50,Norman A,40,0,3,0,10,3.33,12
"
Stillwater",165,1,5,2,110,18.33,Russellville A,90,0,5,2,50,10.00,11
"
El Reno A",105,0,7,1,40,5.71,Enid A,35,0,3,1,10,3.33,15
"
Jenks A",125,1,4,2,80,16.00,Norman B,80,0,3,0,50,16.67,11
"
Jenks B",140,1,3,1,100,25.00,Lawton,125,2,4,1,60,10.00,11
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jenks A",225,0,8,1,150,18.75,Enid A,20,0,1,0,10,10.00,15
"
Edmond North A",230,2,6,2,150,18.75,Edmond North B,80,1,2,1,50,16.67,12
"
Lawton",190,1,5,3,140,23.33,Yukon A,70,0,6,0,10,1.67,12
"
Jenks B",220,1,6,1,150,21.43,El Reno A,105,0,3,1,80,26.67,12
"
Stillwater",215,0,9,1,130,14.44,Norman A,120,1,4,1,70,14.00,15
"
Piedmont",160,2,5,2,90,12.86,Russellville A,85,0,4,1,50,12.50,12
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Stillwater",235,2,6,1,150,18.75,Piedmont,45,0,3,1,20,6.67,13
"
Lawton",195,2,6,1,110,13.75,Norman B,20,0,2,2,10,5.00,12
"
Jenks B",230,0,8,2,160,20.00,Yukon A,55,1,2,0,20,6.67,16
