Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Winston Churchill A",540,11,5,3,340,21.25,Gunston B,75,1,3,0,30,7.50,20
"
McLean A",525,7,8,2,350,23.33,Wilde Lake,75,0,4,1,40,10.00,20
"
Wilmington Charter A",480,6,9,0,300,20.00,Montgomery Blair C,100,2,3,6,70,14.00,20
"
Georgetown Day",460,7,7,1,290,20.71,Longfellow Middle B,120,2,4,2,60,10.00,20
"
Montgomery Blair A",390,6,6,4,260,21.67,Wilmington Charter B,190,3,4,1,110,15.71,20
"
Winston Churchill B",315,3,10,2,180,13.85,Gonzaga,145,1,5,0,80,13.33,20
"
Montgomery Blair B",290,4,8,2,160,13.33,Wilmington Charter C,125,1,6,0,50,7.14,20
"
Longfellow Middle A",290,3,8,7,200,18.18,Gunston A,140,0,6,0,80,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Georgetown Day",495,5,11,2,320,20.00,Gonzaga,25,1,1,0,0,0.00,20
"
Winston Churchill A",470,5,9,5,330,23.57,Wilde Lake,80,0,4,2,50,12.50,20
"
Wilmington Charter B",200,1,8,1,110,12.22,Gunston B,15,0,2,1,0,0.00,20
"
Montgomery Blair C",260,2,9,4,160,14.55,Gunston A,85,1,4,2,40,8.00,20
"
McLean B",305,3,6,0,200,22.22,Longfellow Middle A,200,0,8,4,140,17.50,20
"
Wilmington Charter C",95,0,5,3,60,12.00,Longfellow Middle B,20,1,2,7,20,6.67,20
"
Montgomery Blair A",370,6,4,2,250,25.00,McLean A,310,2,7,2,220,24.44,20
"
Montgomery Blair B",205,1,8,0,110,12.22,Winston Churchill B,170,1,6,3,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Montgomery Blair A",475,4,12,3,310,19.38,Gunston B,65,1,2,0,30,10.00,20
"
Georgetown Day",310,3,10,7,200,15.38,Wilmington Charter C,45,0,3,1,20,6.67,20
"
Wilmington Charter A",265,3,8,4,160,14.55,Gunston A,95,1,4,2,50,10.00,20
"
Montgomery Blair B",235,0,10,1,140,14.00,Gonzaga,70,1,4,1,20,4.00,20
"
McLean B",265,1,9,0,160,16.00,Montgomery Blair C,150,1,7,5,90,11.25,20
"
McLean A",350,4,6,0,230,23.00,Winston Churchill A,305,4,5,5,220,24.44,20
"
Wilmington Charter B",200,0,10,2,110,11.00,Wilde Lake,160,0,6,2,110,18.33,20
