Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ranney",465,7,7,6,320,22.86,Atlantic City,10,0,1,0,0,0.00,20
"
Hightstown",505,4,12,3,340,21.25,Manasquan,55,0,2,1,40,20.00,20
"
Princeton High",495,7,7,4,340,24.29,High Tech B,105,2,3,1,50,10.00,20
"
Middlesex County Academy B",355,3,11,2,210,15.00,Shawnee A,15,1,1,2,0,0.00,20
"
Biotech A",365,3,9,6,260,21.67,Jackson Memorial B,45,1,2,0,10,3.33,20
"
Lenape C",315,0,12,1,200,16.67,Ocean Township,20,0,1,0,10,10.00,20
"
Biotech C",295,5,7,2,160,13.33,Jackson Memorial A,15,0,1,1,10,10.00,20
"
Lenape A",310,2,13,0,150,10.00,Seneca,50,0,3,0,20,6.67,20
"
Brick Memorial",240,0,12,0,120,10.00,Shawnee D,0,0,0,0,0,0.00,20
"
Middlesex County Academy A",310,2,10,0,180,15.00,Academy of Allied Health and Science,170,2,4,2,110,18.33,20
"
Biotech B",235,1,8,4,160,17.78,Shawnee C,130,2,4,0,60,10.00,20
"
Biotech D",225,1,9,2,130,13.00,Shawnee B,140,0,6,2,90,15.00,20
"
High Tech C",220,1,7,1,140,17.50,Lenape D,180,0,8,2,110,13.75,20
"
Princeton International",195,2,7,1,100,11.11,Lenape B,180,2,5,2,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Princeton High",565,6,9,3,400,26.67,Lenape A,45,0,2,3,40,20.00,20
"
Ranney",520,2,14,2,360,22.50,Shawnee B,20,0,1,0,10,10.00,20
"
Hightstown",455,1,14,4,320,21.33,Jackson Memorial B,-10,0,0,2,0,0.00,20
"
Biotech A",495,4,11,1,330,22.00,Lenape D,95,1,3,0,50,12.50,20
"
Academy of Allied Health and Science",330,1,11,3,220,18.33,Shawnee D,40,0,3,0,10,3.33,20
"
High Tech A",385,3,10,4,260,20.00,Lenape C,130,2,4,2,70,11.67,20
"
Middlesex County Academy B",315,0,12,3,210,17.50,Ocean Township,90,0,3,0,60,20.00,20
"
Shawnee C",290,0,13,0,160,12.31,Seneca,70,0,4,0,30,7.50,20
"
Lenape B",205,0,9,1,120,13.33,Atlantic City,90,0,5,0,40,8.00,20
"
High Tech C",215,3,5,4,140,17.50,Manasquan,140,0,6,0,80,13.33,20
"
Biotech B",230,2,5,0,150,21.43,High Tech B,190,3,6,3,100,11.11,20
"
Biotech D",180,1,8,1,90,10.00,Princeton International,145,0,7,3,90,12.86,20
"
Jackson Memorial A",150,0,7,0,80,11.43,Brick Memorial,125,0,7,1,60,8.57,20
"
Middlesex County Academy A",260,0,9,0,170,18.89,Biotech C,250,0,9,2,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Princeton High",545,3,14,2,370,21.76,Seneca,0,0,0,0,0,0.00,20
"
Middlesex County Academy A",330,2,11,2,200,15.38,Jackson Memorial A,40,0,2,0,20,10.00,20
"
Ranney",350,4,7,6,250,22.73,Biotech D,80,0,3,0,50,16.67,20
"
Hightstown",365,2,11,1,230,17.69,Lenape D,105,0,5,3,70,14.00,20
"
Academy of Allied Health and Science",210,0,11,2,110,10.00,Brick Memorial,40,1,2,1,10,3.33,20
"
High Tech A",305,1,11,2,190,15.83,Middlesex County Academy B,135,1,4,2,90,18.00,20
"
Biotech C",220,2,7,4,140,15.56,Shawnee D,60,0,4,0,20,5.00,20
"
Biotech A",275,2,8,5,190,19.00,High Tech C,130,2,4,2,70,11.67,20
"
High Tech B",150,0,8,2,80,10.00,Shawnee C,75,0,5,1,30,6.00,20
"
Princeton International",110,0,6,2,60,10.00,Atlantic City,55,1,2,0,20,6.67,20
"
Biotech B",165,2,6,5,100,12.50,Lenape A,125,0,6,3,80,13.33,20
"
Manasquan",75,1,5,2,20,3.33,Jackson Memorial B,45,1,3,0,0,0.00,20
"
Shawnee B",130,1,5,1,70,11.67,Lenape B,110,1,3,5,90,22.50,20
"
Shawnee A",115,0,8,3,50,6.25,Ocean Township,100,0,6,2,50,8.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Middlesex County Academy A",505,5,12,0,310,18.24,Brick Memorial,60,0,3,0,30,10.00,20
"
Hightstown",515,8,7,1,330,22.00,Biotech A,100,1,2,1,70,23.33,20
"
Princeton High",525,5,8,2,380,29.23,Biotech B,135,2,4,1,70,11.67,20
"
High Tech A",435,3,11,0,280,20.00,Shawnee A,50,0,2,0,30,15.00,20
"
Lenape A",410,3,11,3,270,19.29,Shawnee C,50,0,3,0,20,6.67,20
"
Ranney",400,4,8,6,290,24.17,Lenape B,125,1,5,0,60,10.00,20
"
High Tech C",270,3,9,3,150,12.50,Jackson Memorial B,10,0,1,0,0,0.00,20
"
High Tech B",280,1,9,1,180,18.00,Seneca,30,0,2,0,10,5.00,20
"
Middlesex County Academy B",365,5,9,0,200,14.29,Lenape C,130,0,5,2,90,18.00,20
"
Jackson Memorial A",180,1,9,1,80,8.00,Shawnee D,10,0,1,0,0,0.00,20
"
Lenape D",225,1,8,4,150,16.67,Manasquan,115,1,5,0,50,8.33,20
"
Biotech D",180,0,8,2,110,13.75,Atlantic City,95,0,5,1,50,10.00,20
"
Shawnee B",155,3,3,0,80,13.33,Princeton International,135,2,5,1,60,8.57,20
"
Biotech C",245,3,7,2,140,14.00,Academy of Allied Health and Science,225,1,8,0,130,14.44,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Princeton High",650,8,9,2,450,26.47,Shawnee C,50,0,2,0,30,15.00,20
"
High Tech A",570,2,16,0,380,21.11,Ocean Township,0,0,0,0,0,0.00,20
"
Lenape D",420,3,12,1,260,17.33,Jackson Memorial B,5,0,1,1,0,0.00,20
"
Hightstown",460,5,11,1,280,17.50,High Tech C,80,1,2,1,50,16.67,20
"
Biotech B",405,2,12,1,260,18.57,Seneca,30,0,1,0,20,20.00,20
"
Biotech A",390,3,12,1,230,15.33,Manasquan,50,0,2,0,30,15.00,20
"
Ranney",390,5,6,5,280,25.45,Princeton International,70,1,3,1,30,7.50,20
"
Middlesex County Academy A",320,4,7,2,200,18.18,Shawnee D,40,0,4,0,0,0.00,20
"
Lenape C",250,1,9,1,150,15.00,Shawnee A,110,0,5,0,60,12.00,20
"
Lenape A",270,4,5,2,170,18.89,High Tech B,160,0,6,2,110,18.33,20
"
Academy of Allied Health and Science",225,3,7,2,120,12.00,Jackson Memorial A,120,3,2,1,60,12.00,20
"
Biotech C",205,1,7,2,130,16.25,Brick Memorial,140,0,6,0,80,13.33,20
"
Shawnee B",205,2,7,1,110,12.22,Atlantic City,150,0,8,2,80,10.00,20
"
Lenape B",195,3,4,4,130,18.57,Biotech D,150,1,7,1,70,8.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Princeton High",570,11,5,1,360,22.50,Biotech C,70,2,1,2,40,13.33,20
"
High Tech A",430,4,9,2,290,22.31,Biotech B,105,2,3,3,60,12.00,20
"
Ranney",430,5,9,3,280,20.00,Biotech D,110,2,3,0,50,10.00,20
"
Biotech A",370,5,8,3,230,17.69,Lenape C,120,1,4,3,80,16.00,20
"
Lenape D",280,1,10,1,170,15.45,High Tech C,110,2,4,6,70,11.67,20
"
Hightstown",350,6,5,2,220,20.00,Middlesex County Academy B,215,3,5,2,130,16.25,20
"
Atlantic City",210,2,6,0,120,15.00,Jackson Memorial B,80,0,5,0,30,6.00,20
"
Seneca",125,0,8,1,50,6.25,Shawnee D,40,0,3,0,10,3.33,20
"
Manasquan",200,1,8,3,120,13.33,Jackson Memorial A,135,0,7,3,80,11.43,20
"
Middlesex County Academy A",260,3,6,1,160,17.78,Lenape A,205,2,7,1,110,12.22,20
"
Shawnee C",240,2,7,0,140,15.56,Brick Memorial,185,0,10,1,90,9.00,20
"
Shawnee B",230,0,10,2,140,14.00,High Tech B,175,2,7,3,90,10.00,20
"
Princeton International",220,1,9,1,120,12.00,Shawnee A,175,1,7,0,90,11.25,20
"
Academy of Allied Health and Science",220,1,9,1,120,12.00,Lenape B,200,2,6,0,110,13.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Middlesex County Academy B",310,0,13,0,180,13.85,Lenape A,115,1,4,4,80,16.00,20
"
Princeton High",355,3,8,2,240,21.82,Middlesex County Academy A,165,1,7,4,100,12.50,20
"
Academy of Allied Health and Science",290,3,10,1,150,11.54,Lenape D,155,0,7,1,90,12.86,20
"
Biotech D",210,1,12,1,80,6.15,High Tech A,110,1,5,5,70,11.67,20
"
Shawnee B",185,1,8,0,90,10.00,High Tech C,95,0,5,3,60,12.00,20
"
Shawnee C",195,1,9,0,90,9.00,Jackson Memorial A,110,0,6,0,50,8.33,20
"
Ranney",320,2,9,2,210,19.09,Biotech A,255,1,8,2,170,18.89,20
"
Seneca",140,0,10,0,40,4.00,Ocean Township,80,1,4,1,30,6.00,20
"
Biotech C",260,1,10,1,150,13.64,Hightstown,210,2,6,2,130,16.25,20
"
Manasquan",195,0,9,1,110,12.22,Shawnee A,145,0,9,1,60,6.67,20
"
Lenape B",180,2,7,2,90,10.00,High Tech B,135,0,8,1,60,7.50,20
