Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cinco Ranch A",645,10,8,1,420,23.33,TAG Magnet A,45,0,2,1,30,15.00,20
"
James E. Taylor",540,4,13,0,350,20.59,Village,105,3,0,2,70,23.33,20
"
Greenhill A",505,8,7,3,330,22.00,St. Mark's School of Texas C,75,0,3,1,50,16.67,20
"
St. Mark's School of Texas A",360,3,8,5,260,23.64,Georgetown Prep,190,2,5,0,110,15.71,20
"
Kinkaid",400,7,4,3,270,24.55,Greenhill B,310,4,5,0,200,22.22,20
"
Strake Jesuit A",390,6,5,4,270,24.55,Seven Lakes,335,5,4,0,220,24.44,20
"
St. John's A",275,4,5,1,170,18.89,St. Mark's School of Texas B,260,1,9,1,160,16.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Kinkaid",615,10,7,1,400,23.53,Seven Lakes,100,1,2,1,70,23.33,20
"
Greenhill A",470,6,9,4,310,20.67,Georgetown Prep,60,0,2,0,40,20.00,20
"
St. Mark's School of Texas A",430,6,7,4,290,22.31,James E. Taylor,185,1,4,0,130,26.00,20
"
Greenhill B",350,4,7,0,220,20.00,TAG Magnet A,160,1,6,5,110,15.71,20
"
Cinco Ranch A",440,7,5,3,300,25.00,Strake Jesuit A,270,3,5,3,190,23.75,20
"
Village",270,1,10,3,170,15.45,St. Mark's School of Texas C,165,3,4,2,90,12.86,20
"
Cinco Ranch B",285,0,10,1,190,19.00,Strake Jesuit B,275,3,7,2,170,17.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",570,10,6,2,370,23.12,Georgetown Prep,120,0,4,0,80,20.00,20
"
St. John's A",440,7,6,1,280,21.54,St. Mark's School of Texas C,120,1,5,1,60,10.00,20
"
Greenhill A",495,11,3,0,300,21.43,James E. Taylor,185,3,3,0,110,18.33,20
"
St. Mark's School of Texas B",325,3,8,4,220,20.00,TAG Magnet A,155,2,5,1,80,11.43,20
"
Greenhill B",310,2,8,2,210,21.00,Cinco Ranch B,175,2,6,5,110,13.75,20
"
Cinco Ranch A",425,7,5,0,270,22.50,Kinkaid,310,6,2,2,210,26.25,20
"
Strake Jesuit B",260,4,4,4,180,22.50,Village,245,3,7,2,140,14.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Greenhill A",640,11,6,1,420,24.71,Village,50,0,2,2,40,20.00,20
"
Cinco Ranch A",550,10,6,2,350,21.88,Greenhill B,65,0,3,1,40,13.33,20
"
James E. Taylor",475,4,12,1,300,18.75,St. Mark's School of Texas C,65,1,2,2,40,13.33,20
"
Kinkaid",360,4,8,6,250,20.83,TAG Magnet A,45,0,3,3,30,10.00,20
"
St. Mark's School of Texas A",375,2,10,1,250,20.83,Seven Lakes,195,1,6,2,130,18.57,20
"
Strake Jesuit B",320,3,8,1,200,18.18,St. John's A,205,2,5,1,130,18.57,20
"
St. Mark's School of Texas B",275,1,9,2,180,18.00,Cinco Ranch B,205,4,4,3,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Seven Lakes",605,6,11,1,410,24.12,Georgetown Prep,70,0,3,0,40,13.33,20
"
Kinkaid",535,9,5,4,370,26.43,Cinco Ranch B,130,0,5,2,90,18.00,20
"
Cinco Ranch A",525,6,9,1,350,23.33,St. Mark's School of Texas B,145,2,3,1,90,18.00,20
