\nFremd A,395,Belmont A,355
\nCedar Crest High School,415,Belmont B,240
\nFremd B,465,Community School of Naples,140
\nWest Windsor-Plainsboro North A,430,West Windsor-Plainsboro North B,210
\nBelmont A,450,Cedar Crest High School,240
\nFremd B,315,West Windsor-Plainsboro North B,265
\nWest Windsor-Plainsboro North A,635,Community School of Naples,45
\nFremd A,440,Belmont B,180
\nWest Windsor-Plainsboro North A,450,Fremd B,230
\nCedar Crest High School,410,Fremd A,255
\nBelmont A,590,Belmont B,120
\nCommunity School of Naples,260,West Windsor-Plainsboro North B,200
\nFremd A,380,Belmont A,320
