Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hoover A",530,7,8,3,360,24.00,Holy Spirit,130,4,1,2,70,14.00,20
"
Alabama Cyber Tech",240,3,8,1,120,10.91,Good Hope,65,1,3,2,30,7.50,20
"
Bob Jones",250,5,5,5,150,15.00,St. Bernard Prep,90,1,4,1,40,8.00,20
"
West Point A",245,1,8,6,180,20.00,Lamar,155,1,6,2,90,12.86,20
"
Hoover C",195,0,8,1,120,15.00,West Point B,110,0,6,2,60,10.00,20
"
Hoover B",240,4,6,4,140,14.00,Vestavia Hills,200,2,6,2,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hoover B",485,6,11,3,300,17.65,Good Hope,10,0,1,2,10,10.00,20
"
Hoover A",470,7,6,5,330,25.38,Bob Jones,110,1,4,1,60,12.00,20
"
West Point A",295,2,8,3,200,20.00,Alabama Cyber Tech,115,1,5,6,80,13.33,20
"
St. Bernard Prep",155,0,9,1,70,7.78,West Point B,80,1,4,1,30,6.00,20
"
Holy Spirit",230,1,9,3,140,14.00,Hoover C,160,0,7,4,110,15.71,20
"
Lamar",205,1,9,2,110,11.00,Vestavia Hills,190,1,7,1,110,13.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hoover A",510,6,8,4,360,25.71,St. Bernard Prep,55,0,4,1,20,5.00,20
"
Vestavia Hills",305,3,10,2,170,13.08,Good Hope,45,0,3,1,20,6.67,20
"
Holy Spirit",315,1,12,2,190,14.62,West Point B,95,0,4,1,60,15.00,20
"
Alabama Cyber Tech",235,0,11,3,140,12.73,Lamar,60,0,4,2,30,7.50,20
"
Bob Jones",225,4,5,3,130,14.44,Hoover C,125,0,7,3,70,10.00,20
"
West Point A",195,2,7,1,100,11.11,Hoover B,190,2,5,4,130,18.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hoover A",620,10,8,0,390,21.67,Hoover C,10,0,1,2,10,10.00,20
"
Bob Jones",440,5,13,1,240,13.33,West Point B,20,0,1,0,10,10.00,20
"
Holy Spirit",325,3,9,2,200,16.67,St. Bernard Prep,60,0,4,4,40,10.00,20
"
Hoover B",375,3,10,2,240,18.46,Alabama Cyber Tech,120,1,3,1,80,20.00,20
"
West Point A",280,2,11,2,150,11.54,Vestavia Hills,95,0,5,1,50,10.00,20
"
Lamar (OT)",120,2,5,4,60,10.00,Good Hope,110,0,7,2,50,7.14,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hoover A",545,10,6,3,350,21.88,West Point B,10,0,1,0,0,0.00,20
"
West Point A",380,4,10,2,230,16.43,Good Hope,5,0,1,1,0,0.00,20
"
Hoover B",330,3,8,5,230,20.91,Lamar,70,0,4,2,40,10.00,20
"
Vestavia Hills",285,1,11,2,170,14.17,Alabama Cyber Tech,105,0,5,1,60,12.00,20
"
Bob Jones",260,2,7,2,170,18.89,Holy Spirit,160,0,8,4,100,12.50,20
