Great Valley B,315,Henderson B,275
Germantown Friends,280,Emmaus A,265
Manheim Township A,435,Central Catholic A,215
Edison,525,State College A,145
Henderson A,520,Central Catholic B,10
Berwick A,305,Great Valley A,225
Friends Select A,245,Wallenpaupack A,225
Moravian Academy A,425,Downingtown STEM,200
Moravian Academy A,410,Henderson B,220
Manheim Township A,575,Wallenpaupack A,90
Downingtown STEM,310,Great Valley B,270
Henderson A,395,Germantown Friends,180
Great Valley A,415,State College A,190
Emmaus A,430,Central Catholic B,150
Edison,395,Berwick A,155
Friends Select A,475,Central Catholic A,140
Henderson B,450,Central Catholic A,145
Downingtown STEM,370,Manheim Township A,260
Friends Select A,395,Moravian Academy A,280
Great Valley B,390,Wallenpaupack A,215
Emmaus A,375,State College A,200
Berwick A,315,Germantown Friends,250
Great Valley A,510,Central Catholic B,85
Henderson A,335,Edison,325
Great Valley A,520,Emmaus A,175
State College A,385,Central Catholic B,130
Henderson A,520,Berwick A,105
Edison,285,Germantown Friends,275
Manheim Township A,465,Great Valley B,205
Friends Select A,385,Henderson B,195
Downingtown STEM,320,Wallenpaupack A,200
Moravian Academy A,325,Central Catholic A,240
Friends Select A,420,Great Valley B,170
Central Catholic A,275,Downingtown STEM,225
Henderson A,315,State College A,185
Manheim Township A,375,Henderson B,165
Berwick A,230,Central Catholic B,135
Moravian Academy A,285,Wallenpaupack A,225
Edison,380,Emmaus A,155
Great Valley A,450,Germantown Friends,235
Great Valley B,345,Central Catholic A,310
Downingtown STEM,320,Friends Select A,315
Germantown Friends,275,State College A,250
Edison,525,Central Catholic B,70
Henderson B,360,Wallenpaupack A,190
Emmaus A,495,Berwick A,155
Great Valley A,515,Henderson A,160
Manheim Township A,400,Moravian Academy A,210
Henderson A,510,Emmaus A,125
Germantown Friends,440,Central Catholic B,60
Edison,455,Great Valley A,290
State College A,270,Berwick A,225
Central Catholic A,280,Wallenpaupack A,270
Moravian Academy A,355,Great Valley B,210
Henderson B,310,Downingtown STEM,305
Manheim Township A,375,Friends Select A,230
Edison,360,Manheim Township A,300
Moravian Academy A,385,Emmaus A,145
Germantown Friends,335,Wallenpaupack A,205
Henderson A,355,Downingtown STEM,250
State College A,240,Great Valley B,225
Berwick A,210,Central Catholic A,180
Henderson B,310,Central Catholic B,55
Great Valley A,475,Friends Select A,120
Great Valley A,535,Manheim Township A,150
Henderson A,325,Moravian Academy A,300
Great Valley B,325,Central Catholic B,80
Friends Select A,310,Emmaus A,225
Edison,340,Downingtown STEM,310
Germantown Friends,305,Central Catholic A,275
Berwick A,380,Wallenpaupack A,75
State College A,335,Henderson B,170
Henderson B,275,Berwick A,270
Henderson A,390,Friends Select A,285
Edison,505,Moravian Academy A,140
State College A,270,Wallenpaupack A,250
Great Valley A,355,Downingtown STEM,175
Great Valley B,280,Germantown Friends,240
Manheim Township A,450,Emmaus A,180
Central Catholic A,445,Central Catholic B,50
Great Valley A,495,Moravian Academy A,215
State College A,295,Central Catholic A,195
Wallenpaupack A,345,Central Catholic B,150
Manheim Township A,360,Henderson A,245
Berwick A,255,Great Valley B,160
Edison,465,Friends Select A,210
Downingtown STEM,315,Emmaus A,200
Germantown Friends,450,Henderson B,110
Edison,490,Great Valley A,240
