Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",590,8,10,2,380,21.11,Kellenberg B,20,0,1,0,10,10.00,20
"
Hunter A",650,12,4,2,440,27.50,Choate B,100,0,3,0,70,23.33,20
"
Choate A",560,9,8,1,350,20.59,Valley Stream South B,80,0,2,0,60,30.00,20
"
John P. Stevens A",515,8,7,1,330,22.00,Darien B,100,2,2,0,50,12.50,20
"
Ridgewood",550,10,5,2,360,24.00,Staples,135,2,2,3,100,25.00,20
"
Wilton",440,4,10,2,290,20.71,John P. Stevens B,85,1,4,4,50,10.00,20
"
Hunter B",345,4,8,3,220,18.33,Island Trees,120,2,4,2,60,10.00,20
"
High Tech",320,3,7,1,210,21.00,North Babylon,175,3,5,4,100,12.50,20
"
Valley Stream South A",350,7,4,5,230,20.91,South Side,220,2,6,2,140,17.50,20
"
Choate C",235,3,7,2,130,13.00,Kellenberg A,225,1,7,2,150,18.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Choate A",515,8,8,1,320,20.00,Choate C,120,2,2,2,80,20.00,20
"
Hunter A",465,7,7,2,300,21.43,Staples,125,1,3,2,90,22.50,20
"
North Babylon",315,4,9,5,190,14.62,Island Trees,30,0,2,4,30,15.00,20
"
Darien A",420,9,3,3,270,22.50,John P. Stevens B,180,1,5,1,120,20.00,20
"
John P. Stevens A",345,4,8,5,230,19.17,Kellenberg A,145,2,3,1,90,18.00,20
"
Darien B",335,3,9,0,200,16.67,High Tech,170,2,4,4,120,20.00,20
"
Ridgewood",325,6,5,5,210,19.09,South Side,210,0,8,0,130,16.25,20
"
Hunter B",245,2,9,3,140,12.73,Valley Stream South B,145,1,5,2,90,15.00,20
"
Kellenberg B",180,1,7,1,100,12.50,Choate B,115,3,4,6,60,8.57,20
"
Wilton",275,6,2,3,180,22.50,Valley Stream South A,260,1,9,1,160,16.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens A",510,7,8,3,340,22.67,Choate C,95,1,3,0,50,12.50,20
"
John P. Stevens B",410,3,10,1,270,20.77,Choate B,75,0,4,1,40,10.00,20
"
Staples",400,4,9,4,270,20.77,Kellenberg B,70,0,4,2,40,10.00,20
"
Hunter A",500,7,7,3,340,24.29,South Side,170,1,5,1,110,18.33,20
"
Choate A",405,5,8,2,260,20.00,Hunter B,110,1,4,1,60,12.00,20
"
High Tech",305,2,9,1,190,17.27,Kellenberg A,80,2,4,6,40,6.67,20
"
Darien B",375,2,11,1,240,18.46,Island Trees,160,3,3,1,90,15.00,20
"
Ridgewood",380,8,4,4,240,20.00,Valley Stream South A,200,2,5,0,120,17.14,20
"
North Babylon",220,3,6,1,120,13.33,Valley Stream South B,185,1,7,0,100,12.50,20
"
Darien A",375,8,2,1,240,24.00,Wilton,365,7,3,0,230,23.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",470,8,7,4,300,20.00,Choate B,30,0,2,0,10,5.00,20
"
South Side",420,5,9,1,260,18.57,Kellenberg B,65,0,3,1,40,13.33,20
"
Choate A",480,6,8,4,330,23.57,John P. Stevens A,160,1,5,1,100,16.67,20
"
Darien B",395,3,10,2,260,20.00,Valley Stream South B,100,0,3,0,70,23.33,20
"
Hunter A",460,8,5,2,300,23.08,Valley Stream South A,230,3,4,1,150,21.43,20
"
High Tech",370,4,9,2,230,17.69,Choate C,150,0,7,2,90,12.86,20
"
Staples",335,3,10,4,210,16.15,John P. Stevens B,165,1,5,0,100,16.67,20
"
North Babylon",275,4,6,1,160,16.00,Hunter B,195,0,7,1,130,18.57,20
"
Ridgewood",315,8,2,1,180,18.00,Wilton,280,4,5,0,170,18.89,20
"
Island Trees",195,1,8,2,110,12.22,Kellenberg A,180,2,5,2,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",545,6,11,1,350,20.59,Choate B,55,0,3,3,40,13.33,20
"
Choate A",475,3,12,0,310,20.67,North Babylon,85,2,2,3,50,12.50,20
"
Hunter A",540,8,7,2,360,24.00,Ridgewood,190,2,3,2,140,28.00,20
"
John P. Stevens A",380,4,7,2,260,23.64,High Tech,185,2,5,1,110,15.71,20
"
John P. Stevens B",350,2,11,0,210,16.15,South Side,170,1,5,1,110,18.33,20
"
Valley Stream South A",270,1,11,3,160,13.33,Kellenberg B,95,0,6,3,50,8.33,20
"
Kellenberg A",180,2,8,2,80,8.00,Valley Stream South B,110,0,6,2,60,10.00,20
"
Choate C",200,0,10,2,110,11.00,Island Trees,150,1,6,3,90,12.86,20
"
Hunter B (OT)",260,3,8,1,140,14.00,Darien B,245,2,8,3,150,15.00,21
"
Darien A",330,6,4,2,210,21.00,Staples,315,1,9,2,220,22.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens A",520,7,8,1,340,22.67,Island Trees,75,0,4,1,40,10.00,20
"
Ridgewood",490,6,9,2,320,21.33,Kellenberg B,85,0,4,1,50,12.50,20
"
Hunter B",485,4,11,1,320,21.33,Kellenberg A,85,0,4,1,50,12.50,20
"
Staples",455,8,8,3,270,16.88,Choate B,75,0,3,1,50,16.67,20
"
Choate A",420,4,9,2,280,21.54,High Tech,160,0,7,0,90,12.86,20
"
North Babylon",350,6,8,2,190,13.57,Darien B,145,1,5,0,80,13.33,20
"
Hunter A",430,5,6,1,300,27.27,Wilton,285,5,4,2,180,20.00,20
"
Choate C",290,4,7,0,160,14.55,Valley Stream South B,160,1,6,1,90,12.86,20
"
Darien A",380,6,5,4,260,23.64,South Side,265,2,7,1,170,18.89,20
"
Valley Stream South A",305,4,6,3,200,20.00,John P. Stevens B,235,2,6,1,150,18.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens A",625,13,5,2,390,21.67,Valley Stream South B,30,0,2,0,10,5.00,20
"
Hunter A",615,13,3,4,410,25.62,Kellenberg B,40,0,2,0,20,10.00,20
"
Ridgewood",515,11,3,2,330,23.57,John P. Stevens B,95,1,3,0,50,12.50,20
"
South Side",350,5,7,1,210,17.50,Choate B,70,2,1,0,30,10.00,20
"
Darien A",435,8,5,3,280,21.54,Valley Stream South A,160,1,5,1,100,16.67,20
"
Wilton",485,8,5,1,320,24.62,Staples,220,3,4,1,140,20.00,20
"
High Tech",320,5,6,1,190,17.27,Island Trees,105,0,7,1,40,5.71,20
"
Choate A",335,3,8,4,230,20.91,Darien B,225,3,6,0,120,13.33,20
"
Hunter B",245,5,4,2,140,15.56,Choate C,165,3,5,4,90,11.25,20
"
North Babylon",190,3,5,5,120,15.00,Kellenberg A,165,0,7,1,100,14.29,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",475,10,3,1,300,23.08,Kellenberg B,95,0,5,1,50,10.00,20
"
Choate A",435,9,4,4,280,21.54,Island Trees,55,1,2,0,20,6.67,20
"
Hunter A",495,6,7,3,350,26.92,John P. Stevens B,195,2,5,1,120,17.14,20
"
Darien B",340,2,11,2,210,16.15,Kellenberg A,120,0,7,2,60,8.57,20
"
Valley Stream South A",225,2,7,5,150,16.67,Choate B,35,1,1,0,10,5.00,20
"
Staples",365,7,3,2,240,24.00,South Side,180,2,6,0,90,11.25,20
"
North Babylon",285,2,9,1,170,15.45,Choate C,105,0,5,1,60,12.00,20
"
High Tech",260,1,9,5,180,18.00,Valley Stream South B,130,0,7,0,60,8.57,20
"
Darien A",385,6,5,3,260,23.64,Ridgewood,275,5,3,2,180,22.50,20
"
John P. Stevens A",310,9,1,5,190,19.00,Hunter B,260,0,9,0,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
John P. Stevens A",540,11,5,1,330,20.62,North Babylon,50,0,2,2,40,20.00,20
"
Ridgewood",465,8,7,3,290,19.33,Choate B,105,3,1,2,60,15.00,20
"
Choate A",420,6,8,2,260,18.57,Kellenberg A,90,2,2,2,50,12.50,20
"
Staples",455,8,6,3,290,20.71,Valley Stream South A,155,2,4,1,90,15.00,20
"
John P. Stevens B",360,2,11,0,220,16.92,Kellenberg B,95,1,3,0,50,12.50,20
"
Wilton",360,4,9,2,220,16.92,South Side,145,3,2,2,90,18.00,20
"
Hunter B",280,3,8,1,160,14.55,High Tech,145,1,6,2,80,11.43,20
"
Choate C",305,3,8,0,180,16.36,Darien B,190,2,5,4,130,18.57,20
"
Darien A",310,7,4,5,190,17.27,Hunter A,290,3,5,1,200,25.00,20
"
Valley Stream South B",210,0,9,2,130,14.44,Island Trees,195,1,8,0,100,11.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",535,10,6,1,330,20.62,North Babylon,55,1,1,2,40,20.00,20
"
Ridgewood",520,9,6,3,340,22.67,Hunter B,160,1,4,1,110,22.00,20
"
Staples",480,4,10,2,330,23.57,High Tech,120,2,3,0,60,12.00,20
"
Choate A",330,5,5,3,220,22.00,Darien A,255,3,6,4,170,18.89,20
"
Choate C",285,2,7,3,200,22.22,John P. Stevens B,210,1,8,1,120,13.33,20
"
Valley Stream South A",290,0,10,2,200,20.00,Darien B,230,3,6,3,140,15.56,20
"
South Side",290,3,6,1,190,21.11,Kellenberg A,235,1,8,2,150,16.67,20
"
Hunter A",360,6,4,2,240,24.00,John P. Stevens A,325,6,3,1,210,23.33,20
"
Valley Stream South B",155,1,5,2,100,16.67,Kellenberg B,145,0,7,1,80,11.43,20
"
Choate B",140,4,5,2,40,4.44,Island Trees,130,2,8,0,20,2.00,20
