Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",585,8,9,3,390,22.94,Mepham B,20,0,1,0,10,10.00,20
"
Wilton",460,4,11,2,300,20.00,Hunter C,65,1,3,0,20,5.00,20
"
Island Trees",375,3,13,2,210,13.12,Kings Park B,70,1,2,1,40,13.33,20
"
Darien B",365,5,10,0,190,12.67,North Babylon A,95,2,2,3,60,15.00,20
"
Woodland",380,4,8,2,250,20.83,Mepham A,130,1,6,1,60,8.57,20
"
High Tech A",265,1,13,2,130,9.29,Kings Park C,40,0,3,2,20,6.67,20
"
Chenery Middle",320,4,7,4,210,19.09,High Tech C,215,2,6,3,140,17.50,20
"
Kings Park A",180,1,9,1,80,8.00,North Babylon B,90,0,5,0,40,8.00,20
"
Hunter B",240,1,10,3,140,12.73,Valley Stream South,195,0,8,3,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Woodland",585,7,11,0,370,20.56,Kings Park C,20,0,2,0,0,0.00,20
"
Darien B",395,2,13,3,250,16.67,Kings Park B,30,0,2,0,10,5.00,20
"
Port Jefferson",350,2,12,2,210,15.00,Hunter C,55,0,3,3,40,13.33,20
"
Hunter B",310,0,15,2,170,11.33,Kings Park A,35,0,2,1,20,10.00,20
"
Valley Stream South",300,1,13,1,160,11.43,North Babylon B,55,0,3,1,30,10.00,20
"
Darien A",275,5,5,4,170,17.00,High Tech C,165,2,4,1,100,16.67,20
"
North Babylon A",260,1,10,1,150,13.64,Island Trees,180,1,6,1,110,15.71,20
"
Mepham A",160,2,8,0,50,5.00,High Tech A,90,0,5,4,60,12.00,20
"
High Tech B",100,1,3,1,60,15.00,Mepham B,90,0,6,0,30,5.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",445,5,10,2,280,18.67,Kings Park A,55,1,2,0,20,6.67,20
"
Hunter B",395,3,11,2,250,17.86,North Babylon B,90,0,5,0,40,8.00,20
"
Darien A",425,4,10,3,280,20.00,Valley Stream South,140,0,5,0,90,18.00,20
"
Hunter A",400,5,6,3,280,25.45,Darien B,190,3,5,1,100,12.50,20
"
Island Trees",235,1,10,4,140,12.73,High Tech B,55,1,3,0,10,2.50,20
"
Mepham A",240,0,12,2,130,10.83,Kings Park C,60,0,4,2,30,7.50,20
"
North Babylon A",215,1,10,6,130,11.82,Kings Park B,70,0,3,0,40,13.33,20
"
High Tech A",220,4,5,4,130,14.44,Port Jefferson,130,0,7,2,70,10.00,20
"
Wilton",345,4,6,3,240,24.00,Woodland,280,3,7,1,170,17.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",625,6,11,3,440,25.88,High Tech B,10,0,1,0,0,0.00,20
"
Wilton",465,5,9,2,310,22.14,Port Jefferson,130,0,5,0,80,16.00,20
"
Woodland",355,6,5,1,220,20.00,High Tech A,115,0,6,1,60,10.00,20
"
High Tech C",330,2,11,0,190,14.62,Hunter B,110,2,3,2,60,12.00,20
"
Valley Stream South",275,0,12,1,160,13.33,Kings Park A,75,0,5,1,30,6.00,20
"
Darien A",380,6,6,2,240,20.00,Chenery Middle,250,3,5,1,160,20.00,20
"
Kings Park B",160,0,8,0,80,10.00,Mepham B,55,0,4,1,20,5.00,20
"
Hunter C",155,0,9,1,70,7.78,Kings Park C,85,1,5,0,20,3.33,20
"
Darien B",205,2,9,1,90,8.18,Island Trees,185,2,7,1,90,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Woodland",515,3,15,2,330,18.33,Hunter C,5,0,1,1,0,0.00,20
"
High Tech C",505,2,16,1,320,17.78,Kings Park A,40,0,2,0,20,10.00,20
"
Chenery Middle",430,4,11,4,280,18.67,North Babylon B,45,1,1,0,20,10.00,20
"
Port Jefferson",390,1,14,1,240,16.00,Kings Park C,10,0,1,0,0,0.00,20
"
Darien B",405,4,13,1,220,12.94,Mepham B,30,0,2,0,10,5.00,20
"
Hunter A",470,4,10,2,320,22.86,North Babylon A,145,3,2,2,90,18.00,20
"
Darien A",365,4,9,3,230,17.69,Hunter B,125,2,3,1,70,14.00,20
"
Wilton",305,3,8,4,200,18.18,Mepham A,225,2,6,1,140,17.50,20
"
High Tech B",170,0,8,0,90,11.25,Kings Park B,110,1,5,1,50,8.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",570,7,10,1,370,21.76,Kings Park A,35,0,2,1,20,10.00,20
"
Wilton",490,5,9,1,330,23.57,High Tech A,55,2,2,3,20,5.00,20
"
Hunter A",460,7,8,3,290,19.33,Island Trees,95,1,3,2,60,15.00,20
"
Woodland",390,3,11,3,250,17.86,Port Jefferson,145,2,3,1,90,18.00,20
"
High Tech C",285,3,7,4,190,19.00,North Babylon B,95,1,4,0,40,8.00,20
"
Chenery Middle",345,6,6,3,210,17.50,Valley Stream South,155,0,7,1,90,12.86,20
"
Darien B",260,0,9,2,180,20.00,High Tech B,90,1,4,1,40,8.00,20
"
North Babylon A",195,1,8,4,120,13.33,Mepham B,60,0,3,0,30,10.00,20
"
Hunter C",140,1,6,1,70,10.00,Mepham A,135,1,6,2,70,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",600,5,12,3,420,24.71,North Babylon B,5,0,1,1,0,0.00,20
"
Wilton",600,3,14,1,420,24.71,Kings Park C,40,1,1,1,20,10.00,20
"
Hunter A",470,7,5,3,330,27.50,Kings Park B,55,1,3,0,10,2.50,20
"
Chenery Middle",435,5,8,2,290,22.31,Hunter B,140,3,2,1,80,16.00,20
"
High Tech C",350,4,8,2,220,18.33,Valley Stream South,90,1,3,1,50,12.50,20
"
North Babylon A",300,2,10,2,180,15.00,High Tech B,50,0,4,0,10,2.50,20
"
Mepham A",280,1,9,1,180,18.00,Port Jefferson,75,2,2,1,30,7.50,20
"
Island Trees",265,3,9,0,130,10.83,Mepham B,65,1,2,0,30,10.00,20
"
High Tech A",210,4,7,2,90,8.18,Hunter C,45,1,1,0,20,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",415,5,8,0,260,20.00,Darien B,135,2,4,3,80,13.33,20
"
Hunter A",460,10,2,0,290,24.17,Darien A,270,3,5,1,180,22.50,20
"
Port Jefferson",245,4,8,1,110,9.17,Kings Park A,80,2,2,0,30,7.50,20
"
High Tech A",255,3,8,4,150,13.64,Island Trees,105,0,6,5,70,11.67,20
"
Woodland",390,6,5,0,250,22.73,Chenery Middle,285,5,4,4,190,21.11,20
"
Valley Stream South",215,1,10,4,120,10.91,High Tech B,110,0,5,0,60,12.00,20
"
North Babylon B",140,0,8,0,60,7.50,Mepham B,65,1,4,0,10,2.00,20
"
High Tech C",280,3,6,1,180,20.00,North Babylon A,210,3,7,3,110,11.00,20
"
Hunter B",190,1,7,1,110,13.75,Mepham A,120,1,6,1,50,7.14,20
"
Kings Park B",155,0,10,1,60,6.00,Hunter C,145,1,5,0,80,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
North Babylon A",300,1,11,3,190,15.83,High Tech A,130,0,6,2,80,13.33,20
"
Chenery Middle",365,5,7,4,240,20.00,Darien B,200,2,6,2,120,15.00,20
"
Hunter A",390,4,7,0,260,23.64,Wilton,280,5,4,1,170,18.89,20
"
Hunter C",140,0,8,0,60,7.50,High Tech B,45,0,4,1,10,2.50,20
"
High Tech C",290,4,7,2,170,15.45,Mepham A,210,1,7,1,130,16.25,20
"
Hunter B",240,1,9,3,150,15.00,Island Trees,165,1,5,2,110,18.33,20
"
Port Jefferson",235,0,10,1,140,14.00,Valley Stream South,170,0,7,2,110,15.71,20
