Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Bloomington",530,8,7,310,20.67,30,75.0%,Rochester D,115,1,2,50,16.67,30
"
Rochester A",365,1,11,240,20.00,0,0.0%,Lincoln C,10,0,1,0,0.00,0
"
Williamsville",425,3,11,260,18.57,10,25.0%,Rochester C,80,0,2,20,10.00,40
"
Southwestern A",350,9,6,155,10.33,0,0.0%,Cornerstone Christian B,70,0,4,30,7.50,0
"
Bloomington Central Catholic",340,2,9,220,20.00,0,0.0%,Lincoln A,150,2,4,80,13.33,0
"
Illinois Valley Central",330,0,11,180,16.36,40,57.1%,Dunlap A,195,1,5,110,18.33,20
"
Pleasant Plains",260,0,11,150,13.64,0,0.0%,Athens A,130,0,4,80,20.00,10
"
Southwestern B",190,0,9,70,7.78,30,75.0%,Athens B,60,0,2,20,10.00,20
"
Chatham Glenwood B",270,2,7,150,16.67,20,15.4%,Warrensburg-Latham B,145,1,5,50,8.33,30
"
Macomb A",315,1,8,190,21.11,30,17.6%,Warrensburg-Latham A,225,1,7,70,8.75,70
"
Rochester B",205,1,5,140,23.33,0,0.0%,Dunlap B,140,0,7,70,10.00,0
"
New Berlin",225,1,5,100,16.67,60,25.0%,Auburn,160,0,10,60,6.00,0
"
Cornerstone Christian A",195,1,7,100,12.50,10,12.5%,Macomb B,135,1,4,70,14.00,10
"
Quincy B",120,0,6,50,8.33,10,12.5%,Macomb C,65,3,0,10,3.33,10
"
Chatham Glenwood A",225,1,6,120,17.14,30,30.0%,Quincy A,200,2,5,110,15.71,10
"
Pekin",180,0,7,60,8.57,50,31.2%,Lincoln B,165,1,7,80,10.00,0
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Southwestern A",600,4,16,380,19.00,0,0.0%,Dunlap B,10,0,0,0,0.00,10
"
Rochester A",490,4,11,310,20.67,10,20.0%,Athens B,40,0,2,10,5.00,10
"
Macomb A",410,2,12,260,18.57,0,0.0%,Cornerstone Christian B,70,0,3,40,13.33,0
"
Williamsville",460,6,8,250,17.86,40,66.7%,Macomb C,135,1,3,60,15.00,30
"
Chatham Glenwood A",340,2,11,200,15.38,0,0.0%,Lincoln C,20,0,1,10,10.00,0
"
Illinois Valley Central",425,1,13,270,19.29,10,10.0%,Athens A,120,0,4,20,5.00,60
"
Cornerstone Christian A",335,3,8,190,17.27,20,22.2%,Southwestern B,95,1,3,30,7.50,20
"
Warrensburg-Latham A",355,3,10,200,15.38,10,33.3%,Lincoln B,135,1,3,90,22.50,0
"
Quincy A",320,4,6,200,20.00,0,0.0%,Macomb B,110,0,4,70,17.50,0
"
Dunlap A",375,3,9,200,16.67,40,36.4%,Rochester D,175,1,5,70,11.67,40
"
Bloomington",395,3,9,220,18.33,40,40.0%,Warrensburg-Latham B,205,1,5,80,13.33,60
"
Bloomington Central Catholic",230,2,6,140,17.50,0,0.0%,Auburn,130,0,4,70,17.50,20
"
Chatham Glenwood B",260,4,6,130,13.00,10,7.7%,Pleasant Plains,235,1,7,110,13.75,40
"
New Berlin",180,0,6,80,13.33,40,36.4%,Quincy B,160,2,4,70,11.67,20
"
Pekin",240,0,10,100,10.00,40,26.7%,Rochester B,230,0,9,120,13.33,20
"
Rochester C",210,0,8,120,15.00,10,11.1%,Lincoln A,205,1,6,120,17.14,10
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Williamsville",415,3,11,220,15.71,40,80.0%,Quincy B,50,0,2,10,5.00,20
