Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Catholic A",350,2,11,6,240,18.46,Eunice,20,0,2,0,0,0.00,20
"
Mount Carmel",245,1,10,0,130,11.82,Zachary B,65,0,5,1,20,4.00,20
"
Jesuit A",265,1,11,4,160,13.33,Dutchtown,145,0,6,1,90,15.00,20
"
Archbishop Rummel",250,1,9,1,150,15.00,Catholic B,135,2,6,5,70,8.75,20
"
Baton Rouge Episcopal A",230,2,8,4,140,14.00,Episcopal-Acadiana,135,2,5,1,60,8.57,20
"
Jesuit B",250,2,11,0,110,8.46,Zachary A,165,2,5,1,90,12.86,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Baton Rouge Episcopal A",385,1,13,4,260,18.57,Zachary B,40,0,2,0,20,10.00,20
"
Catholic A",405,7,7,2,240,17.14,Mount Carmel,70,0,3,0,40,13.33,20
"
Archbishop Rummel",275,2,8,3,180,18.00,Eunice,10,0,1,0,0,0.00,20
"
Dutchtown",275,1,12,2,150,11.54,Baton Rouge Episcopal B,55,0,4,1,20,5.00,20
"
Zachary A",290,2,11,0,150,11.54,Catholic B,85,0,4,5,70,17.50,20
"
Jesuit B",240,1,8,1,150,16.67,Episcopal-Acadiana,115,0,5,1,70,14.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",360,3,10,5,240,18.46,Baton Rouge Episcopal B,20,0,2,2,10,5.00,20
"
Catholic A",360,5,8,3,220,16.92,Baton Rouge Episcopal A,135,0,5,1,90,18.00,20
"
Mount Carmel",245,0,11,1,140,12.73,Eunice,60,0,3,0,30,10.00,20
"
Jesuit B",250,1,11,3,140,11.67,Zachary B,80,0,5,2,40,8.00,20
"
Zachary A",275,1,11,0,150,12.50,Archbishop Rummel,160,0,5,2,120,24.00,20
"
Episcopal-Acadiana",215,3,6,0,110,12.22,Dutchtown,120,0,6,2,70,11.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",370,4,10,4,230,16.43,Zachary B,15,0,1,1,10,10.00,20
"
Catholic B",360,4,11,2,200,13.33,Baton Rouge Episcopal B,40,0,2,0,20,10.00,20
"
Baton Rouge Episcopal A",310,2,12,2,170,12.14,Mount Carmel,60,2,1,0,20,6.67,20
"
Catholic A",325,2,11,3,200,15.38,Jesuit B,90,2,2,2,50,12.50,20
"
Episcopal-Acadiana",210,1,10,1,100,9.09,Eunice,30,0,3,0,0,0.00,20
"
Dutchtown",195,2,7,1,100,11.11,Archbishop Rummel,175,2,6,3,100,12.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Catholic A",375,4,11,5,230,15.33,Baton Rouge Episcopal B,70,0,3,0,40,13.33,20
"
Baton Rouge Episcopal A",290,1,13,5,170,12.14,Eunice,25,1,1,0,0,0.00,20
"
Jesuit B",225,1,10,0,110,10.00,Mount Carmel,125,1,5,0,60,10.00,20
"
Episcopal-Acadiana",225,0,10,3,140,14.00,Zachary B,160,0,8,0,80,10.00,20
"
Catholic B",260,3,7,1,150,15.00,Jesuit A,240,1,8,1,150,16.67,20
"
Dutchtown",190,2,8,2,90,9.00,Zachary A,185,1,7,2,110,13.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Catholic A",455,5,9,4,310,22.14,Episcopal-Acadiana,100,1,3,1,60,15.00,20
"
Catholic B",340,3,10,1,200,15.38,Mount Carmel,75,0,3,1,50,16.67,20
"
Jesuit A",360,3,10,1,220,16.92,Zachary A,125,1,4,0,70,14.00,20
"
Baton Rouge Episcopal A",315,2,9,1,200,18.18,Jesuit B,125,1,4,2,80,16.00,20
"
Zachary B",180,0,8,2,110,13.75,Eunice,40,0,3,0,10,3.33,20
"
Archbishop Rummel",265,3,8,2,150,13.64,Baton Rouge Episcopal B,135,1,5,0,70,11.67,20
