Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest B",450,3,13,3,290,18.12,Camp Hill A,40,1,1,1,20,10.00,20
"
Hempfield A",420,5,8,3,280,21.54,Friends Select B,30,1,2,3,10,3.33,20
"
West Chester East",465,4,10,3,320,22.86,Wissahickon B,80,0,3,2,60,20.00,20
"
Henderson B",445,10,3,1,270,20.77,Henderson C,85,1,2,2,60,20.00,20
"
Cedar Crest A",445,9,3,4,300,25.00,Carlisle,170,2,4,0,100,16.67,20
"
Henderson A",360,4,7,6,260,23.64,Friends Select A,135,0,5,3,100,20.00,20
"
Downingtown STEM A",395,5,7,4,270,22.50,Emmaus A,185,0,6,1,130,21.67,20
"
Wissahickon A",320,4,7,2,200,18.18,Lancaster Mennonite,200,1,8,3,120,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest A",660,9,9,1,440,24.44,Hempfield A,65,1,1,0,40,20.00,20
"
West Chester East",480,4,11,2,320,21.33,Friends Select B,45,1,1,2,30,15.00,20
"
Downingtown STEM A",495,11,4,4,310,20.67,Lancaster Mennonite,105,1,2,0,70,23.33,20
"
Wissahickon A",425,7,6,0,260,20.00,Friends Select A,230,4,2,0,150,25.00,20
"
Henderson A",340,2,10,4,230,19.17,Camp Hill A,180,1,7,1,100,12.50,20
"
Henderson C",320,3,9,1,190,15.83,Carlisle,180,2,5,4,120,17.14,20
"
Henderson B",335,5,6,6,230,20.91,Wissahickon B,210,0,9,0,120,13.33,20
"
Cedar Crest B",270,2,7,2,180,20.00,Emmaus A,245,2,7,1,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest B",405,5,10,2,240,16.00,Lancaster Mennonite,80,1,3,1,40,10.00,20
"
Henderson B",400,5,9,3,250,17.86,Carlisle,95,0,5,3,60,12.00,20
"
Friends Select A",380,2,12,2,240,17.14,Camp Hill A,80,1,2,1,50,16.67,20
"
Hempfield A",375,3,8,2,260,23.64,Henderson C,150,3,3,1,80,13.33,20
"
Henderson A",390,7,4,5,270,24.55,Emmaus A,215,1,7,0,130,16.25,20
"
Wissahickon B",290,2,8,2,190,19.00,Friends Select B,125,3,4,2,50,7.14,20
"
Cedar Crest A",385,9,1,2,250,25.00,West Chester East,325,5,4,2,220,24.44,20
"
Wissahickon A",325,5,6,2,200,18.18,Downingtown STEM A,305,4,5,3,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest A",650,10,7,2,440,25.88,Friends Select B,50,0,3,0,20,6.67,20
"
Wissahickon A",530,3,12,1,370,24.67,Camp Hill A,115,1,4,0,60,12.00,20
"
Downingtown STEM A",480,5,10,3,320,21.33,Cedar Crest B,115,1,3,2,80,20.00,20
"
West Chester East",390,6,6,2,250,20.83,Henderson C,215,1,7,0,130,16.25,20
"
Emmaus A",375,1,11,0,250,20.83,Friends Select A,220,1,7,1,140,17.50,20
"
Carlisle",340,4,7,2,220,20.00,Wissahickon B,185,1,5,0,120,20.00,20
"
Henderson A",320,2,9,4,220,20.00,Lancaster Mennonite,205,1,7,0,120,15.00,20
"
Hempfield A",335,4,6,1,220,22.00,Henderson B,280,5,5,1,160,16.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cedar Crest A",690,11,7,1,460,25.56,Wissahickon B,15,0,1,3,20,20.00,20
"
Hempfield A",520,4,11,0,350,23.33,Carlisle,120,2,3,2,70,14.00,20
"
Friends Select A",450,3,12,3,300,20.00,Lancaster Mennonite,115,1,3,0,70,17.50,20
"
Emmaus A",395,2,11,1,260,20.00,Camp Hill A,155,1,5,0,90,15.00,20
"
Wissahickon A",410,7,5,1,260,21.67,Cedar Crest B,190,3,3,1,120,20.00,20
"
West Chester East",415,8,4,3,270,22.50,Henderson B,235,3,5,2,150,18.75,20
"
Downingtown STEM A",325,5,5,4,220,22.00,Henderson A,260,4,4,2,170,21.25,20
"
Henderson C",200,0,9,4,130,14.44,Friends Select B,155,0,8,1,80,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Henderson A",540,9,7,1,340,21.25,Cedar Crest B,70,2,1,4,50,16.67,20
"
Cedar Crest A",550,10,5,4,370,24.67,Henderson C,100,1,3,1,60,15.00,20
"
Wissahickon A",545,8,7,3,370,24.67,Emmaus A,125,1,3,2,90,22.50,20
"
Henderson B",410,4,10,4,270,19.29,Friends Select B,70,1,3,3,40,10.00,20
"
Friends Select A",320,4,8,2,190,15.83,Downingtown STEM A,140,3,3,7,100,16.67,20
"
West Chester East",365,5,7,4,240,20.00,Carlisle,210,1,7,1,130,16.25,20
"
Hempfield A",330,2,9,4,230,20.91,Wissahickon B,275,2,7,1,180,20.00,20
"
Camp Hill A",270,3,6,1,170,18.89,Lancaster Mennonite,260,2,7,2,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
West Chester East",485,5,9,0,320,22.86,Hempfield A,185,4,2,1,110,18.33,20
"
Cedar Crest A",415,7,5,2,270,22.50,Henderson B,180,1,5,3,130,21.67,20
"
Downingtown STEM A",375,4,8,5,260,21.67,Camp Hill A,150,0,7,0,80,11.43,20
"
Carlisle",285,4,5,1,180,20.00,Friends Select B,140,0,7,0,70,10.00,20
"
Henderson A",420,8,4,2,270,22.50,Wissahickon A,275,4,4,3,190,23.75,20
"
Emmaus A",330,3,9,1,200,16.67,Lancaster Mennonite,190,2,5,4,130,18.57,20
"
Cedar Crest B",315,5,6,0,180,16.36,Friends Select A,210,4,3,0,120,17.14,20
"
Henderson C",310,4,7,2,190,17.27,Wissahickon B,260,4,4,0,160,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wissahickon A",490,10,3,0,310,23.85,West Chester East,225,3,3,2,160,26.67,20
"
Cedar Crest A",515,9,4,0,340,26.15,Henderson A,255,6,1,1,160,22.86,20
"
Hempfield A",475,6,7,1,320,24.62,Cedar Crest B,220,5,2,3,140,20.00,20
"
Friends Select A",330,4,7,4,220,20.00,Carlisle,150,1,6,1,80,11.43,20
"
Emmaus A",375,7,4,0,230,20.91,Henderson C,195,3,4,2,120,17.14,20
"
Camp Hill A",275,1,8,0,180,20.00,Friends Select B,110,2,4,0,40,6.67,20
"
Wissahickon B",245,3,5,0,150,18.75,Lancaster Mennonite,215,3,5,2,130,16.25,20
"
Henderson B (OT)",355,5,8,0,200,18.18,Downingtown STEM A,345,9,1,4,220,24.44,23
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
