\nIthaca A,295,Mountain Lakes A,240
\nEast Brunswick,155,John P. Stevens B,135
\nEdison B,255,Verona B,90
\nJohn P. Stevens A,290,Hunter B,175
"\n""WW-P Phoenix""",470,Verona A,95
"\n""Our Town""",310,Jonathan Dayton Blue,100
"\n""big big big big wiss""",480,Hightstown,160
\nHigh Tech B,240,Bergen County Academies,145
\nEdison A,360,Mountain Lakes B,55
\nRidgewood,335,Leonia A,30
\nHunter A,580,"""Daniel Boone Academy""",20
\nLeonia B,150,North Babylon B,140
"\n""Nando\'s Gang""",420,Ithaca B,140
\nWilton,520,North Babylon A,140
\nCardinal Spellman,175,Jonathan Dayton Orange,120
\nHigh Tech A,505,Whitehall A,110
"\n""Mather"" A",515,Edison C,15
\nHightstown,240,Bergen County Academies,200
"\n""Nando\'s Gang""",385,North Babylon B,30
\nRidgewood,185,Jonathan Dayton Orange,120
\nWilton,385,"""big big big big wiss""",265
\nEdison C,185,Cardinal Spellman,95
"\n""Our Town""",360,Verona A,90
\nEdison A,355,Ithaca B,145
\nMountain Lakes B,215,Leonia B,65
\nNorth Babylon A,255,High Tech B,185
"\n""WW-P Phoenix""",620,Hunter B,15
\nVerona B,175,Whitehall B,80
"\n""Mather"" A",630,Leonia A,-10
\nMountain Lakes A,270,John P. Stevens B,70
\nJohn P. Stevens A,430,Jonathan Dayton Blue,65
\nIthaca A,460,"""Daniel Boone Academy""",15
"\n""Mather"" B",370,Whitehall A,75
\nHigh Tech A,360,Edison B,125
\nHunter A,485,East Brunswick,45
\nWilton,535,Hightstown,85
\nIthaca B,230,Mountain Lakes B,190
\nEdison A,415,North Babylon B,55
\nLeonia A,170,Edison C,95
"\n""Nando\'s Gang""",410,Leonia B,20
\nRidgewood,305,Cardinal Spellman,85
"\n""Mather"" A",495,Jonathan Dayton Orange,40
"\n""big big big big wiss""",370,High Tech B,195
\nVerona A,195,Hunter B,90
"\n""WW-P Phoenix""",350,Jonathan Dayton Blue,120
\nNorth Babylon A,345,Bergen County Academies,75
\nHunter A,520,Mountain Lakes A,130
\nHigh Tech A,450,Verona B,40
\nIthaca A,505,John P. Stevens B,35
"\n""Mather"" B",470,Edison B,110
\nJohn P. Stevens A,305,"""Our Town""",230
\nWhitehall A,315,Whitehall B,45
\nEast Brunswick,325,"""Daniel Boone Academy""",55
\nWilton,460,High Tech B,115
\nLeonia A,140,Jonathan Dayton Orange,90
\nRidgewood,415,Edison C,55
\nEdison A,465,Leonia B,-5
"\n""Nando\'s Gang""",430,Mountain Lakes B,45
"\n""Mather"" A",470,Cardinal Spellman,35
\nIthaca B,235,North Babylon B,150
"\n""big big big big wiss""",370,Bergen County Academies,135
"\n""Mather"" B",445,Verona B,45
\nHightstown,315,North Babylon A,165
\nIthaca A,300,East Brunswick,175
\nJohn P. Stevens A,445,Verona A,40
\nHunter B,235,Jonathan Dayton Blue,105
\nHunter A,675,John P. Stevens B,25
\nEdison B,290,Whitehall A,140
\nHigh Tech A,410,Whitehall B,30
\nMountain Lakes A,485,"""Daniel Boone Academy""",20
"\n""WW-P Phoenix""",355,"""Our Town""",235
\nMountain Lakes B,180,North Babylon B,100
\nHunter A,525,Ithaca A,185
\nHigh Tech A,325,"""Mather"" B",300
\nMountain Lakes A,400,East Brunswick,95
\nWhitehall A,245,Verona B,90
\nEdison B,290,Whitehall B,75
\nJohn P. Stevens B,115,"""Daniel Boone Academy""",70
"\n""big big big big wiss""",385,North Babylon A,220
"\n""Nando\'s Gang""",435,Edison A,195
\nVerona A,130,Jonathan Dayton Blue,115
\nHightstown,390,High Tech B,220
\nWilton,635,Bergen County Academies,15
"\n""Mather"" A",620,Ridgewood,85
\nCardinal Spellman,135,Leonia A,105
\nEdison C,100,Jonathan Dayton Orange,70
\nIthaca B,300,Leonia B,95
\nHunter B,265,"""Our Town""",175
"\n""WW-P Phoenix""",480,John P. Stevens A,210
