Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",400,7,5,3,260,21.67,Lakewood B,115,0,6,1,60,10.00,20
"
Pittsburgh Central Catholic",415,5,8,2,270,20.77,Huntingdon,140,0,7,0,70,10.00,20
"
South Side",330,2,10,0,200,16.67,Winchester Thurston A,225,1,6,2,160,22.86,20
"
Norwin A",195,2,7,1,100,11.11,Morgantown C,100,0,5,0,50,10.00,20
"
Allderdice A",265,2,8,5,180,18.00,Bishop Canevin,180,0,8,0,100,12.50,20
"
Lakewood A",160,2,7,2,70,7.78,Morgantown B,115,0,5,1,70,14.00,20
"
Winchester Thurston B",155,0,8,3,90,11.25,Norwin B,150,1,7,1,70,8.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Winchester Thurston A",400,2,13,2,250,16.67,Morgantown C,25,0,2,3,20,10.00,20
"
Pittsburgh Central Catholic",370,5,11,1,190,11.88,Norwin B,30,0,3,0,0,0.00,20
"
Winchester Thurston B",250,1,10,1,140,12.73,Lakewood B,50,0,6,6,20,3.33,20
"
Allderdice B",245,5,5,2,130,13.00,Norwin A,45,2,1,3,20,6.67,20
"
South Side",265,3,7,4,170,17.00,Lakewood A,120,1,6,3,60,8.57,20
"
Bishop Canevin",185,0,8,1,110,13.75,Huntingdon,105,1,6,8,70,10.00,20
"
Allderdice A",240,6,3,2,130,14.44,Morgantown A,215,3,5,4,140,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",410,3,10,3,280,21.54,Huntingdon,90,2,2,0,40,10.00,20
"
Allderdice B",325,2,12,1,180,12.86,Morgantown C,25,1,1,2,10,5.00,20
"
Norwin A",310,3,12,1,150,10.00,Morgantown B,50,0,3,2,30,10.00,20
"
Pittsburgh Central Catholic",300,4,8,4,180,15.00,Winchester Thurston B,110,1,5,1,50,8.33,20
"
Allderdice A",265,2,9,1,150,13.64,Lakewood B,85,2,3,3,40,8.00,20
"
Bishop Canevin",225,1,9,2,130,13.00,Norwin B,90,0,5,2,50,10.00,20
"
Lakewood A",260,1,10,1,150,13.64,Winchester Thurston A,185,1,7,4,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",485,5,10,4,330,22.00,Norwin B,100,0,4,0,60,15.00,20
"
Pittsburgh Central Catholic",400,3,12,1,240,16.00,Bishop Canevin,140,1,3,1,100,25.00,20
"
Allderdice A",280,3,7,3,180,18.00,Winchester Thurston B,165,1,7,0,80,10.00,20
"
Morgantown B",150,2,6,4,80,10.00,Morgantown C,90,0,5,2,50,10.00,20
"
Huntingdon",200,1,8,1,110,12.22,Lakewood B,150,1,7,3,80,10.00,20
"
Winchester Thurston A",250,1,8,1,160,17.78,Allderdice B,230,2,8,0,120,12.00,20
"
South Side",205,4,5,3,110,12.22,Norwin A,200,1,8,1,110,12.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Allderdice A",310,3,8,3,200,18.18,Huntingdon,65,1,2,2,40,13.33,20
"
Morgantown A",410,5,8,1,260,20.00,Pittsburgh Central Catholic,175,3,4,2,100,14.29,20
"
Lakewood B",185,3,5,4,110,13.75,Norwin B,100,0,4,0,60,15.00,20
"
Allderdice B",230,3,5,1,140,17.50,Morgantown B,160,2,5,0,80,11.43,20
"
South Side",145,2,4,3,90,15.00,Morgantown C,95,1,5,0,30,5.00,20
"
Bishop Canevin",150,2,4,0,80,13.33,Winchester Thurston B,110,1,5,1,50,8.33,20
"
Lakewood A",170,3,5,3,90,11.25,Norwin A,150,1,5,1,90,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Pittsburgh Central Catholic",420,1,13,3,290,20.71,Lakewood B,55,1,2,2,30,10.00,20
"
Morgantown A",345,6,5,5,230,20.91,Bishop Canevin,105,1,4,0,50,10.00,20
"
Allderdice B",375,5,7,0,230,19.17,South Side,145,2,3,1,90,18.00,20
"
Lakewood A",305,3,10,4,180,13.85,Morgantown C,100,0,4,0,60,15.00,20
"
Winchester Thurston A",290,3,9,5,180,15.00,Morgantown B,150,1,5,3,100,16.67,20
"
Allderdice A",220,3,5,7,160,20.00,Norwin B,160,0,6,0,100,16.67,20
"
Huntingdon",215,0,9,3,140,15.56,Winchester Thurston B,175,1,5,0,110,18.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Winchester Thurston A",395,4,11,3,240,16.00,Norwin A,75,0,5,1,30,6.00,20
"
Morgantown A",370,2,12,0,220,15.71,Winchester Thurston B,80,1,2,1,50,16.67,20
"
Huntingdon",310,1,14,1,160,10.67,Norwin B,35,0,2,1,20,10.00,20
"
Pittsburgh Central Catholic",300,2,10,0,170,14.17,Allderdice A,135,1,6,2,70,10.00,20
"
Allderdice B",260,2,8,0,150,15.00,Lakewood A,130,0,6,2,80,13.33,20
"
South Side",190,2,7,0,90,10.00,Morgantown B,120,0,7,0,50,7.14,20
"
Bishop Canevin",180,0,9,0,90,10.00,Lakewood B,140,1,6,5,90,12.86,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",395,6,7,3,250,19.23,Norwin A,125,1,5,4,80,13.33,20
"
Bishop Canevin",210,1,7,1,130,16.25,Allderdice B,60,1,4,5,30,6.00,20
"
Norwin B",220,1,10,1,110,10.00,Morgantown C,70,2,2,2,30,7.50,20
