Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",475,11,3,4,300,21.43,Windham B,80,0,3,0,50,16.67,20
"
Windham A",330,1,12,3,210,16.15,Marshwood B,45,0,3,1,20,6.67,20
"
Cony A",350,2,10,2,230,19.17,Marshwood A,95,0,4,3,70,17.50,20
"
Gould Academy",275,2,9,1,160,14.55,Cony B,155,0,8,1,80,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",460,10,4,2,280,20.00,Gould Academy,130,2,3,0,70,14.00,20
"
Cony B",185,0,11,3,90,8.18,Windham B,55,1,2,0,20,6.67,20
"
Cony A",280,2,9,0,160,14.55,Windham A,185,2,4,3,130,21.67,20
"
Marshwood A",190,1,8,1,100,11.11,Marshwood B,115,3,2,0,50,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",515,11,5,2,310,19.38,Marshwood B,80,0,4,0,40,10.00,20
"
Cony A",320,4,9,2,180,13.85,Windham B,50,0,3,0,20,6.67,20
"
Marshwood A",210,2,6,2,130,16.25,Gould Academy,115,1,5,2,60,10.00,20
"
Windham A",180,2,5,8,140,20.00,Cony B,165,1,8,0,70,7.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",490,10,5,2,300,20.00,Marshwood A,105,1,3,0,60,15.00,20
"
Gould Academy",225,0,11,5,140,12.73,Marshwood B,55,0,3,1,30,10.00,20
"
Windham A",190,0,10,6,120,12.00,Windham B,40,1,2,1,10,3.33,20
"
Cony A",215,0,9,3,140,15.56,Cony B,70,1,3,3,40,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",490,4,10,2,340,24.29,Cony A,95,0,4,1,60,15.00,20
"
Windham A",260,2,8,2,160,16.00,Gould Academy,125,1,5,2,70,11.67,20
"
Marshwood B",150,1,7,1,70,8.75,Windham B,90,0,5,2,50,10.00,20
"
Marshwood A",160,0,7,2,100,14.29,Cony B,140,0,6,2,90,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",445,7,6,4,300,23.08,Windham A,120,0,5,4,90,18.00,20
"
Marshwood A",315,1,10,0,200,18.18,Windham B,80,1,3,1,40,10.00,20
"
Cony A",295,5,6,2,170,15.45,Gould Academy,125,3,2,2,70,14.00,20
"
Marshwood B",160,1,6,1,90,12.86,Cony B,135,2,5,1,60,8.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",530,9,10,1,300,15.79,Cony B,15,1,0,0,0,0.00,20
"
Cony A",380,7,7,3,220,15.71,Marshwood B,60,0,3,0,30,10.00,20
"
Gould Academy",245,3,8,6,150,13.64,Windham B,125,1,4,0,70,14.00,20
"
Windham A",275,0,12,3,170,14.17,Marshwood A,160,2,5,0,80,11.43,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",520,8,7,4,350,23.33,Marshwood A,60,1,2,1,30,10.00,20
"
Gould Academy",225,1,7,2,150,18.75,Windham B,30,1,2,3,10,3.33,20
"
Cony A",265,0,10,1,170,17.00,Windham A,105,3,3,6,60,10.00,20
"
Marshwood B",135,0,7,1,70,10.00,Cony B,75,2,4,5,30,5.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Gould Academy",265,1,9,2,170,17.00,Cony B,110,0,4,2,80,20.00,20
"
Marshwood A",275,1,10,0,160,14.55,Cony A,125,1,4,0,70,14.00,20
"
Marshwood B",155,1,8,0,60,6.67,Windham B,50,1,2,1,20,6.67,20
"
Chenery Middle",280,6,2,4,190,23.75,Windham A,250,2,7,0,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Chenery Middle",535,9,6,2,350,23.33,Cony A,25,0,2,3,20,10.00,20
"
Cony B",195,1,8,2,110,12.22,Windham B,50,0,3,2,30,10.00,20
"
Gould Academy",170,1,5,3,120,20.00,Marshwood B,110,0,6,0,50,8.33,20
"
Marshwood A",185,0,7,1,120,17.14,Windham A,180,4,4,4,100,12.50,20
