\nLadue A,485,Calvary Lutheran A,125
\nCollege Heights Christian,455,Mexico,110
\nEldon,340,Fort Osage B,15
\nWashington A,460,Fort Osage A,30
\nJefferson City,180,Lutheran St. Charles A,120
\nParkway West,565,Eugene,10
\nOrchard Farm,425,Washington C,65
\nNorth Kansas City,295,Moberly B,35
\nKickapoo,495,Pilot Grove,60
\nWashington B,345,Moberly A,85
\nHallsville,415,Calvary Lutheran B,70
\nLadue B,285,Lutheran St. Charles B,25
\nWashington B,220,Eugene,110
\nCollege Heights Christian,530,Moberly B,0
\nParkway West,465,Lutheran St. Charles B,30
\nNorth Kansas City,390,Jefferson City,40
\nOrchard Farm,245,Calvary Lutheran A,190
\nMoberly A,195,Ladue B,130
\nHallsville,340,Pilot Grove,125
\nMexico,250,Lutheran St. Charles A,105
\nWashington A,495,Calvary Lutheran B,20
\nEldon,225,Washington C,90
\nKickapoo,400,Fort Osage A,70
\nLadue A,495,Fort Osage B,0
\nMoberly A,300,Lutheran St. Charles B,30
\nHallsville,425,Fort Osage A,85
\nWashington A,420,Kickapoo,140
\nLadue A,480,Orchard Farm,130
\nCollege Heights Christian,505,Lutheran St. Charles A,80
\nMoberly B,150,Jefferson City,140
\nCalvary Lutheran B,170,Pilot Grove,160
\nParkway West,335,Washington B,255
\nNorth Kansas City,355,Mexico,110
\nEugene,270,Ladue B,105
\nWashington C,130,Fort Osage B,55
\nCalvary Lutheran A,305,Eldon,140
\nEldon,195,Orchard Farm,185
\nMexico,350,Moberly B,30
\nHallsville,345,Kickapoo,295
\nNorth Kansas City,370,Lutheran St. Charles A,50
\nFort Osage A,195,Calvary Lutheran B,145
\nParkway West,605,Moberly A,50
\nCalvary Lutheran A,500,Fort Osage B,0
\nWashington B,370,Ladue B,105
\nLadue A,580,Washington C,15
\nCollege Heights Christian,445,Jefferson City,85
\nEugene,340,Lutheran St. Charles B,50
\nWashington A,510,Pilot Grove,60
\nCalvary Lutheran A,230,Washington C,185
\nOrchard Farm,300,Fort Osage B,10
\nMexico,225,Jefferson City,70
\nMoberly B,115,Lutheran St. Charles A,50
\nWashington A,335,Hallsville,195
\nWashington B,395,Lutheran St. Charles B,30
\nLadue A,440,Eldon,95
\nParkway West,430,Ladue B,95
\nCollege Heights Christian,450,North Kansas City,175
\nEugene,260,Moberly A,125
\nKickapoo,540,Calvary Lutheran B,0
\nPilot Grove,160,Fort Osage A,100
\nWashington C,170,Lutheran St. Charles A,50
\nMoberly A,185,Fort Osage A,175
\nPilot Grove,325,Lutheran St. Charles B,25
\nLadue B,230,Calvary Lutheran B,105
\nEldon,355,Jefferson City,70
\nMoberly B,120,Fort Osage B,50
\nLadue A,325,North Kansas City,220
\nKickapoo,385,Washington B,150
\nCalvary Lutheran A,310,Mexico,170
\nWashington A,340,Eugene,175
\nParkway West,305,Hallsville,270
\nCollege Heights Christian,405,Orchard Farm,145
\nFort Osage B,120,Jefferson City,85
\nWashington C,125,Moberly B,105
\nLadue B,205,Pilot Grove,100
\nMoberly A,185,Calvary Lutheran B,80
\nFort Osage A,150,Lutheran St. Charles B,30
\nEldon,335,Lutheran St. Charles A,70
\nWashington A,290,Washington B,240
\nCollege Heights Christian,430,Calvary Lutheran A,100
\nParkway West,325,Kickapoo,280
\nLadue A,505,Mexico,65
\nHallsville,390,Eugene,190
\nNorth Kansas City,215,Orchard Farm,210
\nEldon,200,Moberly B,90
\nLutheran St. Charles A,115,Fort Osage B,75
\nCalvary Lutheran B,185,Lutheran St. Charles B,95
\nWashington C,155,Jefferson City,145
\nMoberly A,280,Pilot Grove,155
\nLadue B,225,Fort Osage A,105
\nCalvary Lutheran A,280,North Kansas City,190
\nKickapoo,375,Eugene,155
\nParkway West,390,Washington A,240
\nHallsville,310,Washington B,245
\nMexico,245,Orchard Farm,150
\nCollege Heights Christian,325,Ladue A,280
\nLadue A,320,Parkway West,310
\nCalvary Lutheran B,155,Fort Osage B,40
\nHallsville,340,North Kansas City,170
\nCollege Heights Christian,460,Washington A,75
\nMexico,235,Eugene,170
\nKickapoo,395,Calvary Lutheran A,175
\nOrchard Farm,210,Washington B,150
\nMoberly B,145,Fort Osage A,85
\nMoberly A,235,Washington C,60
\nJefferson City,190,Pilot Grove,110
\nEldon,330,Ladue B,-5
\nLutheran St. Charles A,140,Lutheran St. Charles B,125
\nWashington B,285,Mexico,155
\nJefferson City,240,Fort Osage A,140
\nPilot Grove,185,Moberly B,120
\nLutheran St. Charles B,130,Fort Osage B,70
\nLadue B,240,Washington C,50
\nCalvary Lutheran B,255,Lutheran St. Charles A,45
\nKickapoo,420,North Kansas City,225
\nHallsville,390,Calvary Lutheran A,135
\nParkway West,375,College Heights Christian,240
\nMoberly A,230,Eldon,170
\nWashington A,320,Ladue A,250
\nEugene,385,Orchard Farm,130
\nLadue A,485,Washington A,165
\nCollege Heights Christian,350,Parkway West,250
