Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Calvary Lutheran A",430,3,14,1,250,14.71,Pilot Grove,30,0,2,0,10,5.00,20
"
Parkway West",485,4,10,1,330,23.57,Rockhurst B,135,2,3,1,80,16.00,20
"
Lindbergh A",410,3,11,1,260,18.57,Calvary Lutheran B,100,1,3,1,60,15.00,20
"
Troy Buchanan A",290,1,11,3,180,15.00,Washington C,45,0,3,3,30,10.00,20
"
Lindbergh B",340,2,10,2,220,18.33,Rock Bridge,160,3,4,1,80,11.43,20
"
Warrenton",225,1,8,0,130,14.44,Mexico B,65,0,4,1,30,7.50,20
"
Mexico A",340,5,6,1,210,19.09,Rockhurst A,180,1,6,1,110,15.71,20
"
Moberly A",255,1,11,0,130,10.83,Troy Buchanan B,95,0,4,1,60,15.00,20
"
Jefferson City",210,1,9,3,120,12.00,Moberly B,100,1,5,1,40,6.67,20
"
Washington A",255,1,11,4,150,12.50,Fulton,165,1,5,0,100,16.67,20
"
Washington B",215,2,7,1,120,13.33,Helias,130,0,5,0,80,16.00,20
"
Moberly C",110,0,6,0,50,8.33,Eldon,95,1,3,0,50,12.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mexico A",430,5,10,3,270,18.00,Eldon,50,0,3,0,20,6.67,20
"
Parkway West",455,5,9,2,300,21.43,Troy Buchanan A,120,1,3,1,80,20.00,20
"
Lindbergh B",365,1,13,4,240,17.14,Troy Buchanan B,90,0,5,0,40,8.00,20
"
Lindbergh A",320,1,11,1,200,16.67,Warrenton,135,2,4,1,70,11.67,20
"
Rock Bridge",235,0,11,3,140,12.73,Fulton,90,0,4,2,60,15.00,20
"
Washington A",260,0,12,4,160,13.33,Moberly A,115,1,4,0,60,12.00,20
"
Calvary Lutheran A",195,0,10,1,100,10.00,Rockhurst B,65,1,4,2,20,4.00,20
"
Washington B",195,0,10,3,110,11.00,Moberly C,80,0,4,0,40,10.00,20
"
Rockhurst A",190,2,8,4,100,10.00,Helias,125,0,6,1,70,11.67,20
"
Washington C",95,0,8,1,20,2.50,Pilot Grove,35,0,3,1,10,3.33,20
"
Moberly B",105,1,4,0,50,10.00,Mexico B,70,0,5,4,40,8.00,20
"
Jefferson City",150,2,7,2,60,6.67,Calvary Lutheran B,140,2,5,0,60,8.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Parkway West",550,5,12,3,370,21.76,Washington C,0,0,0,0,0,0.00,20
"
Mexico A",480,8,8,2,290,18.12,Moberly C,10,0,1,0,0,0.00,20
"
Lindbergh A",470,3,14,1,290,17.06,Mexico B,20,0,1,0,10,10.00,20
