Belmont,515,AMSA,205
Kinkaid,785,Philips Andover C,0
Mather A,375,Philips Andover B,200
Mather B,250,Philips Andover A,210
NCSSM A,500,NCSSM B,50
Ridgewood,485,AMSA,230
Kinkaid,505,Belmont,270
Mather B,390,Philips Andover C,45
NCSSM A,495,Philips Andover B,95
NCSSM B,240,Philips Andover A,175
Ridgewood,505,Mather A,205
Belmont,475,Mather B,210
Kinkaid,665,AMSA,55
NCSSM B,285,Philips Andover C,80
Philips Andover B,230,Philips Andover A,225
Belmont,580,NCSSM B,85
Kinkaid,640,Mather B,95
Philips Andover B,325,Philips Andover C,60
Ridgewood,480,NCSSM A,205
Mather A,340,AMSA,270
AMSA,350,Mather B,200
Mather A,455,NCSSM A,175
Kinkaid,640,NCSSM B,65
Ridgewood,620,Philips Andover A,105
Belmont,485,Philips Andover B,135
Philips Andover A,330,Mather A,260
Mather B,330,NCSSM B,145
NCSSM A,295,AMSA,275
Kinkaid,615,Philips Andover B,55
Ridgewood,565,Philips Andover C,10
Ridgewood,420,Belmont,310
Mather B,280,Philips Andover B,220
Philips Andover A,340,NCSSM A 330,OT
AMSA,365,NCSSM B,115
Mather A,485,Philips Andover C,80
AMSA,330,Philips Andover A,295
NCSSM A,525,Philips Andover C,0
Belmont,555,Mather A,135
NCSSM B,340,Philips Andover B,220
Kinkaid,505,Ridgewood,260
Belmont,430,NCSSM A,155
Philips Andover A,380,Philips Andover C,10
AMSA,480,Philips Andover B,60
Ridgewood,670,Mather B,30
Kinkaid,550,Mather A,175
Kinkaid,585,NCSSM A,175
Ridgewood,735,NCSSM B,25
Belmont,415,Philips Andover A,275
AMSA,545,Philips Andover C,30
Mather A,445,Mather B,170
Ridgewood,620,Philips Andover B,45
Belmont,660,Philips Andover C,45
Mather A,560,NCSSM B,65
Mather B,335,NCSSM A,215
Kinkaid,505,Philips Andover A,220
