Walnut Hills,260,Tippecanoe B,10
Miami Valley A,300,Sidney,65
Dunbar,360,Northmont B,120
Solon B,330,Celina,30
Indian Hill,235,St. Xavier B,75
Solon A,525,Butler,65
Beavercreek,375,St. Xavier A,85
Northmont A,290,Mason,65
Tippecanoe A,270,Miami Valley B,115
Northmont A,510,St. Xavier B,40
Tippecanoe A,290,Northmont B,180
Sidney,190,Tippecanoe B,60
Solon B,495,Indian Hill,120
Solon A,400,Miami Valley A,190
Mason,300,Celina,20
St. Xavier A,265,Miami Valley B,130
Walnut Hills,285,Butler,90
Dunbar,430,Beavercreek,205
Solon B,380,St. Xavier B,140
Northmont A,475,Celina,40
Indian Hill,215,Mason,190
Northmont B,210,St. Xavier A,200
Beavercreek,305,Miami Valley B,105
Dunbar,425,Tippecanoe A,60
Butler,165,Tippecanoe B,80
Solon A,685,Sidney,-10
Miami Valley A,235,Walnut Hills,195
Northmont A,425,Indian Hill,120
Solon B,390,Mason,155
St. Xavier B,155,Celina,85
Beavercreek,490,Tippecanoe A,85
Northmont B,250,Miami Valley B,40
Dunbar,420,St. Xavier A,165
Miami Valley A,260,Butler,130
Walnut Hills,200,Sidney,155
Solon A,545,Tippecanoe B,50
Indian Hill,440,Celina,10
Northmont A,365,Solon B,250
St. Xavier A,235,Tippecanoe A,155
Mason,265,St. Xavier B,140
Beavercreek,445,Northmont B,70
Solon A,500,Walnut Hills,80
Dunbar,575,Miami Valley B,5
Butler,135,Sidney,80
Miami Valley A,480,Tippecanoe B,10
St. Xavier A,265,Mason,185
Northmont A,375,Solon B,215
Indian Hill,290,Butler,95
Beavercreek,330,Dunbar,300
Solon A,545,Miami Valley A,130
Walnut Hills,210,Tippecanoe A,175
Miami Valley B,110,Sidney,65
Northmont B,265,Celina,20
St. Xavier B,180,Tippecanoe B,30
Mason,330,Butler,75
Miami Valley A,300,Northmont A,295
St. Xavier A,175,Walnut Hills,160
Solon A,525,Beavercreek,115
Indian Hill,245,Tippecanoe A,80
Dunbar,485,Solon B,155
Sidney,160,Celina,10
Miami Valley B,120,St. Xavier B,90
Northmont B,245,Tippecanoe B,65
Miami Valley B,190,Tippecanoe B,30
Indian Hill,245,St. Xavier A,180
Tippecanoe A,255,Butler,120
Mason,250,Walnut Hills,245
Beavercreek,365,Miami Valley A,175
Solon A,415,Solon B,220
Dunbar,470,Northmont A,240
Northmont B,220,Miami Valley B,110
Tippecanoe B,105,Celina,20
St. Xavier B, 150, Sidney, 90
Northmont B,275,St. Xavier B,230
Indian Hill,240,Mason,235
Solon B,400,Beavercreek,155
Walnut Hills,230,Butler,105
Tippecanoe A,315,St. Xavier A,125
Dunbar,435,Miami Valley A,210
Solon A,615,Northmont A,160
Northmont B,295,Sidney,65
St. Xavier B, 180, Celina, 30
Sidney,265,Tippecanoe B,50
Northmont A,430,Beavercreek,150
Solon A,350,Dunbar,315
St. Xavier A,250,Butler,120
Tippecanoe A,245,Mason,215
Solon B,300,Miami Valley A,285
Walnut Hills,225,Indian Hill,180
Miami Valley B,190,Celina,50
