Winner,Score,Loser,Score
"
Champlain Valley B",375,Essex B,70
"
Champlain Valley A",365,BFA-St. Albans A,100
"
Burlington A",340,Essex A,230
"
Mt. Abraham",210,BFA-Fairfax A,130
"
Spaulding",160,BFA-Fairfax B,80
"
Burlington B",225,South Burlington B,160
"
Champlain Valley D",135,South Burlington D,70
"
South Burlington A",190,Rice Memorial A,140
"
BFA-St. Albans B",140,Rice Memorial B,120
"
South Burlington C",150,Champlain Valley C,135
Winner,Score,Loser,Score
"
Champlain Valley A",410,BFA-Fairfax A,30
"
Champlain Valley C",230,South Burlington D,85
"
Burlington B",215,Essex B,75
"
Burlington A",285,South Burlington A,165
"
Essex A",260,Rice Memorial A,175
"
Rice Memorial B",130,BFA-Fairfax B,80
"
Spaulding",115,BFA-St. Albans B,85
"
South Burlington B",190,Champlain Valley B,170
"
Mt. Abraham",200,BFA-St. Albans A,180
"
South Burlington C",95,Champlain Valley D,90
Winner,Score,Loser,Score
"
Champlain Valley A",375,Mt. Abraham,95
"
Champlain Valley C",295,Champlain Valley D,85
"
BFA-St. Albans B",240,BFA-Fairfax B,35
"
BFA-St. Albans A",210,BFA-Fairfax A,75
"
Burlington A",245,Rice Memorial A,180
"
Essex B",180,South Burlington B,130
"
South Burlington C",105,South Burlington D,70
"
Rice Memorial B",95,Spaulding,65
"
South Burlington A",270,Essex A,250
"
Burlington B",230,Champlain Valley B,220
Winner,Score,Loser,Score
"
Rice Memorial A",345,BFA-Fairfax A,90
"
Champlain Valley B",265,Spaulding,105
"
Burlington A",265,Essex B,120
"
South Burlington C",170,BFA-Fairfax B,40
"
Essex A",310,BFA-St. Albans A,185
"
Champlain Valley D",170,South Burlington D,75
"
Champlain Valley C",170,BFA-St. Albans B,95
"
Rice Memorial B",115,South Burlington B,75
"
Burlington B",110,Mt. Abraham,70
"
Champlain Valley A",260,South Burlington A,230
Winner,Score,Loser,Score
"
South Burlington A",350,Burlington B,85
"
Champlain Valley B",315,BFA-Fairfax A,110
"
Essex A",290,South Burlington B,125
"
Burlington A",220,BFA-St. Albans A,100
"
Champlain Valley A",325,Rice Memorial A,225
"
Champlain Valley C",215,South Burlington C,115
"
Champlain Valley D",135,BFA-Fairfax B,60
"
BFA-St. Albans B",195,South Burlington D,130
"
Spaulding",130,Mt. Abraham,110
"
Essex B",165,Rice Memorial B,150
