Winner,Score,Loser,Score
"
Essex A",270,Rice Memorial,75
"
BFA-St. Albans A",220,South Burlington B,130
"
Burlington A",170,South Burlington A,150
Winner,Score,Loser,Score
"
Burlington A",395,South Burlington B,75
"
South Burlington A",225,Essex A,145
"
Rice Memorial",190,BFA-St. Albans A,160
Winner,Score,Loser,Score
"
South Burlington A",325,BFA-St. Albans A,140
"
Rice Memorial",210,South Burlington B,75
"
Burlington A",265,Essex A,220
Winner,Score,Loser,Score
"
Essex A",335,BFA-St. Albans A,140
"
Burlington A",285,Rice Memorial,140
"
South Burlington A",185,South Burlington B,65
Winner,Score,Loser,Score
"
Burlington A",305,BFA-St. Albans A,85
"
Essex A",255,South Burlington B,105
"
South Burlington A",215,Rice Memorial,155
