Winner,Score,Loser,Score
"
Hanover",325,Champlain Valley A,195
"
Essex A",225,Burlington A,165
"
Lyndon Institute",240,St. Johnsbury,190
Winner,Score,Loser,Score
"
Essex A",480,Lyndon Institute,110
"
Champlain Valley A",280,St. Johnsbury,120
"
Hanover",320,Burlington A,205
Winner,Score,Loser,Score
"
Hanover",355,St. Johnsbury,15
"
Burlington A",350,Lyndon Institute,95
"
Essex A",280,Champlain Valley A,195
Winner,Score,Loser,Score
"
Essex A",340,St. Johnsbury,180
"
Hanover",265,Lyndon Institute,110
"
Champlain Valley A",285,Burlington A,170
Winner,Score,Loser,Score
"
Champlain Valley A",300,Lyndon Institute,120
"
Burlington A",280,St. Johnsbury,115
"
Essex A",260,Hanover,190
