Winner,Score,Loser,Score
"
Hanover",420,Lyndon Institute,180
"
BFA-St. Albans A",270,Spaulding,110
"
Mt. Abraham A",255,Montpelier,150
"
Burlington A",320,Champlain Valley A,225
"
South Burlington A",295,St. Johnsbury,210
"
Woodstock A",225,BFA-Fairfax A,175
"
Rice Memorial A",250,Essex,210
Winner,Score,Loser,Score
"
Hanover",515,Mt. Abraham A,75
"
Burlington A",445,BFA-St. Albans A,180
"
Lyndon Institute",275,Spaulding,115
"
BFA-Fairfax A",305,Montpelier,190
"
Essex",365,St. Johnsbury,255
"
Rice Memorial A",315,Woodstock A,230
"
Champlain Valley A",325,South Burlington A,275
Winner,Score,Loser,Score
"
Essex",380,Mt. Abraham A,120
"
Montpelier",250,Spaulding,130
"
Woodstock A",250,BFA-St. Albans A,180
"
South Burlington A",250,St. Johnsbury,200
"
Hanover",280,Champlain Valley A,265
"
Lyndon Institute",275,BFA-Fairfax A,260
"
Burlington A",310,Rice Memorial A,305
Winner,Score,Loser,Score
"
St. Johnsbury",335,Spaulding,130
"
Essex",350,Mt. Abraham A,155
"
Champlain Valley A",340,Montpelier,155
"
Hanover",405,Burlington A,330
"
South Burlington A",340,Woodstock A,270
"
Lyndon Institute",275,Rice Memorial A,225
"
BFA-St. Albans A",225,BFA-Fairfax A,210
Winner,Score,Loser,Score
"
Woodstock A",285,Mt. Abraham A,125
"
Lyndon Institute",335,BFA-Fairfax A,210
Winner,Score,Loser,Score
"
Woodstock A",290,Lyndon Institute,230
