Winner,Score,Loser,Score
"
Leon A",380,Collegiate High at NWFSC C,50
"
Niceville A",270,Alma Bryant B,30
"
Fort Walton Beach B",230,Bainbridge C,15
"
Niceville B",240,Bainbridge B,40
"
Bainbridge A",255,Niceville C,80
"
Pensacola B",195,Collegiate High at NWFSC D,25
"
Lawton Chiles",165,Midtown Classical B,35
"
Leon B",140,Lewis,75
"
Alma Bryant A",175,Fort Walton Beach A,120
"
Rocky Bayou Christian",135,Niceville D,90
"
Thomas County Central",190,Pensacola Catholic,150
"
Pensacola C",130,Collegiate High at NWFSC B,95
"
Ruckel Middle",135,Meigs Middle,100
"
Robert F. Munroe",85,Pensacola A,55
"
Collegiate High at NWFSC A",160,Midtown Classical A,140
Winner,Score,Loser,Score
"
Midtown Classical A",180,Niceville B,10
"
Bainbridge C",155,Lewis,-5
"
Fort Walton Beach A",175,Niceville D,20
"
Bainbridge A",165,Robert F. Munroe,50
"
Collegiate High at NWFSC B",130,Alma Bryant B,25
"
Leon B",140,Ruckel Middle,55
"
Alma Bryant A",230,Leon A,155
"
Niceville C",85,Collegiate High at NWFSC D,10
"
Niceville A",110,Midtown Classical B,35
"
Collegiate High at NWFSC A",210,Thomas County Central,150
"
Lawton Chiles",135,Pensacola C,90
"
Pensacola A",100,Pensacola B,60
"
Collegiate High at NWFSC C",75,Rocky Bayou Christian,40
"
Bainbridge B",30,Pensacola Catholic,0
"
Fort Walton Beach B",85,Meigs Middle,55
Winner,Score,Loser,Score
"
Thomas County Central",260,Niceville B,30
"
Alma Bryant A",235,Collegiate High at NWFSC C,75
"
Midtown Classical A",230,Bainbridge B,80
"
Collegiate High at NWFSC A",175,Pensacola Catholic,35
"
Pensacola C",165,Alma Bryant B,35
"
Pensacola B",195,Niceville C,75
"
Pensacola A",165,Bainbridge A,55
"
Leon B",160,Bainbridge C,70
"
Ruckel Middle",185,Fort Walton Beach B,100
"
Meigs Middle",135,Lewis,55
"
Robert F. Munroe",95,Collegiate High at NWFSC D,25
"
Lawton Chiles",155,Niceville A,85
"
Fort Walton Beach A",135,Rocky Bayou Christian,75
"
Leon A",105,Niceville D,90
"
Collegiate High at NWFSC B",65,Midtown Classical B,60
Winner,Score,Loser,Score
"
Leon A",395,Rocky Bayou Christian,60
"
Collegiate High at NWFSC A",300,Bainbridge B,55
"
Alma Bryant A",275,Niceville D,65
"
Lawton Chiles",250,Alma Bryant B,50
"
Meigs Middle",200,Bainbridge C,15
"
Niceville B",265,Pensacola Catholic,100
"
Bainbridge A",215,Collegiate High at NWFSC D,55
"
Ruckel Middle",230,Lewis,95
"
Pensacola C",145,Midtown Classical B,50
"
Niceville C",140,Pensacola A,80
"
Niceville A",115,Collegiate High at NWFSC B,85
"
Leon B",175,Fort Walton Beach B,145
"
Thomas County Central",165,Midtown Classical A,140
"
Fort Walton Beach A",175,Collegiate High at NWFSC C,165
"
Robert F. Munroe",115,Pensacola B,110
Winner,Score,Loser,Score
"
Pensacola A",235,Collegiate High at NWFSC D,10
"
Pensacola B",260,Bainbridge A,115
"
Ruckel Middle",160,Bainbridge C,20
"
Robert F. Munroe",165,Niceville C,45
"
Lawton Chiles",145,Collegiate High at NWFSC B,35
"
Midtown Classical A",135,Pensacola Catholic,50
"
Fort Walton Beach B",160,Lewis,75
"
Leon B",155,Meigs Middle,75
"
Thomas County Central",140,Bainbridge B,65
"
Alma Bryant A",160,Rocky Bayou Christian,90
"
Collegiate High at NWFSC C",120,Niceville D,60
"
Collegiate High at NWFSC A",220,Niceville B,165
"
Leon A",170,Fort Walton Beach A,140
"
Midtown Classical B",130,Alma Bryant B,105
"
Pensacola C",120,Niceville A,105
Winner,Score,Loser,Score
"
Niceville B",n/a,Pensacola A,n/a
"
Robert F. Munroe",n/a,Bainbridge C,n/a
"
Pensacola C",n/a,Bainbridge B,n/a
"
Pensacola Catholic",n/a,Leon B,n/a
"
Fort Walton Beach A",n/a,Niceville C,n/a
"
Collegiate High at NWFSC B",n/a,Bainbridge A,n/a
"
Leon A",n/a,Alma Bryant B,n/a
"
Niceville A",n/a,Meigs Middle,n/a
"
Midtown Classical A",n/a,Midtown Classical B,n/a
"
Pensacola D",n/a,Niceville D,n/a
"
Lawton Chiles",n/a,Collegiate High at NWFSC D,n/a
"
Collegiate High at NWFSC C",n/a,Fort Walton Beach B,n/a
"
Pensacola B",n/a,Rocky Bayou Christian,n/a
"
Thomas County Central",n/a,Lewis,n/a
Winner,Score,Loser,Score
"
Alma Bryant A",n/a,Niceville B,n/a
"
Robert F. Munroe",n/a,Pensacola C,n/a
"
Pensacola Catholic",n/a,Fort Walton Beach A,n/a
"
Leon A",n/a,Collegiate High at NWFSC B,n/a
"
Collegiate High at NWFSC A",n/a,Niceville A,n/a
"
Midtown Classical A",n/a,Pensacola D,n/a
"
Lawton Chiles",n/a,Collegiate High at NWFSC C,n/a
"
Thomas County Central",n/a,Pensacola B,n/a
Winner,Score,Loser,Score
"
Alma Bryant A",n/a,Robert F. Munroe,n/a
"
Leon A",n/a,Pensacola Catholic,n/a
"
Collegiate High at NWFSC A",n/a,Midtown Classical A,n/a
"
Thomas County Central",n/a,Lawton Chiles,n/a
Winner,Score,Loser,Score
"
Leon A",n/a,Alma Bryant A,n/a
"
Thomas County Central",n/a,Collegiate High at NWFSC A,n/a
Winner,Score,Loser,Score
"
Leon A",n/a,Thomas County Central,n/a
