Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth",425,5,7,2,290,24.17,Advanced Math & Science,105,1,4,4,70,14.00,20
"
Hopkinton",330,2,11,0,190,14.62,Marshwood,140,3,3,1,70,11.67,20
"
Windham",220,1,9,3,130,13.00,Bishop Ludden B,55,1,2,2,30,10.00,20
"
Hanover",315,4,7,5,210,19.09,Bishop Ludden A,160,2,4,2,100,16.67,20
"
Brookline",310,5,4,1,200,22.22,Hopkins,285,3,7,0,170,17.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Brookline",525,2,16,1,340,18.89,Bishop Ludden B,15,0,1,1,10,10.00,20
"
Hanover",405,2,10,1,280,23.33,Hopkins,230,5,2,3,150,21.43,20
"
Advanced Math & Science",300,2,9,2,190,17.27,Marshwood,140,1,4,1,90,18.00,20
"
Hopkinton",350,4,7,0,220,20.00,Windham,205,0,8,5,150,18.75,20
"
Plymouth",225,1,8,4,150,16.67,Bishop Ludden A,210,2,5,0,130,18.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hanover",460,2,13,0,300,20.00,Bishop Ludden B,75,2,1,1,40,13.33,20
"
Brookline",355,1,12,4,240,18.46,Windham,145,0,6,3,100,16.67,20
"
Bishop Ludden A",250,2,9,4,150,13.64,Marshwood,55,0,5,3,20,4.00,20
"
Hopkinton",250,1,8,1,160,17.78,Advanced Math & Science,80,1,3,3,50,12.50,20
"
Plymouth",280,2,10,2,160,13.33,Hopkins,265,4,4,1,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth",415,2,13,3,270,18.00,Bishop Ludden B,50,0,3,0,20,6.67,20
"
Hopkins",380,4,8,4,260,21.67,Marshwood,45,0,3,1,20,6.67,20
"
Hanover",425,5,8,2,280,21.54,Windham,150,2,5,2,80,11.43,20
"
Advanced Math & Science",305,3,9,4,190,15.83,Bishop Ludden A,100,0,4,2,70,17.50,20
"
Brookline",335,2,9,1,220,20.00,Hopkinton,250,1,8,1,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkins",400,3,10,1,260,20.00,Advanced Math & Science,85,1,4,4,50,10.00,20
"
Hanover",385,4,8,1,250,20.83,Brookline,165,0,7,1,100,14.29,20
"
Marshwood",240,1,8,1,150,16.67,Bishop Ludden B,110,0,6,0,50,8.33,20
"
Hopkinton",295,2,8,1,190,19.00,Bishop Ludden A,225,3,6,2,130,14.44,20
"
Windham",260,2,9,2,150,13.64,Plymouth,240,3,5,3,160,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Brookline",355,5,6,0,220,20.00,Plymouth,240,4,5,4,150,16.67,20
"
Hanover",305,2,7,3,220,24.44,Hopkinton,200,5,3,1,100,12.50,20
"
Windham",225,5,5,4,120,12.00,Marshwood,160,2,4,0,90,15.00,20
"
Bishop Ludden A",290,4,7,2,170,15.45,Hopkins,265,3,6,0,160,17.78,20
"
Advanced Math & Science",140,1,7,5,80,10.00,Bishop Ludden B,120,2,4,2,60,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop Ludden A",265,1,11,2,150,12.50,Bishop Ludden B,85,1,4,0,30,6.00,20
"
Brookline",260,1,10,3,160,14.55,Marshwood,120,2,4,2,60,10.00,20
"
Windham",205,2,7,3,120,13.33,Advanced Math & Science,160,0,8,2,90,11.25,20
"
Hopkins",245,4,4,1,150,18.75,Hopkinton,215,4,4,1,120,15.00,20
"
Hanover",275,3,6,2,180,20.00,Plymouth,245,4,6,3,140,14.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hopkins",430,3,11,1,280,20.00,Bishop Ludden B,20,0,1,0,10,10.00,20
"
Bishop Ludden A",320,3,7,3,220,22.00,Windham,145,0,6,3,100,16.67,20
"
Brookline",290,0,10,2,200,20.00,Advanced Math & Science,210,2,5,4,150,21.43,20
"
Hopkinton",270,3,6,1,170,18.89,Plymouth,240,1,7,1,160,20.00,20
"
Hanover",265,1,8,6,200,22.22,Marshwood,240,3,5,1,150,18.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hanover",435,4,10,3,290,20.71,Advanced Math & Science,5,0,1,3,10,10.00,20
"
Hopkins",345,4,8,2,215,17.92,Windham,90,1,4,3,50,10.00,20
"
Hopkinton",310,0,11,2,210,19.09,Bishop Ludden B,85,0,4,1,50,12.50,20
"
Brookline",360,4,7,4,250,22.73,Bishop Ludden A,150,1,5,1,90,15.00,20
"
Plymouth",290,1,11,3,180,15.00,Marshwood,110,0,5,0,60,12.00,20
