\nSullivan A,385,Francis Howell Central,130
\nWashington A,300,Ladue C,140
\nMascoutah IL,350,CBC,130
\nLadue A,715,Webster Groves,40
\nParkway West,590,Lutheran St. Charles,20
\nLadue B,300,Brentwood,50
\nWashington B,270,Ladue D,90
\nLindbergh A,380,Clayton,210
\nLadue A,630,CBC,55
\nSullivan A,460,Ladue C,40
\nLindbergh B,290,Webster Groves,250
\nWashington A,450,Bayless,85
\nLindbergh A,470,Ladue D,55
\nParkway West,645,Brentwood,20
\nClayton,270,Sullivan B,130
\nLadue B,195,Washington C,90
\nLindbergh B,325,CBC,175
\nLadue A,555,Mascoutah IL,135
\nBayless,230,Ladue C,70
\nLindbergh A,440,Washington B,80
\nWashington A,245,Francis Howell Central,125
\nWashington C,120,Brentwood,65
\nLadue B,360,Lutheran St. Charles,100
\nSullivan B,265,Ladue D,220
\nFrancis Howell Central,150,Bayless,110
\nSullivan A,360,Washington A,225
\nMascoutah IL,315,Webster Groves,160
\nLadue A,565,Lindbergh B,95
\nParkway West,535,Ladue B,175
\nClayton,235,Washington B,155
\nLutheran St. Charles,140,Washington C,115
\nLindbergh A,255,Sullivan B,180
\nWebster Groves,240,CBC,210
\nSullivan A,415,Bayless,55
\nMascoutah IL,245,Lindbergh B,240
\nFrancis Howell Central,215,Ladue C,80
\nParkway West,605,Washington C,10
\nSullivan B,235,Washington B,130
\nClayton,205,Ladue D,195
\nLutheran St. Charles,160,Brentwood,30
\nParkway West,375,Sullivan A,235
\nLadue A,590,Lindbergh A,95
\nFrancis Howell Central,210,Lutheran St. Charles,60
\nWebster Groves,285,Washington B,190
\nLadue B,275,Mascoutah IL,270
\nClayton,270,Washington A,255
\nLindbergh B,285,Sullivan B,190
\nWashington C,195,Bayless,135
\nLadue D,235,CBC,220
\nBrentwood,165,Ladue C,110
\nParkway West,465,Mascoutah IL,225
\nSullivan A,300,Ladue B,120
\nLadue A,650,Washington A,75
\nClayton,410,Lindbergh A,185
\nBayless,230,Ladue D,190
\nWashington C,135,Ladue C,130
\nCBC,295,Brentwood,20
\nLindbergh B,315,Lutheran St. Charles,90
\nWebster Groves,345,Sullivan B,170
\nFrancis Howell Central,210,Washington B,150
\nLadue A,615,Clayton,125
\nLindbergh A,350,Washington A,205
\nParkway West,535,Ladue B,135
\nSullivan A,350,Mascoutah IL,200
\nWebster Groves,230,Lutheran St. Charles,105
\nSullivan B,295,Washington B,70
\nLindbergh B,225,Francis Howell Central,170
\nLadue C,175,Ladue D,165
\nWashington C,140,Brentwood,130
\nCBC,285,Bayless,195
\nParkway West,555,Clayton,80
