\nIthaca A,430,Clarke,110
\nDetroit Catholic Central,705,North Babylon,30
\nMountain Lakes,250,Choate Koala,220
\nDetroit Country Day,480,Moravian Academy,135
\nStaples,425,1066 B,135
\nPower Man in Hava-Neg A,535,Stuyvesant,155
\nChoate Quokka,620,John P. Stevens B,10
\nStrake Jesuit,515,Power Man in Hava-Neg D,115
\nPrinces Anne,510,Ridgewood A,60
\nWoodland,445,Edison A,195
\nDowningtown STEM,420,Ridgewood B,95
\nPower Man in Hava-Neg B,250,Edison B,220
\nHigh Tech,415,Bronx Science,220
\nChenery,450,Choate Wombat,95
\nDarien,355,1066 A,170
\nEast Brunswick,465,Northmont B,90
\nJohn P. Stevens A,565,Power Man in Hava-Neg C,80
\nJohn P. Stevens A,545,Northmont B,85
\nWoodland,425,Choate Koala,100
\nDarien,520,Edison B,80
\nMountain Lakes,295,Stuyvesant,90
\nPrinces Anne,435,1066 A,140
\nPower Man in Hava-Neg B,345,Ridgewood A,130
\nChenery,425,Moravian Academy,165
\nHigh Tech,340,Choate Wombat,135
\n1066 B,290,East Brunswick,210
\nDetroit Country Day,660,Bronx Science,40
\nDowningtown STEM,530,North Babylon,15
\nPower Man in Hava-Neg A,525,Edison A,135
\nStaples,375,Power Man in Hava-Neg C,135
\nDetroit Catholic Central,495,Clarke,105
\nIthaca A,425,Ridgewood B,140
\nStrake Jesuit,560,John P. Stevens B,20
\nChoate Quokka,525,Ithaca B,85
\nNorthmont A,305,Power Man in Hava-Neg D,155
\nPrinces Anne,285,Darien,260
\n1066 A,290,Power Man in Hava-Neg B,135
\nDetroit Country Day,325,High Tech,280
\nJohn P. Stevens A,390,East Brunswick,240
\nRidgewood A,245,Edison B,215
\nChenery,340,Bronx Science,220
\nMoravian Academy,245,Choate Wombat,215
\n1066 B,250,Power Man in Hava-Neg C,230
\nWoodland,360,Power Man in Hava-Neg A,285
\nStaples,340,Northmont B,95
\nEdison A,310,Mountain Lakes,225
\nDetroit Catholic Central,405,Ithaca A,215
\nChoate Koala,320,Stuyvesant,145
\nPower Man in Hava-Neg D,195,Ithaca B,110
\nRidgewood B,410,North Babylon,60
\nNorthmont A,505,John P. Stevens B,45
\nChoate Quokka,465,Strake Jesuit,225
\nDowningtown STEM,375,Clarke,50
\nJohn P. Stevens A,380,1066 B,225
\n1066 A,340,Ridgewood A,120
\nPrinces Anne,395,Edison B,120
\nChenery,445,High Tech,155
\nWoodland,470,Mountain Lakes,60
\nPower Man in Hava-Neg A,500,Choate Koala,160
\nEdison A,320,Stuyvesant,155
\nDetroit Country Day,655,Choate Wombat,10
\nNorthmont B,310,Power Man in Hava-Neg C,185
\nDarien,315,Power Man in Hava-Neg B,250
\nDetroit Catholic Central,635,Ridgewood B,65
\nEast Brunswick,410,Staples,200
\nBronx Science,375,Moravian Academy,140
\nStrake Jesuit,510,Ithaca B,125
\nChoate Quokka,360,Northmont A,265
\nPower Man in Hava-Neg D,345,John P. Stevens B,30
\nDowningtown STEM,365,Ithaca A,225
\nClarke,140,North Babylon,100
\nPrinces Anne,470,Power Man in Hava-Neg B,100
\nDarien,370,Ridgewood A,200
\nNorthmont B,310,1066 B,175
\nJohn P. Stevens A,505,Staples,145
\nEdison A,310,Choate Koala,145
\nEast Brunswick,290,Power Man in Hava-Neg C,275
\nHigh Tech,395,Moravian Academy,175
\nPower Man in Hava-Neg A,440,Mountain Lakes,120
\n1066 A,275,Edison B,195
\nWoodland,525,Stuyvesant,65
\nDetroit Country Day,670,Chenery,30
\nBronx Science,285,Choate Wombat,235
\nRidgewood B,335,Clarke,105
\nStrake Jesuit,340,Northmont A,330
\nDetroit Catholic Central,640,Downingtown STEM,80
\nIthaca A,510,North Babylon,15
\nChoate Quokka,590,Power Man in Hava-Neg D,50
\nIthaca B,185,John P. Stevens B,35
\nIthaca A,295,High Tech,205
\nNorthmont B,220,Ridgewood A,115
\nPrinces Anne,495,East Brunswick,105
\nDetroit Country Day,435,Downingtown STEM,180
\nChoate Koala,275,Ithaca B,120
\nDetroit Catholic Central,495,Chenery,140
\nChoate Quokka,320,Power Man in Hava-Neg A,250
\n1066 B,260,Power Man in Hava-Neg B,205
\nStaples,260,1066 A,215
\nDarien,320,John P. Stevens A,220
\nStrake Jesuit,355,Woodland,205
\nChoate Wombat,180,North Babylon,110
\nMountain Lakes,205,Power Man in Hava-Neg D,165
\nStuyvesant,215,John P. Stevens B,85
\nNorthmont A,350,Edison A,180
\nBronx Science,295,Ridgewood B,40
\nPower Man in Hava-Neg C,260,Edison B,210
\nMoravian Academy,235,Clarke,200
\nDetroit Catholic Central,370,Power Man in Hava-Neg A,350
\nJohn P. Stevens A,370,Strake Jesuit,240
\nWoodland,455,Downingtown STEM,75
\nIthaca A,315,Edison A,195
\nPrinces Anne,375,Chenery,250
\nClarke,165,Choate Koala,155
\n1066 A,310,High Tech,75
\nDetroit Country Day,435,Darien,265
\nPower Man in Hava-Neg C,295,John P. Stevens B,20
\nStuyvesant,195,North Babylon,20
\nChoate Quokka,365,East Brunswick,185
\nBronx Science,285,Power Man in Hava-Neg B,160
\nNorthmont A,315,Staples,245
\nEdison B,350,Choate Wombat,55
\n1066 B,200,Power Man in Hava-Neg D,125
\nRidgewood A,200,Moravian Academy,185
\nNorthmont B,265,Ithaca B,80
\nRidgewood B,205,Mountain Lakes,125
\nWoodland,325,Darien,270
\nDetroit Country Day,340,John P. Stevens A,335
\nPower Man in Hava-Neg A,415,East Brunswick,205
\nStrake Jesuit,285,Downingtown STEM,225
\nMountain Lakes,265,Power Man in Hava-Neg B,150
\nChoate Quokka,370,Chenery,155
\nIthaca A,325,Northmont A,280
\nChoate Koala,270,Ridgewood A,125
\nRidgewood B,165,Power Man in Hava-Neg D,150
\nChoate Wombat,275,Power Man in Hava-Neg C,130
\nStuyvesant,255,Edison B,200
\nDetroit Catholic Central,320,Princes Anne,295
\nClarke,200,Ithaca B,105
\nNorth Babylon,195,John P. Stevens B,60
\n1066 A,305,Edison A,220
\nNorthmont B,215,Moravian Academy,155
\nStaples,305,High Tech,125
\nBronx Science,285,1066 B,180
\nDetroit Country Day,405,Strake Jesuit,175
\nNorthmont A,320,High Tech,235
\nMoravian Academy,350,Ithaca B,85
\nJohn P. Stevens A,300,Woodland,265
\n1066 B,315,Mountain Lakes,130
\nDarien,380,Downingtown STEM,190
\nIthaca A,340,1066 A,160
\nStaples,280,Edison A,125
\nStuyvesant,265,Power Man in Hava-Neg C,200
\nChoate Wombat,175,John P. Stevens B,70
\nEdison B,300,North Babylon,10
\nPower Man in Hava-Neg D,230,Bronx Science,205
\nNorthmont B,210,Choate Koala,155
\nDetroit Catholic Central,390,Choate Quokka,215
\nChenery,310,East Brunswick,255
\nRidgewood B,215,Power Man in Hava-Neg B,210
\nPrinces Anne,335,Power Man in Hava-Neg A,260
\nRidgewood A,270,Clarke,65
\nDetroit Country Day,565,Woodland,65
\nEdison A,265,High Tech,85
\nStrake Jesuit,275,Darien,260
\nDowningtown STEM,400,John P. Stevens A,210
\nDetroit Catholic Central,320,East Brunswick,225
\nPower Man in Hava-Neg B,235,Power Man in Hava-Neg D,215
\nNorthmont B,220,Clarke,125
\nRidgewood A,150,Ithaca B,105
\n1066 B,275,Ridgewood B,105
\nBronx Science,310,Mountain Lakes,115
\nNorthmont A,300,1066 A,265
\nIthaca A,305,Staples,190
\nPower Man in Hava-Neg C,310,North Babylon,70
\nEdison B,215,John P. Stevens B,40
\nChoate Quokka,310,Princes Anne,260
\nPower Man in Hava-Neg A,395,Chenery,235
\nChoate Koala,180,Moravian Academy,140
\nDetroit Country Day,435,Detroit Catholic Central,215
