Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hanover A",405,9,2,4,270,24.55,Montpelier,20,0,1,0,10,10.00,17
"
Burlington A",320,3,8,1,200,18.18,Ticonderoga A,115,1,4,0,60,12.00,18
"
Champlain Valley A",295,3,7,2,190,19.00,Burlington B,160,0,6,2,110,18.33,18
"
Rice Memorial A",195,1,6,0,120,17.14,Plymouth A,140,2,4,6,100,16.67,16
"
Mt. Abraham A",180,1,6,1,110,15.71,BFA-St. Albans A,145,0,6,5,110,18.33,18
"
South Burlington A",225,0,9,3,150,16.67,Champlain Valley B,200,3,4,1,120,17.14,18
"
Essex A",240,3,5,3,160,20.00,Hanover B,220,1,7,3,150,18.75,19
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Burlington A",420,4,9,2,280,21.54,Hanover B,95,0,4,1,60,15.00,20
"
Hanover A",400,3,10,1,260,20.00,Champlain Valley A,95,2,2,1,50,12.50,17
"
Essex A",345,3,9,0,210,17.50,Ticonderoga A,115,1,3,0,70,17.50,18
"
Champlain Valley B",260,4,7,2,140,12.73,Mt. Abraham A,50,0,2,0,30,15.00,15
"
Burlington B",265,2,8,1,160,16.00,BFA-St. Albans A,85,1,2,0,50,16.67,15
"
Rice Memorial A",265,1,8,0,170,18.89,Montpelier,95,2,2,1,50,12.50,16
"
South Burlington A",215,2,7,5,140,15.56,Plymouth A,165,4,3,5,100,14.29,19
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Essex A",320,4,7,0,190,17.27,Montpelier,20,0,2,2,10,5.00,15
"
Champlain Valley A",335,6,5,1,200,18.18,Rice Memorial A,120,1,4,1,70,14.00,16
"
Hanover B",280,2,9,2,170,15.45,Ticonderoga A,90,2,2,0,40,10.00,16
"
South Burlington A",345,4,7,1,220,20.00,BFA-St. Albans A,170,1,5,1,110,18.33,19
"
Champlain Valley B",325,4,8,1,190,15.83,Plymouth A,150,1,5,5,110,18.33,20
"
Burlington A",305,3,8,2,190,17.27,Mt. Abraham A,145,1,5,0,80,13.33,18
"
Hanover A",320,5,5,3,210,21.00,Burlington B,165,1,5,0,100,16.67,17
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Champlain Valley B",270,1,10,3,170,15.45,Ticonderoga A,110,0,5,0,60,12.00,17
"
Champlain Valley A",285,1,9,0,180,18.00,Essex A,140,2,3,2,90,18.00,15
"
Hanover A",290,2,7,4,210,23.33,Plymouth A,160,0,6,2,110,18.33,16
"
Mt. Abraham A",195,0,10,1,100,10.00,Montpelier,65,0,4,1,30,7.50,17
"
Rice Memorial A",200,2,6,0,110,13.75,BFA-St. Albans A,155,2,5,1,80,11.43,16
"
Hanover B",190,2,6,2,110,13.75,Burlington B,165,1,5,2,110,18.33,16
"
South Burlington A",280,3,6,1,180,20.00,Burlington A,265,4,5,1,160,17.78,18
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
BFA-St. Albans A",325,1,11,0,200,16.67,Ticonderoga A,25,0,2,1,10,5.00,17
"
Plymouth A",305,1,10,4,210,19.09,Montpelier,45,0,3,1,20,6.67,17
"
Champlain Valley A",375,2,11,1,240,18.46,Essex A,160,1,4,1,110,22.00,20
"
Burlington A",390,3,9,1,260,21.67,Champlain Valley B,175,2,5,1,100,14.29,20
"
Burlington B",250,1,9,1,150,15.00,Mt. Abraham A,90,0,3,0,60,20.00,15
"
Hanover A",330,3,7,1,220,22.00,Hanover B,175,3,3,0,100,16.67,16
"
South Burlington A",270,4,4,2,180,22.50,Rice Memorial A,240,2,7,0,140,15.56,18
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Plymouth A",320,5,6,5,210,19.09,Mt. Abraham A,25,0,2,1,10,5.00,17
"
Burlington A",355,4,8,1,220,18.33,South Burlington A,165,1,5,6,130,21.67,19
"
Essex A",345,5,7,2,210,17.50,Hanover B,160,2,5,2,90,12.86,19
"
Champlain Valley B",260,2,7,2,170,18.89,Rice Memorial A,155,2,4,3,100,16.67,20
"
Burlington B",220,2,6,0,130,16.25,BFA-St. Albans A,145,1,5,0,80,13.33,15
"
Champlain Valley A",330,7,3,1,200,20.00,Hanover A,275,5,3,2,180,22.50,19
"
Ticonderoga A",125,0,6,1,70,11.67,Montpelier,115,1,5,2,60,10.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hanover A",400,5,8,1,250,19.23,South Burlington A,130,1,4,3,90,18.00,19
"
Plymouth A",315,7,4,0,170,15.45,Burlington B,55,3,0,0,10,3.33,14
"
Champlain Valley A",335,5,7,0,190,15.83,Burlington A,105,4,1,3,50,10.00,18
"
BFA-St. Albans A",175,3,5,4,100,12.50,Montpelier,95,1,5,2,40,6.67,15
"
Essex A",260,4,5,2,160,17.78,Champlain Valley B,215,2,7,1,120,13.33,18
"
Rice Memorial A",165,2,5,1,90,12.86,Hanover B,160,4,3,2,80,11.43,16
"
Ticonderoga A",170,1,7,1,90,11.25,Mt. Abraham A,165,2,4,1,100,16.67,15
