\nManheim A,545,Ridgewood B,135
\nIthaca,595,Trinity B,65
\nHunter A,585,Edison A,115
\nEast Brunswick B,440,Trinity A,50
\nTakers of Ls,335,Edison B,160
\nDetroit Country Day,385,Darien B,180
\nRidgewood A,485,Millburn A,195
\nStevens,330,Manheim B,205
\nHigh Tech A,345,Tower,295
\nDarien A,375,Hunter B,190
\nHigh Tech B,290,St Joseph,235
\nEast Brunswick A,350,Wilton,285
\nTrinity B,260,Ridgewood B,235
\nManheim A,455,Edison A,110
\nHunter A,590,Ithaca,125
\nTrinity A,245,Edison B,195
\nEast Brunswick B,245,Darien B,235
\nDetroit Country Day,395,Takers of Ls,210
\nMillburn A,325,Manheim B,200
\nRidgewood A,455,Tower,190
\nStevens,375,High Tech A,320
\nDarien A,425,High Tech B,120
\nWilton,485,Hunter B,120
\nEast Brunswick A,410,St Joseph,185
\nHunter A,435,Trinity B,120
\nEdison A,280,Ridgewood B,240
\nIthaca,400,Manheim A,230
\nDetroit Country Day,445,Edison B,55
\nDarien B,235,Trinity A,80
\nEast Brunswick B,345,Takers of Ls,210
\nHigh Tech A,495,Manheim B,45
\nMillburn A,240,Tower,175
\nStevens,375,Ridgewood A,320
\nEast Brunswick A,430,High Tech B,160
\nWilton,455,Darien A,200
\nSt Joseph,270,Hunter B,155
\nHunter A,495,Manheim A,165
\nIthaca,520,Ridgewood B,75
\nEdison A,345,Trinity B,110
\nDetroit Country Day,470,East Brunswick B,120
\nTakers of Ls,275,Trinity A,165
\nEdison B,245,Darien B,205
\nHigh Tech A,315,Ridgewood A,280
\nMillburn A,290,Stevens,280
\nTower,305,Manheim B,180
\nEast Brunswick A,455,Hunter B,160
\nDarien A,425,St Joseph,110
\nWilton,330,High Tech B,205
\nIthaca,340,Edison A,170
\nHunter A,550,Ridgewood B,80
\nManheim A,510,Trinity B,145
\nTakers of Ls,220,Darien B,200
\nDetroit Country Day,455,Trinity A,155
\nEast Brunswick B,235,Edison B,200
\nStevens,435,Tower,110
\nHigh Tech A,410,Millburn A,140
\nRidgewood A,480,Manheim B,165
\nWilton,545,St Joseph,50
\nEast Brunswick A,430,Darien A,210
\nHigh Tech B,285,Hunter B,190
\nDetroit Country Day,460,Wilton,140
\nEast Brunswick A,480,Ithaca,185
\nHigh Tech A,405,East Brunswick B,225
\nStevens,340,Hunter A,335
\nTakers of Ls,250,High Tech B,235
\nDarien A,375,Edison A,190
\nRidgewood A,580,Darien B,105
\nManheim A,460,Millburn A,160
\nHunter B,250,Edison B,175
\nSt Joseph,265,Ridgewood B,190
\nTower,370,Trinity A,190
\nTrinity B,250,Manheim B,200
\nEast Brunswick A,365,High Tech A,255
\nStevens,390,Wilton,310
\nHunter A,465,Detroit Country Day,250
\nIthaca,430,East Brunswick B,170
\nDarien A,350,Ridgewood A,315
\nHigh Tech B,255,Millburn A,165
\nManheim A,385,Takers of Ls,185
\nEdison A,330,Darien B,145
\nTower,355,St Joseph,140
\nManheim B,225,Hunter B,195
\nEdison B,335,Trinity B,120
\nRidgewood B,275,Trinity A,130
\nIthaca,380,Stevens,270
\nHunter A,405,High Tech A,265
\nDetroit Country Day,430,East Brunswick A,235
\nWilton,350,East Brunswick B,255
\nEdison A,325,Millburn A,155
\nRidgewood A,440,Manheim A,255
\nDarien A,275,Takers of Ls,255
\nHigh Tech B,300,Darien B,250
\nManheim B,265,Ridgewood B,180
\nTower,300,Trinity B,185
\nEdison B,360,St Joseph,200
\nHunter B,300,Trinity A,165
\nStevens,470,East Brunswick B,190
\nHunter A,470,East Brunswick A,225
\nWilton,425,Ithaca,215
\nDetroit Country Day,505,High Tech A,235
\nMillburn A,205,Darien B,190
\nManheim A,435,Darien A,305
\nEdison A,395,High Tech B,185
\nRidgewood A,455,Takers of Ls,140
\nManheim B,235,Trinity A,200
\nTrinity B,290,St Joseph,220
\nHunter B,310,Ridgewood B,200
\nTower,360,Edison B,160
\nHunter A,490,East Brunswick B,110
\nDetroit Country Day,400,Ithaca,180
\nHigh Tech A,400,Wilton,210
\nStevens,490,East Brunswick A,170
\nManheim A,425,Darien B,75
\nEdison A,365,Takers of Ls,195
\nRidgewood A,445,High Tech B,105
\nDarien A,470,Millburn A,60
\nTrinity B,240,Trinity A,215
\nEdison B,350,Ridgewood B,40
\nTower,290,Hunter B,135
\nManheim B,250,St Joseph,140
\nHigh Tech A,375,Ithaca,325
\nStevens,375,Detroit Country Day,305
\nEast Brunswick A,565,East Brunswick B,70
\nHunter A,365,Wilton,270
\nRidgewood A,395,Edison A,280
\nMillburn A,270,Takers of Ls,260
\nDarien A,385,Darien B,125
\nManheim A,630,High Tech B,15
\nManheim B,170,Edison B,155
\nHunter B,265,Trinity B,225
\nStevens,325,Hunter A,300
