\nLivingston A,510,Edison B,175
\nWilmington Charter,420,Princeton High,180
\nHunter A,440,Biotech A,145
\nWilton,540,High Tech B,105
\nEdison A,370,Friends Select B,110
\nDetroit Country Day,630,Middlesex Middle,80
\nIthaca A,445,Livingston B,150
\nFriends Select A,255,Hunter B,160
\nRidgewood A,365,Stevens B,65
\nStevens A,725,Ithaca B,20
\nRidgewood B,245,Biotech B,165
\nHigh Tech A,450,Livingston C,120
\nPrinceton High,345,Edison B,175
\nLivingston A,380,Biotech A,110
\nHunter A,510,Wilmington Charter,200
\nHigh Tech B,190,Friends Select B,50
\nWilton,440,Middlesex Middle,155
\nDetroit Country Day,610,Edison A,130
\nLivingston B,235,Friends Select A,145
\nIthaca A,415,Stevens B,65
\nRidgewood A,340,Hunter B,70
\nBiotech B,220,Ithaca B,90
\nStevens A,620,Livingston C,50
\nHigh Tech A,540,Ridgewood B,40
\nHunter A,425,Princeton High,280
\nBiotech A,270,Edison B,265
\nLivingston A,425,Wilmington Charter,200
\nDetroit Country Day,505,Friends Select B,70
\nMiddlesex Middle,255,High Tech B,80
\nWilton,330,Edison A,205
\nRidgewood A,440,Friends Select A,170
\nLivingston B,255,Stevens B,130
\nIthaca A,355,Hunter B,155
\nHigh Tech A,450,Biotech B,90
\nLivingston C,300,Ithaca B,65
\nStevens A,495,Ridgewood B,105
\nHunter A,440,Livingston A,250
\nWilmington Charter,270,Edison B,245
\nBiotech A,300,Princeton High,200
\nDetroit Country Day,445,Wilton,210
\nEdison A,465,High Tech B,40
\nMiddlesex Middle,265,Friends Select B,135
\nIthaca A,455,Ridgewood A,40
\nLivingston B,235,Hunter B,200
\nFriends Select A,215,Stevens B,140
\nStevens A,490,High Tech A,190
\nRidgewood B,290,Ithaca B,45
\nLivingston C,145,Biotech B,140
\nBiotech A,310,Wilmington Charter,245
\nHunter A,500,Edison B,160
\nLivingston A,490,Princeton High,180
\nEdison A,300,Middlesex Middle,165
\nDetroit Country Day,530,High Tech B,75
\nWilton,460,Friends Select B,85
\nHunter B,205,Stevens B,90
\nRidgewood A,235,Livingston B,170
\nIthaca A,325,Friends Select A,195
\nRidgewood B,285,Livingston C,30
\nHigh Tech A,455,Ithaca B,45
\nStevens A,465,Biotech B,125
