Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Arcadia A",595,13,2,4,400,26.67,St. Augustine A,80,0,3,0,50,16.67,20
"
Santa Monica A",530,6,10,4,360,22.50,Our Lady of Peace B,15,0,1,1,10,10.00,20
"
Francis Parker A",415,6,6,3,280,23.33,Westview A,135,1,6,2,70,10.00,20
"
Del Norte A",455,5,9,4,310,22.14,Olympian A,175,2,4,1,110,18.33,20
"
St. Margaret's Episcopal",365,3,9,6,260,21.67,St. Augustine B,115,0,6,1,60,10.00,20
"
Bishop's School A",340,6,7,4,200,15.38,Our Lady of Peace A,120,2,2,0,70,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Del Norte A",535,5,13,2,340,18.89,St. Augustine B,10,0,1,0,0,0.00,20
"
Santa Monica A",505,5,9,4,360,25.71,St. Augustine A,115,0,4,1,80,20.00,20
"
Arcadia A",460,9,3,5,320,26.67,Westview A,110,0,6,2,60,10.00,20
"
Francis Parker A",360,4,8,6,250,20.83,Our Lady of Peace B,60,0,4,0,20,5.00,20
"
St. Margaret's Episcopal",325,4,7,1,200,18.18,Bishop's School A,260,5,3,5,180,22.50,20
"
Olympian A",260,1,8,3,180,20.00,Our Lady of Peace A,195,1,8,0,100,11.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Del Norte A",605,8,9,1,400,23.53,Our Lady of Peace A,50,1,2,1,20,6.67,20
"
Arcadia A",565,11,5,4,370,23.12,Our Lady of Peace B,30,0,1,0,20,20.00,20
"
Bishop's School A",435,4,11,3,280,18.67,St. Augustine B,10,0,1,0,0,0.00,20
"
Westview A",350,2,10,2,230,19.17,St. Augustine A,60,0,2,0,40,20.00,20
"
St. Margaret's Episcopal",375,6,4,3,260,26.00,Olympian A,220,1,7,3,150,18.75,20
"
Santa Monica A",400,6,4,2,280,28.00,Francis Parker A,310,7,2,3,200,22.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Francis Parker A",415,6,7,5,280,21.54,St. Augustine A,105,1,4,0,50,10.00,20
"
Westview A",295,0,12,5,200,16.67,Our Lady of Peace B,100,0,6,2,50,8.33,20
"
Arcadia A",445,11,0,2,290,26.36,Santa Monica A,340,4,5,0,230,25.56,20
"
Olympian A",315,3,7,0,200,20.00,Bishop's School A,265,4,5,7,190,21.11,20
"
Del Norte A",355,6,4,5,250,25.00,St. Margaret's Episcopal,305,5,5,2,190,19.00,20
"
St. Augustine B",160,1,7,1,80,10.00,Our Lady of Peace A,145,1,6,6,100,14.29,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Santa Monica A",575,7,9,2,390,24.38,Westview A,55,0,2,1,40,20.00,20
"
St. Margaret's Episcopal",465,4,11,1,300,20.00,Our Lady of Peace A,140,1,4,1,90,18.00,20
"
Arcadia A",480,6,6,2,340,28.33,Francis Parker A,200,4,3,2,120,17.14,20
"
Olympian A",320,1,11,3,210,17.50,St. Augustine B,105,1,4,0,50,10.00,20
"
St. Augustine A",195,1,8,2,110,12.22,Our Lady of Peace B,55,0,3,1,30,10.00,20
"
Bishop's School A",285,3,8,2,170,15.45,Del Norte A,230,3,4,3,160,22.86,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Arcadia A",655,12,5,1,430,25.29,Del Norte A,65,1,2,0,30,10.00,20
"
Our Lady of Peace A",420,3,13,1,250,15.62,Our Lady of Peace B,35,0,2,1,20,10.00,20
"
Santa Monica A",515,4,10,1,360,25.71,St. Margaret's Episcopal,175,4,2,1,100,16.67,20
"
Bishop's School A",425,7,6,2,270,20.77,Westview A,120,1,4,1,70,14.00,20
"
St. Augustine A",275,1,11,0,150,12.50,St. Augustine B,85,0,5,1,40,8.00,20
"
Olympian A",315,6,3,1,200,22.22,Francis Parker A,295,5,5,0,170,17.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Santa Monica A",575,9,7,2,380,23.75,Del Norte A,85,3,0,2,50,16.67,20
"
Arcadia A",590,13,2,1,380,25.33,Olympian A,160,4,1,0,90,18.00,20
"
Bishop's School A",450,9,6,3,270,18.00,St. Augustine A,140,0,4,0,100,25.00,20
"
St. Augustine B",160,0,8,0,80,10.00,Our Lady of Peace B,45,1,3,2,10,2.50,20
"
St. Margaret's Episcopal",330,5,5,1,210,21.00,Francis Parker A,280,5,4,5,190,21.11,20
"
Our Lady of Peace A",190,1,9,1,90,9.00,Westview A,160,3,6,5,80,8.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bishop's School A",510,3,12,3,360,24.00,Our Lady of Peace B,20,0,1,0,10,10.00,20
"
Santa Monica A",495,9,5,2,320,22.86,Olympian A,170,1,5,1,110,18.33,20
"
Arcadia A",505,9,4,4,350,26.92,St. Margaret's Episcopal,185,2,4,1,120,20.00,20
"
Westview A",270,1,10,5,180,16.36,St. Augustine B,145,1,6,0,70,10.00,20
"
Del Norte A",285,3,6,2,190,21.11,Francis Parker A,260,3,6,7,190,21.11,20
"
Our Lady of Peace A",180,1,6,1,110,15.71,St. Augustine A,175,2,6,1,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Arcadia A",590,13,3,1,370,23.12,Santa Monica A,150,3,1,1,100,25.00,20
