\nDowningtown STEM A,300,Quail Academy,85
\nDCC A,730,Great Valley B,15
\nDCC B,310,Manheim Township B,245
\nGreat Valley A,500,Great Valley C,80
\nWissahickon A,365,Berwick A,225
\nElizabethtown,390,Quail Academy,110
\nManheim Township A,425,Great Valley B,200
\nDCC A,665,Downingtown STEM A,90
\nGreat Valley C,310,Manheim Township B,185
\nDCC B,390,Berwick A,205
\nGreat Valley A,360,Wissahickon A,335
\nDCC A,630,Quail Academy,100
\nElizabethtown,405,Great Valley B,145
\nManheim Township A,295,Downingtown STEM A,220
\nWissahickon A,515,Great Valley C,125
\nManheim Township B,320,Berwick A,125
\nDCC B,410,Great Valley A,240
\nDCC A,460,Manheim Township A,230
\nElizabethtown,290,Downingtown STEM A,225
\nGreat Valley B,330,Quail Academy,50
\nDCC B,330,Wissahickon A,305
\nGreat Valley A,305,Manheim Township B,245
\nBerwick A,245,Great Valley C,135
\nDowningtown STEM A,255,Great Valley B,140
\nDCC A,515,Elizabethtown,125
\nManheim Township A,505,Quail Academy,45
\nGreat Valley A,445,Berwick A,125
\nWissahickon A,365,Manheim Township B,200
\nDCC B,485,Great Valley C,65
\nManheim Township A,375,DCC B,225
\nWissahickon A,400,Elizabethtown,185
\nDCC A,380,Great Valley A,325
\nManheim Township B,230,Great Valley B,180
\nGreat Valley C,250,Quail Academy,50
\nDowningtown STEM A,315,Berwick A,105
\nDCC B,360,Wissahickon A,290
\nGreat Valley A,400,Manheim Township A,290
\nDCC A,630,Elizabethtown,110
\nManheim Township B,265,Great Valley C,150
\nBerwick A,300,Great Valley B,175
\nDowningtown STEM A,445,Quail Academy,25
\nDCC A,530,Wissahickon A,140
\nDCC B,380,Great Valley A,250
\nManheim Township A,405,Elizabethtown,200
\nDowningtown STEM A,335,Great Valley C,75
\nManheim Township B,205,Berwick A,90
\nGreat Valley B,300,Quail Academy,60
\nDCC A,445,Manheim Township A,250
\nDCC B,385,Elizabethtown,200
\nGreat Valley A,385,Wissahickon A,235
\nDowningtown STEM A,335,Great Valley B,185
\nManheim Township B,230,Quail Academy,125
\nGreat Valley C,215,Berwick A,180
\nElizabethtown,300,Great Valley A,240
\nDCC A,460,DCC B,195
\nWissahickon A,415,Manheim Township A,260
\nBerwick A,230,Quail Academy,175
\nDowningtown STEM A,310,Manheim Township B,210
\nGreat Valley B,260,Great Valley C,130
