Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Guilder",515,7,8,4,350,23.33,Granite Bay A,120,0,5,2,80,16.00,20
"
Irvington",485,9,7,2,290,18.12,Fremont JFK,95,1,2,0,60,20.00,20
"
Sagittarius B",400,2,14,2,240,15.00,Overlake A,40,0,2,2,30,15.00,20
"
Sacramento Country Day A",375,1,12,2,250,19.23,Overlake B,75,2,2,1,30,7.50,20
"
Mira Loma",435,9,4,6,290,22.31,Challenger-Strawberry Park,205,2,5,1,130,18.57,20
"
Saint Francis",275,0,10,1,180,18.00,San Jose Scholars,215,2,7,1,120,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Granite Bay A",385,3,12,0,220,14.67,Overlake B,45,1,2,2,20,6.67,20
"
Saint Francis",475,5,10,0,300,20.00,Challenger-Strawberry Park,170,3,2,1,110,22.00,20
"
Sagittarius A",475,7,6,2,320,24.62,Guilder,250,3,4,1,170,24.29,20
"
Vista Del Lago A",325,1,11,2,210,17.50,Irvington,195,3,3,4,140,23.33,20
"
Mira Loma",350,3,7,5,260,26.00,Washington,235,3,5,0,140,17.50,20
"
Fremont JFK",195,1,8,2,110,12.22,Overlake A,180,2,6,0,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Sagittarius A",445,8,7,5,280,18.67,Overlake B,20,0,1,0,10,10.00,20
"
Overlake A",280,2,10,0,150,12.50,Vista Del Lago A,110,1,4,7,90,18.00,20
"
Fremont JFK",255,1,10,2,150,13.64,Sagittarius B,145,0,7,3,90,12.86,20
"
Granite Bay A",220,2,7,4,140,15.56,Sacramento Country Day A,150,2,3,0,90,18.00,20
"
Challenger-Strawberry Park",280,2,7,0,180,20.00,San Jose Scholars,210,3,6,1,110,12.22,20
"
Saint Francis",310,3,7,1,200,20.00,Washington,255,5,4,0,140,15.56,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Guilder",630,9,9,1,410,22.78,Sacramento Country Day A,35,0,2,5,40,20.00,20
"
Sagittarius A",510,8,7,2,330,22.00,Granite Bay A,65,1,2,2,40,13.33,20
"
Mira Loma",485,9,5,4,320,22.86,San Jose Scholars,125,2,3,1,70,14.00,20
"
Challenger-Strawberry Park",375,3,10,2,240,18.46,Washington,80,2,2,2,40,10.00,20
"
Irvington",420,6,6,4,290,24.17,Sagittarius B,140,2,4,2,80,13.33,20
"
Fremont JFK",180,0,9,0,90,10.00,Vista Del Lago A,175,2,5,7,130,18.57,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Guilder",590,7,9,3,410,25.62,Overlake B,20,0,2,0,0,0.00,20
"
Irvington",395,6,6,1,250,20.83,Overlake A,105,1,5,2,50,8.33,20
