Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mira Loma B",510,8,5,2,350,26.92,Paideia,135,1,5,2,80,13.33,20
"
Vista Del Lago A",345,2,12,5,220,15.71,Tahoe Truckee,20,0,2,0,0,0.00,20
"
Leland",395,8,5,3,240,18.46,"Fremont JFK (Fremont, CA)",125,2,3,1,70,14.00,20
"
Mira Loma A",385,5,6,6,280,25.45,Challenger-Strawberry Park,265,2,7,1,170,18.89,20
"
Woodland",285,3,7,0,170,17.00,Vista Del Lago B,220,2,6,2,140,17.50,20
"
Pleasanton Conquiztadors",235,1,7,4,170,21.25,Sacramento Country Day,210,3,6,3,120,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Leland",565,3,14,2,390,22.94,Tahoe Truckee,40,0,3,0,10,3.33,20
"
Mira Loma B",495,12,2,3,310,22.14,"Fremont JFK (Fremont, CA)",160,2,3,0,100,20.00,20
"
Mira Loma A",465,11,2,4,300,23.08,Vista Del Lago B,165,4,2,3,100,16.67,20
"
Paideia",355,5,6,0,220,20.00,Vista Del Lago A,225,8,0,5,130,16.25,20
"
Challenger-Strawberry Park",355,5,5,2,240,24.00,Pleasanton Conquiztadors,315,5,5,2,200,20.00,20
"
Sacramento Country Day",270,4,7,2,150,13.64,Woodland,240,1,7,1,160,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mira Loma B",610,12,5,2,390,22.94,Tahoe Truckee,0,0,1,2,0,0.00,20
"
Challenger-Strawberry Park",505,7,8,2,330,22.00,Sacramento Country Day,85,2,1,3,60,20.00,20
"
Mira Loma A",545,12,3,3,350,23.33,Woodland,175,1,4,0,120,24.00,20
"
Vista Del Lago B",295,6,6,1,150,12.50,Pleasanton Conquiztadors,185,2,5,1,110,15.71,20
"
Fremont JFK (Fremont, CA)",275,3,8,2,160,14.55,Paideia,170,5,2,3,90,12.86,20
"
Leland",335,6,4,1,210,21.00,Vista Del Lago A,250,4,5,4,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mira Loma A",625,12,6,1,390,21.67,Sacramento Country Day,55,1,1,2,40,20.00,20
"
Mira Loma B",545,10,4,3,370,26.43,Vista Del Lago A,140,2,3,2,90,18.00,20
"
Pleasanton Conquiztadors",485,7,9,2,300,18.75,Woodland,140,2,2,0,90,22.50,20
"
Challenger-Strawberry Park",395,1,11,2,280,23.33,Vista Del Lago B,220,3,5,5,150,18.75,20
"
Fremont JFK (Fremont, CA)",270,2,9,2,160,14.55,Tahoe Truckee,110,1,5,1,50,8.33,20
