Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",745,9,11,0,500,25.00,Bishop Canevin A,-5,0,0,1,0,0.00,20
"
Pittsburgh Central Catholic",475,3,12,0,310,20.67,Bishop Canevin B,65,0,3,1,40,13.33,20
"
Morgantown B",380,2,12,4,250,17.86,DuBois,85,0,5,1,40,8.00,20
"
Winchester Thurston",305,1,10,2,200,18.18,Mercyhurst Prep,145,0,6,1,90,15.00,20
"
Allderdice A",310,3,7,5,220,22.00,Huntingdon,255,1,8,2,170,18.89,20
"
South Side",250,2,7,6,180,20.00,Allderdice B,205,0,9,1,120,13.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",540,10,6,0,330,20.62,Allderdice A,65,0,3,3,50,16.67,20
"
Mercyhurst Prep",340,5,8,3,200,15.38,Bishop Canevin A,15,0,1,1,10,10.00,20
"
Winchester Thurston",420,2,11,0,280,21.54,Huntingdon,105,1,4,2,60,12.00,20
"
Pittsburgh Central Catholic",285,0,12,1,170,14.17,DuBois,45,1,2,0,10,3.33,20
"
South Side",325,5,5,0,200,20.00,Morgantown B,245,3,5,2,160,20.00,20
"
Allderdice B",180,0,8,0,100,12.50,Bishop Canevin B,130,2,5,0,50,7.14,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",565,9,8,0,350,20.59,Mercyhurst Prep,75,0,2,1,60,30.00,20
"
South Side",385,5,8,2,240,18.46,Bishop Canevin B,75,1,3,0,30,7.50,20
"
Morgantown B",395,5,9,2,240,17.14,Pittsburgh Central Catholic,145,3,2,0,80,16.00,20
"
Allderdice B",215,0,9,1,130,14.44,DuBois,60,1,3,3,30,7.50,20
"
Huntingdon",240,2,8,4,150,15.00,Bishop Canevin A,130,1,5,1,70,11.67,20
"
Winchester Thurston",325,7,3,2,200,20.00,Allderdice A,240,2,7,2,150,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Winchester Thurston",570,4,12,0,390,24.38,Bishop Canevin A,10,0,1,0,0,0.00,20
"
Morgantown B",410,1,11,1,290,24.17,Allderdice B,125,1,4,0,70,14.00,20
"
Allderdice A",360,3,8,1,240,21.82,Mercyhurst Prep,210,3,5,1,120,15.00,20
"
South Side",325,4,7,1,200,18.18,Pittsburgh Central Catholic,220,1,7,1,140,17.50,20
"
Morgantown A",340,3,8,3,230,20.91,Huntingdon,245,1,7,2,170,21.25,20
"
DuBois",155,0,8,3,90,11.25,Bishop Canevin B,125,1,6,0,50,7.14,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",610,9,9,1,390,21.67,Winchester Thurston,55,0,2,1,40,20.00,20
"
South Side",430,3,12,1,270,18.00,DuBois,70,0,4,2,40,10.00,20
"
Allderdice A",325,3,9,4,210,17.50,Bishop Canevin A,60,0,4,0,20,5.00,20
"
Morgantown B",305,0,11,1,200,18.18,Bishop Canevin B,120,0,5,2,80,16.00,20
"
Mercyhurst Prep",335,6,5,3,210,19.09,Huntingdon,185,1,6,2,120,17.14,20
"
Pittsburgh Central Catholic",170,1,6,1,100,14.29,Allderdice B,110,1,5,3,60,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Huntingdon",445,4,11,3,290,19.33,DuBois,40,0,2,0,20,10.00,20
"
Morgantown A",465,6,8,1,300,21.43,Morgantown B,115,2,2,3,80,20.00,20
"
Allderdice A",435,7,7,4,280,20.00,South Side,110,0,4,2,80,20.00,20
"
Mercyhurst Prep",305,6,6,3,170,14.17,Bishop Canevin B,55,1,2,0,20,6.67,20
"
Winchester Thurston",355,4,8,3,230,19.17,Pittsburgh Central Catholic,225,2,6,1,140,17.50,20
"
Allderdice B",230,1,8,1,140,15.56,Bishop Canevin A,105,1,3,0,60,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Huntingdon",430,6,11,2,240,14.12,Bishop Canevin A,50,0,2,2,40,20.00,20
"
Morgantown A",465,7,8,0,280,18.67,Winchester Thurston,135,4,1,3,80,16.00,20
"
South Side",350,6,7,0,190,14.62,Pittsburgh Central Catholic,175,1,6,0,100,14.29,20
"
Allderdice A",350,8,2,4,230,23.00,Morgantown B,215,3,5,2,130,16.25,20
"
Mercyhurst Prep",250,1,9,1,150,15.00,DuBois,130,0,5,0,80,16.00,20
"
Allderdice B",185,0,7,3,130,18.57,Bishop Canevin B,135,0,8,3,70,8.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",620,10,7,0,400,23.53,Pittsburgh Central Catholic,30,1,1,1,10,5.00,20
"
Huntingdon",395,6,9,3,230,15.33,Allderdice B,120,1,4,3,80,16.00,20
"
Allderdice A",405,5,8,2,260,20.00,Winchester Thurston,145,1,4,2,100,20.00,20
"
Mercyhurst Prep",230,5,4,5,140,15.56,Bishop Canevin A,95,1,5,2,40,6.67,20
"
Morgantown B",320,4,6,0,200,20.00,South Side,235,3,6,2,140,15.56,20
"
DuBois (OT)",145,0,9,1,60,8.57,Bishop Canevin B,125,1,6,0,50,7.14,23
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Morgantown A",470,8,5,2,310,23.85,Allderdice A,215,3,4,2,140,20.00,20
"
Morgantown B",330,5,7,3,200,16.67,Pittsburgh Central Catholic,130,0,5,0,80,16.00,20
"
Allderdice B",265,0,10,1,170,17.00,DuBois,75,0,4,1,40,10.00,20
"
Winchester Thurston",320,5,6,1,190,17.27,South Side,235,1,8,0,140,15.56,20
"
Bishop Canevin B (OT)",155,0,8,1,80,13.33,Bishop Canevin A,130,1,6,1,60,8.57,23
"
Huntingdon",240,2,8,2,140,14.00,Mercyhurst Prep,235,3,6,0,130,14.44,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Allderdice A",415,4,9,3,280,21.54,Pittsburgh Central Catholic,155,1,4,0,100,20.00,20
"
Huntingdon",320,2,10,2,200,16.67,Bishop Canevin B,75,0,4,3,50,12.50,20
"
Morgantown A",360,2,8,2,260,26.00,South Side,290,3,6,1,190,21.11,20
"
DuBois",100,1,3,1,60,15.00,Bishop Canevin A,50,0,4,2,20,5.00,20
"
Morgantown B",280,5,4,1,170,18.89,Winchester Thurston,235,1,6,2,170,24.29,20
"
Allderdice B",215,0,8,1,140,17.50,Mercyhurst Prep,210,4,5,4,120,13.33,20
