Russell A,270,Russell County,80
Detroit Country Day (MI),540,Manual B,150
Danville,415,Central Hardin B,80
Edmonson County,385,Johnson Central B,125
DCC B (MI),355,Cookeville B (TN),140
Central Hardin A,360,Adair County,80
Northmont A (OH),320,Dunbar B,285
Henderson County,280,Grayson County,180
Cookeville A (TN),290,Glasgow,80
Northmont B (OH),265,Trinity,240
Manual A,325,Johnson Central A,270
DCC A (MI),425,Casey County,170
Detroit Country Day (MI),700,Woodford County A,30
Russell A,200,Central Hardin B,170
Danville,470,Manual B,120
Dunbar A,450,Cookeville B (TN),160
Johnson Central B,240,Adair County,50
DCC B (MI),400,Central Hardin A,135
Russell B,130,Grayson County,120
Dunbar B,365,Cookeville A (TN),140
Henderson County,410,Glasgow,50
Manual A,410,Woodford County B,20
Trinity,280,Casey County,215
DCC A (MI),540,Johnson Central A,195
Central Hardin B,140,Russell County,130
Danville,380,Woodford County A,145
Manual B,265,Russell A,195
Edmonson County,465,Adair County,10
Dunbar A,450,Central Hardin A,190
DCC B (MI),420,Johnson Central B,130
Northmont A (OH),385,Cookeville A (TN),115
Glasgow,115,Russell B,110
Dunbar B,360,Henderson County,345
Casey County,250,Northmont B (OH),230
DCC A (MI),405,Woodford County B,20
Trinity,310,Johnson Central A,260
Detroit Country Day (MI),620,Danville,155
Manual B,230,Russell County,30
Russell A,200,Woodford County A,150
Central Hardin A,375,Cookeville B (TN),55
DCC B (MI),365,Edmonson County,265
Dunbar A,560,Johnson Central B,70
Grayson County,185,Glasgow,145
Northmont A (OH),365,Henderson County,310
Dunbar B,395,Russell B,30
DCC A (MI),415,Manual A,270
Northmont B (OH),300,Johnson Central A,245
Trinity,305,Woodford County B,30
Manual B,245,Central Hardin B,80
Detroit Country Day (MI),710,Russell A,90
Woodford County A,185,Russell County,20
DCC B (MI),280,Adair County,80
Cookeville B (TN),195,Johnson Central B,190
Dunbar A,410,Edmonson County,205
Henderson County,470,Cookeville A (TN),110
Dunbar B,355,Grayson County,145
Northmont A (OH),555,Russell B,30
Johnson Central A,215,Casey County,175
Manual A,240,Trinity,200
Northmont B (OH),230,Woodford County B,0
Danville,255,Russell A,240
Woodford County A,240,Central Hardin B,80
Detroit Country Day (MI),570,Russell County,30
Central Hardin A,305,Johnson Central B,135
Edmonson County,395,Cookeville B (TN),50
Northmont A (OH),485,Grayson County,85
DCC A (MI),450,Trinity,170
Casey County,255,Woodford County B,40
Manual A,325,Northmont B (OH),155
Dunbar B,465,Glasgow,30
Cookeville A (TN),220,Russell B,100
Dunbar A,555,Adair County,15
Central Hardin A,270,Edmonson County,220
Manual A,295,Casey County,255
Detroit Country Day (MI),595,Central Hardin B,75
Danville,385,Russell County,20
Cookeville B (TN),195,Adair County,70
Manual B,240,Woodford County A,105
Cookeville A (TN),275,Grayson County,125
DCC A (MI),420,Northmont B (OH),40
Johnson Central A,270,Woodford County B,40
Henderson County,395,Russell B,30
Northmont A (OH),405,Glasgow,60
Dunbar A,405,DCC B (MI),180
