Central Hardin A,280,Manual B, 270
Johnson Central A,300,Grayson County,165
Manual A,405,Dunbar B,285
Johnson Central B,230,Central Hardin B,160
Edmonson County,370,Russell A,150
DCC A (MI),420,Northmont A (OH),275
Casey County,320,Glasgow,40
Russell B,130,Woodford County B,100
Northmont B (OH),290,Cookeville A (TN),240
Trinity,310,Henderson County,260
Detroit Country Day (MI),585,Dunbar A,130
Woodford County A,230,Cookeville B (TN),130
Danville,300,DCC B (MI),260
Adair County,130,Russell County,70
Henderson County,465,Central Hardin A,130
Trinity,335,Manual B,235
Woodford County B,90,Russell County,80
Adair County,150,Russell B,100
Casey County,275,Central Hardin B,145
Johnson Central A,220,Woodford County A,215
Grayson County,185,Cookeville B (TN),150
Northmont B (OH),230,Russell A,205
Edmonson County,360,Cookeville A (TN),170
Danville,320,Manual A,250
Dunbar B,320,DCC B (MI),250
Dunbar A,425,Northmont A (OH),225
Johnson Central B,180,Glasgow,90
Detroit Country Day (MI),575,DCC A (MI),190
Trinity,325,Central Hardin A,280
Manual A,380,DCC B (MI),300
Danville,475,Dunbar B,245
Henderson County,380,Manual B,205
Edmonson County,345,Northmont B (OH),130
Cookeville A (TN),335,Russell A,195
Johnson Central A,415,Cookeville B (TN),115
Grayson County,225,Woodford County A,190
Central Hardin B,170,Glasgow,115
Adair County,120,Woodford County B,40
Russell B,100,Russell County,50
DCC A (MI),425,Dunbar A,320
Casey County,310,Johnson Central B,60
Detroit Country Day (MI),630,Northmont A (OH),135
