Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
St. Mark's School of Texas B",485,6,9,1,310,20.67,Cistercian C,110,3,2,3,60,12.00,20
"
Caddo Magnet A",470,9,5,3,300,21.43,TAG Magnet,130,1,4,1,80,16.00,20
"
Cistercian A",375,4,8,3,250,20.83,Strake Jesuit B,230,5,3,1,130,16.25,20
"
St. Mark's School of Texas A",385,7,4,4,260,23.64,Coppell,250,4,5,0,140,15.56,20
"
Kinkaid",325,6,3,5,230,25.56,Greenhill A,290,5,5,1,170,17.00,20
"
Cistercian B",325,5,5,2,210,21.00,Strake Jesuit A,300,7,1,3,200,25.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",625,11,6,0,400,23.53,TAG Magnet,80,0,3,0,50,16.67,20
"
Kinkaid",570,12,4,2,360,22.50,Cistercian C,80,1,3,1,40,10.00,20
"
Greenhill A",440,9,7,1,240,15.00,Coppell,90,0,3,0,60,20.00,20
"
St. Mark's School of Texas A",500,9,5,1,320,22.86,Cistercian B,190,4,1,2,130,26.00,20
"
Caddo Magnet A",435,10,3,3,270,20.77,Strake Jesuit B,210,4,3,2,130,18.57,20
"
St. Mark's School of Texas B",280,3,7,3,180,18.00,Cistercian A,270,4,6,0,150,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
St. Mark's School of Texas B",435,9,5,4,270,19.29,Strake Jesuit B,130,0,5,2,90,18.00,20
"
St. Mark's School of Texas A",385,7,5,4,250,20.83,TAG Magnet,130,1,5,3,80,13.33,20
"
Kinkaid",455,11,2,4,290,22.31,Cistercian A,210,2,4,0,140,23.33,20
"
Coppell",380,2,11,0,240,18.46,Cistercian C,140,4,2,2,70,11.67,20
"
Greenhill A",455,7,6,0,290,22.31,Cistercian B,225,4,3,3,150,21.43,20
"
Strake Jesuit A",415,7,5,0,260,21.67,Caddo Magnet A,250,4,4,4,170,21.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Greenhill A",390,5,8,3,250,19.23,TAG Magnet,90,2,2,2,50,12.50,20
"
Cistercian B",400,5,7,1,260,21.67,Cistercian C,125,3,3,6,80,13.33,20
"
Caddo Magnet A",400,7,6,3,250,19.23,St. Mark's School of Texas B,175,3,2,0,110,22.00,20
"
Kinkaid",435,10,2,3,280,23.33,Strake Jesuit B,235,5,3,0,130,16.25,20
"
Cistercian A",240,4,6,4,140,14.00,Coppell,200,1,7,1,120,15.00,20
"
St. Mark's School of Texas A",340,7,4,3,210,19.09,Strake Jesuit A,310,5,4,3,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",385,6,6,1,240,20.00,Greenhill A,250,6,2,0,140,17.50,20
"
Kinkaid",365,8,3,5,240,21.82,St. Mark's School of Texas B,230,3,5,3,150,18.75,20
"
St. Mark's School of Texas A",375,7,5,4,240,20.00,Caddo Magnet A,265,4,4,5,190,23.75,20
"
Strake Jesuit B",290,2,8,2,190,19.00,Coppell,195,2,6,1,110,13.75,20
"
Cistercian B",335,7,3,2,210,21.00,Cistercian A,255,4,5,3,160,17.78,20
"
Cistercian C (OT)",205,2,8,3,110,12.22,TAG Magnet,195,6,3,3,90,10.00,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",525,11,4,4,340,22.67,Cistercian C,75,0,3,1,50,16.67,20
"
Cistercian A",370,5,7,3,240,20.00,TAG Magnet,100,1,3,3,70,17.50,20
"
Cistercian B",385,8,5,3,230,17.69,Strake Jesuit B,170,3,2,1,110,22.00,20
"
St. Mark's School of Texas B",395,6,6,3,260,21.67,Coppell,195,1,6,0,120,17.14,20
"
St. Mark's School of Texas A",440,7,5,3,300,25.00,Greenhill A,285,3,5,0,190,23.75,20
"
Caddo Magnet A",325,6,4,3,210,21.00,Kinkaid,320,7,2,3,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
St. Mark's School of Texas A",600,12,5,0,370,21.76,Cistercian C,10,0,1,2,10,10.00,20
"
Kinkaid",350,7,4,5,230,20.91,Coppell,180,0,7,0,110,15.71,20
"
TAG Magnet",305,3,9,2,180,15.00,Strake Jesuit B,140,2,3,0,80,16.00,20
