Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Brophy College Prep",245,0,10,1,150,15.00,Hamilton A,65,1,3,0,20,5.00,16
"
Herberger",340,5,5,1,220,22.00,BASIS Scottsdale,170,1,5,1,110,18.33,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger",345,2,10,1,220,18.33,Hamilton A,65,0,3,1,40,13.33,16
"
BASIS Scottsdale",245,2,9,1,130,11.82,Hamilton B,80,1,3,1,40,10.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger",355,2,10,1,230,19.17,Hamilton B,25,0,1,1,20,20.00,16
"
BASIS Scottsdale",180,0,8,0,100,12.50,Brophy College Prep,130,1,5,3,80,13.33,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger",400,6,6,0,250,20.83,Brophy College Prep,45,1,1,2,30,15.00,16
"
Hamilton B",160,2,4,2,100,16.67,Hamilton A,55,0,4,1,20,5.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
BASIS Scottsdale",265,1,9,2,170,17.00,Hamilton A,45,0,3,1,20,6.67,16
"
Hamilton B",140,1,5,1,80,13.33,Brophy College Prep,110,1,5,1,50,8.33,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
BASIS Scottsdale",215,1,8,2,130,14.44,Hamilton B,85,2,3,1,30,6.00,16
"
Hamilton A",155,0,9,1,70,7.78,Brophy College Prep,130,1,4,1,80,16.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger",405,5,9,0,240,17.14,Hamilton A,10,1,0,1,0,0.00,16
"
Hamilton B",170,1,8,1,80,8.89,Brophy College Prep,130,0,5,2,90,18.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger",405,5,9,0,240,17.14,BASIS Scottsdale,85,1,1,0,60,30.00,16
"
Hamilton A",75,0,4,1,40,10.00,Hamilton B,60,2,2,0,10,2.50,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
BASIS Scottsdale",210,1,7,1,130,16.25,Hamilton A,150,2,4,0,80,13.33,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger",310,1,11,1,190,15.83,BASIS Scottsdale,105,0,4,5,90,22.50,16
