Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger A",535,6,10,1,350,21.88,Herberger B,70,1,1,1,50,25.00,20
"
Brophy College Prep",245,2,7,1,150,16.67,Hamilton,90,1,5,5,50,8.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger A",405,3,10,2,270,20.77,Hamilton,145,3,3,2,80,13.33,20
"
Herberger B",215,3,6,2,120,13.33,Brophy College Prep,195,1,7,0,110,13.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger A",475,7,7,0,300,21.43,Brophy College Prep,85,2,2,3,50,12.50,20
"
Herberger B",225,1,10,0,110,10.00,Hamilton,95,1,5,4,50,8.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger A",620,8,10,0,400,22.22,Herberger B,25,0,1,1,20,20.00,20
"
Hamilton",260,2,9,2,150,13.64,Brophy College Prep,155,1,5,4,110,18.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger A",555,4,13,1,370,21.76,Hamilton,0,0,1,2,0,0.00,20
"
Brophy College Prep",205,0,8,1,130,16.25,Herberger B,155,1,7,0,70,8.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Herberger A",475,7,6,2,320,24.62,Brophy College Prep,140,1,4,1,90,18.00,20
"
Hamilton",160,1,6,3,100,14.29,Herberger B,135,0,8,1,60,7.50,20
