Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Seoul Foreign",560,2,16,0,370,20.56,Yongsan International A,45,1,1,0,20,10.00,22
"
Korea International A",500,6,8,0,330,23.57,Korea International E,20,0,1,0,10,10.00,18
"
Seoul International B",335,5,6,4,220,20.00,Korea International D,70,0,5,0,20,4.00,23
"
Taejon A",355,2,13,1,200,13.33,Korea International C,195,2,5,1,120,17.14,24
"
Korea International B",325,2,9,1,210,19.09,Seoul International A,190,1,5,1,130,21.67,19
"
Seoul International C",180,2,6,0,90,11.25,Taejon B,95,1,5,0,30,5.00,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Korea International A",695,6,13,1,480,25.26,Yongsan International B,25,1,0,2,20,20.00,24
"
Seoul International A",530,6,10,4,360,22.50,Seoul International D,65,0,2,1,50,25.00,21
"
Seoul Foreign",300,3,7,1,190,19.00,Korea International C,120,0,4,0,80,20.00,14
"
Seoul International B",285,1,9,2,190,19.00,Seoul International C,115,1,5,2,60,10.00,18
"
Korea International D",135,0,7,1,70,10.00,Taejon B,70,0,5,0,20,4.00,24
"
Taejon A",240,2,8,2,140,14.00,Yongsan International A,225,3,6,2,130,14.44,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Korea International A",615,4,14,1,420,23.33,Korea International D,30,0,3,2,10,3.33,21
"
Seoul International A",515,5,10,2,350,23.33,Yongsan International A,25,0,1,1,20,20.00,18
"
Seoul Foreign",455,4,11,1,290,19.33,Seoul International D,115,0,6,1,60,10.00,22
"
Seoul International B",435,3,11,2,290,20.71,Yongsan International B,115,1,4,2,70,14.00,20
"
Korea International B",355,2,9,1,240,21.82,Taejon A,205,1,9,2,110,11.00,24
"
Korea International E",145,2,5,1,70,10.00,Taejon B,70,0,5,0,20,4.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Seoul International B",485,2,15,1,310,18.24,Taejon B,20,0,1,0,10,10.00,20
"
Korea International A",520,5,11,1,340,21.25,Seoul International C,95,1,3,0,50,12.50,21
"
Seoul Foreign",435,4,10,1,280,20.00,Taejon A,115,1,3,2,80,20.00,18
"
Seoul International A",395,3,8,2,280,25.45,Korea International C,80,0,3,0,50,16.67,15
"
Korea International B",430,1,13,1,290,20.71,Seoul International D,155,1,7,0,70,8.75,24
"
Yongsan International B",315,1,9,0,210,21.00,Korea International E,145,0,6,1,90,15.00,17
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Yongsan International B",395,1,14,0,240,16.00,Taejon B,40,0,2,0,20,10.00,19
"
Seoul International B",405,3,10,0,260,20.00,Korea International E,110,1,3,1,70,17.50,17
"
Korea International C",330,4,8,0,190,15.83,Yongsan International A,65,0,2,1,50,25.00,16
"
Taejon A",425,4,11,1,260,17.33,Seoul International D,165,3,5,2,80,10.00,24
"
Seoul Foreign",370,5,7,3,240,20.00,Korea International B,190,1,6,1,120,17.14,19
"
Seoul International C",280,0,13,0,150,11.54,Korea International D,160,1,6,1,90,12.86,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Korea International A",515,4,12,1,340,21.25,Seoul International B,60,1,2,3,40,13.33,19
"
Seoul International A",390,7,6,1,230,17.69,Seoul Foreign,100,1,3,1,60,15.00,17
"
Seoul International D",240,2,5,0,160,22.86,Yongsan International A,205,1,6,0,130,18.57,15
"
Korea International D",175,1,8,2,90,10.00,Yongsan International B,150,1,7,3,80,10.00,20
"
Seoul International C",140,0,7,0,70,10.00,Korea International E,125,0,6,3,80,13.33,18
"
Korea International B",215,2,6,3,140,17.50,Korea International C,205,1,6,0,130,18.57,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Korea International A",600,6,11,2,410,24.12,Taejon B,0,0,0,0,0,0.00,19
"
Seoul International A",490,4,10,0,330,23.57,Taejon A,60,1,2,3,40,13.33,17
"
Yongsan International B",325,1,11,0,200,16.67,Seoul International C,155,2,4,1,90,15.00,22
"
Korea International C",220,0,10,0,120,12.00,Seoul International D,85,2,4,5,40,6.67,17
"
Korea International B",190,2,5,0,110,15.71,Yongsan International A,155,2,4,1,90,15.00,13
"
Korea International D",195,1,6,0,120,17.14,Korea International E,170,1,8,3,90,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Korea International A",530,7,8,1,350,23.33,Seoul International A,160,1,4,3,120,24.00,23
"
Yongsan International A",230,0,10,2,140,14.00,Taejon B,60,0,3,0,30,10.00,20
"
Korea International B",290,2,7,0,190,21.11,Yongsan International B,165,2,6,1,80,10.00,18
"
Korea International C",195,0,8,1,120,15.00,Korea International D,120,1,6,1,50,7.14,20
"
Seoul International B",250,2,8,2,150,15.00,Seoul Foreign,195,1,6,2,130,18.57,19
"
Korea International E",185,0,9,3,110,12.22,Seoul International D,165,0,8,1,90,11.25,23
"
Seoul International C",180,3,6,1,80,8.89,Taejon A,170,1,5,1,110,18.33,19
