Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",480,6,8,4,330,23.57,Baton Rouge Episcopal B,35,0,2,1,20,10.00,20
"
Baton Rouge Episcopal A",520,7,9,1,330,20.62,St. Paul's,80,0,4,2,50,12.50,20
"
Cistercian B",465,6,8,1,300,21.43,C. E. Byrd,55,0,2,1,40,20.00,20
"
Wilton",480,11,2,1,300,23.08,Episcopal-Acadiana,145,3,1,0,90,22.50,20
"
Catholic A",430,7,7,1,260,18.57,Jesuit B,110,0,4,0,70,17.50,20
"
Cistercian A",335,6,3,1,220,24.44,Texas Math and Science,290,5,3,1,190,23.75,20
"
Caddo Middle",270,4,4,2,180,22.50,Catholic B,235,5,3,2,140,17.50,20
"
Neville",150,0,6,0,90,15.00,Zachary,140,0,7,0,70,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",580,8,9,0,370,21.76,Jesuit B,40,0,2,0,20,10.00,20
"
Cistercian B",420,2,13,2,270,18.00,Zachary,70,0,3,0,40,13.33,20
"
Baton Rouge Episcopal A",410,4,9,2,270,20.77,Episcopal-Acadiana,160,2,4,2,100,16.67,20
"
Cistercian A",400,6,5,0,260,23.64,Jesuit A,210,5,2,5,140,20.00,20
"
Catholic B",300,3,9,5,190,15.83,C. E. Byrd,135,1,5,0,70,11.67,20
"
Texas Math and Science",345,6,5,3,220,20.00,Catholic A,250,2,6,4,180,22.50,20
"
Caddo Middle",280,1,9,3,190,19.00,Baton Rouge Episcopal B,215,0,8,1,140,17.50,20
"
Neville",225,1,9,0,120,12.00,St. Paul's,190,1,7,3,120,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Baton Rouge Episcopal A",495,3,12,0,330,22.00,Jesuit B,105,2,2,1,60,15.00,20
"
Cistercian B",470,6,9,2,300,20.00,Neville,95,1,2,0,60,20.00,20
"
Cistercian A",440,3,11,3,300,21.43,Caddo Middle,105,1,3,2,70,17.50,20
"
Catholic B (OT)",315,3,8,2,200,18.18,Zachary,130,1,6,1,60,12.00,22
"
Catholic A",390,4,8,0,250,20.83,Jesuit A,255,5,3,4,170,21.25,20
"
Episcopal-Acadiana",320,0,12,4,220,18.33,St. Paul's,200,1,6,1,130,18.57,20
"
Wilton",360,5,5,1,240,24.00,Texas Math and Science,345,5,5,0,220,22.00,20
"
Baton Rouge Episcopal B",180,0,9,0,90,10.00,C. E. Byrd,170,0,8,0,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cistercian A",590,7,12,1,370,19.47,C. E. Byrd,-5,0,0,1,0,0.00,20
"
Episcopal-Acadiana",425,3,12,2,270,18.00,Neville,50,0,2,0,30,15.00,20
"
Catholic A",380,3,10,1,240,18.46,Caddo Middle,100,1,3,3,70,17.50,20
"
Cistercian B",355,2,11,1,220,16.92,Catholic B,100,2,2,0,50,12.50,20
"
Baton Rouge Episcopal B",220,0,10,0,120,12.00,Zachary,160,0,7,0,90,12.86,20
"
St. Paul's",225,0,12,1,110,9.17,Jesuit B,170,1,6,1,100,14.29,20
"
Texas Math and Science",345,6,4,1,220,22.00,Baton Rouge Episcopal A,305,1,9,0,200,20.00,20
"
Wilton",375,8,2,1,240,24.00,Jesuit A,365,5,5,0,240,24.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Wilton",610,7,10,1,410,24.12,Caddo Middle,50,1,1,1,30,15.00,20
"
Cistercian A",565,5,11,4,400,25.00,Zachary,60,0,3,0,30,10.00,20
"
Cistercian B",475,5,10,0,300,20.00,Baton Rouge Episcopal B,90,2,3,2,40,8.00,20
"
Texas Math and Science",480,9,5,1,300,21.43,St. Paul's,105,0,6,1,50,8.33,20
"
Jesuit A",475,7,7,2,310,22.14,Baton Rouge Episcopal A,215,4,2,1,140,23.33,20
"
Catholic B",355,2,11,1,220,16.92,Neville,125,1,6,0,50,7.14,20
"
Episcopal-Acadiana",290,2,8,0,180,18.00,Jesuit B,255,2,8,1,150,15.00,20
"
Catholic A",Forfeit, , , , , ,C. E. Byrd,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",425,10,3,3,260,20.00,Neville,180,2,4,0,110,18.33,20
"
Wilton",440,8,5,2,280,21.54,Catholic A,210,3,4,3,140,20.00,20
"
Episcopal-Acadiana",375,6,6,3,240,20.00,Texas Math and Science,200,1,7,3,130,16.25,20
"
Caddo Middle",335,7,4,2,200,18.18,Baton Rouge Episcopal B,165,1,6,2,100,14.29,20
"
Cistercian A",335,4,6,3,230,23.00,Cistercian B,220,1,6,1,150,21.43,20
"
Baton Rouge Episcopal A",315,2,9,3,210,19.09,Catholic B,220,4,4,2,130,16.25,20
"
Jesuit B",215,1,9,2,120,12.00,Zachary,170,2,5,2,100,14.29,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",550,7,9,3,370,23.12,Baton Rouge Episcopal B,0,0,1,2,0,0.00,20
"
Texas Math and Science",410,4,11,0,240,16.00,Catholic B,145,2,3,1,90,18.00,20
"
Caddo Middle",300,3,8,3,190,17.27,Neville,75,2,2,1,30,7.50,20
"
Baton Rouge Episcopal A",390,5,8,1,240,18.46,Episcopal-Acadiana,210,1,6,1,140,20.00,20
"
Wilton",365,7,5,2,220,18.33,Cistercian B,200,2,5,0,120,17.14,20
"
St. Paul's",225,1,9,0,120,12.00,Zachary,60,0,4,0,20,5.00,20
"
Cistercian A",375,4,7,3,260,23.64,Catholic A,275,1,8,2,190,21.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",510,7,8,3,340,22.67,Caddo Middle,65,1,3,2,30,7.50,20
"
Baton Rouge Episcopal A",510,7,9,1,320,20.00,Texas Math and Science,90,1,2,1,60,20.00,20
"
Jesuit B",310,0,12,0,190,15.83,St. Paul's,50,0,3,4,40,13.33,20
"
Episcopal-Acadiana",305,1,10,2,200,18.18,Catholic B,135,2,3,1,80,16.00,20
"
Baton Rouge Episcopal B",225,2,9,1,110,10.00,Neville,60,0,3,2,40,13.33,20
"
Wilton",405,5,6,2,280,25.45,Cistercian A,265,3,6,4,180,20.00,20
"
Catholic A",265,4,5,3,170,18.89,Cistercian B,230,2,7,2,140,15.56,20
