Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Carmel B",495,8,6,1,320,22.86,Detroit Catholic Central B,135,3,2,0,70,14.00,20
"
Edgerton A",325,3,10,0,180,13.85,White Pigeon B,10,0,1,0,0,0.00,20
"
Detroit Catholic Central A",475,7,6,4,330,25.38,Carmel C,185,1,5,2,130,21.67,20
"
Findlay",370,2,11,0,230,17.69,Montpelier A,85,1,3,2,50,12.50,20
"
Carmel A",440,7,4,1,300,27.27,Detroit Catholic Central C,265,5,4,0,150,16.67,20
"
Toledo Arts",335,6,5,5,220,20.00,Pettisville A,205,0,8,1,130,16.25,20
"
St. Francis",305,2,8,1,200,20.00,Detroit Catholic Central D,200,1,7,1,120,15.00,20
"
Hicksville A",160,0,8,0,80,10.00,Stryker A,75,1,2,0,40,13.33,20
"
Pettisville B",160,2,5,2,90,12.86,Hilltop,80,0,4,2,50,12.50,20
"
Riverdale A",210,0,10,2,120,12.00,Evergreen B,140,0,6,0,80,13.33,20
"
Maumee Valley",230,1,8,1,140,15.56,Evergreen A,170,2,5,0,90,12.86,20
"
White Pigeon A",140,1,6,1,70,10.00,Columbian A,115,0,5,3,80,16.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Carmel C",565,8,9,1,360,21.18,Pettisville A,30,0,2,0,10,5.00,20
"
Toledo Arts",545,5,12,2,360,21.18,White Pigeon B,35,0,2,1,20,10.00,20
"
Carmel A",525,7,7,4,370,26.43,White Pigeon A,110,1,3,1,70,17.50,20
"
Carmel B",505,4,12,3,340,21.25,Montpelier A,95,1,3,0,50,12.50,20
"
Detroit Catholic Central A",520,10,4,2,340,24.29,Edgerton A,115,4,0,1,60,15.00,20
"
Findlay",420,2,13,0,260,17.33,Evergreen B,85,1,3,0,40,10.00,20
"
Detroit Catholic Central C",400,5,8,3,260,20.00,Hilltop,80,1,3,3,50,12.50,20
"
Evergreen A",300,3,9,1,170,14.17,Hicksville A,75,1,2,0,40,13.33,20
"
Detroit Catholic Central D",265,2,11,1,130,10.00,Stryker A,85,1,1,0,60,30.00,20
