Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cinco Ranch A",375,7,6,2,220,16.92,Troy B,125,1,4,0,70,14.00,20
"
Jasper A",295,4,6,5,200,20.00,Bellaire B,125,1,5,0,60,10.00,20
"
St. John's",305,1,10,2,200,18.18,Texas Math and Science,140,3,2,3,90,18.00,20
"
Cinco Ranch B",325,5,5,0,200,20.00,Troy A,220,3,5,5,150,18.75,20
"
Jasper B",200,2,5,2,130,18.57,Cinco Ranch C,180,1,8,1,90,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy A",590,9,9,1,370,20.56,Bellaire B,75,1,1,0,50,25.00,20
"
Cinco Ranch A",495,10,6,1,290,18.12,Texas Math and Science,85,1,2,0,50,16.67,20
"
St. John's",360,3,9,1,230,19.17,Troy B,115,3,2,2,60,12.00,20
"
Archbishop Mitty",305,5,6,2,180,16.36,Bellaire A,225,3,5,0,130,16.25,20
"
Jasper A",240,5,3,1,140,17.50,Cinco Ranch B,230,3,6,1,130,14.44,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
St. John's",500,7,8,1,320,21.33,Jasper A,65,0,4,3,40,10.00,20
"
Archbishop Mitty",420,3,12,3,270,18.00,Jasper B,105,1,4,2,60,12.00,20
"
Cinco Ranch A",430,7,6,3,280,21.54,Bellaire B,170,3,3,1,100,16.67,20
"
Bellaire A",375,4,8,1,240,20.00,Cinco Ranch C,180,2,5,2,110,15.71,20
"
Troy B",195,2,6,3,120,15.00,Texas Math and Science,175,2,5,3,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy A",510,9,6,5,340,22.67,Bellaire A,120,0,4,2,90,22.50,20
"
Cinco Ranch A",450,8,6,2,280,20.00,Jasper A,165,2,3,3,120,24.00,20
"
Cinco Ranch B",350,2,11,0,210,16.15,Jasper B,95,0,4,3,70,17.50,20
"
Bellaire B",210,2,7,4,130,14.44,Troy B,150,0,7,2,90,12.86,20
"
Archbishop Mitty",210,2,6,4,140,17.50,Cinco Ranch C,170,2,6,2,90,11.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy A",430,8,5,2,270,20.77,Archbishop Mitty,195,3,4,0,110,15.71,20
"
St. John's",300,3,8,1,180,16.36,Jasper B,160,2,5,2,90,12.86,20
"
Cinco Ranch C",230,2,7,0,130,14.44,Texas Math and Science,125,0,6,3,80,13.33,20
"
Bellaire A",350,6,5,2,220,20.00,Cinco Ranch B,250,2,6,0,160,20.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cinco Ranch B",355,2,11,3,230,17.69,Troy B,120,2,3,2,70,14.00,20
"
Troy A",435,7,5,0,280,23.33,Cinco Ranch A,270,5,3,1,170,21.25,20
"
Jasper A",285,3,6,2,190,21.11,Texas Math and Science,175,3,3,0,100,16.67,20
"
Bellaire B",260,3,7,1,150,15.00,St. John's,220,2,6,4,150,18.75,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cinco Ranch A",465,8,7,3,290,19.33,Cinco Ranch C,130,0,5,0,80,16.00,20
"
Archbishop Mitty",430,3,11,1,280,20.00,Bellaire B,95,2,2,1,50,12.50,20
"
Jasper B",295,2,9,1,180,16.36,Troy B,100,2,4,4,50,8.33,20
"
Bellaire A",300,5,5,1,180,18.00,Jasper A,280,6,3,2,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy A",535,9,9,2,320,17.78,Jasper B,30,0,2,2,20,10.00,20
"
St. John's",535,5,12,0,340,20.00,Cinco Ranch C,75,2,1,1,40,13.33,20
"
Bellaire A",445,6,11,1,250,14.71,Texas Math and Science,95,1,2,0,60,20.00,20
"
Archbishop Mitty",320,4,7,4,210,19.09,Cinco Ranch B,175,1,6,2,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bellaire B",405,2,15,1,230,13.53,Jasper B,35,1,1,4,30,15.00,20
"
Bellaire A",325,3,8,4,220,20.00,Texas Math and Science,150,1,7,1,70,8.75,20
"
Cinco Ranch B",265,1,7,2,190,23.75,Cinco Ranch C,200,3,5,1,110,13.75,20
"
Jasper A",Forfeit, , , , , ,Troy B,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy A",390,8,4,2,240,20.00,Bellaire B,190,4,2,0,110,18.33,20
"
Jasper A",375,5,9,2,220,15.71,St. John's,210,1,5,1,150,25.00,20
"
Bellaire A",320,3,7,3,220,22.00,Archbishop Mitty,245,1,8,2,160,17.78,20
"
Cinco Ranch A",335,6,4,1,210,21.00,Cinco Ranch B,315,7,2,0,190,21.11,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Troy A",380,9,3,3,230,19.17,Bellaire A,195,4,3,1,110,15.71,20
"
Cinco Ranch A",325,5,6,2,200,18.18,Jasper A,260,5,4,3,160,17.78,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Cinco Ranch A",345,5,6,2,220,20.00,Troy A,300,6,3,4,200,22.22,20
