Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
LASA A",410,6,8,2,250,17.86,Heights B,5,0,1,3,10,10.00,20
"
Heights A",410,7,7,3,250,17.86,Strake Jesuit,90,0,3,0,60,20.00,20
"
Westside",215,4,5,5,130,14.44,St. John XXIII,90,0,4,0,50,12.50,20
"
Cy-Fair A",210,2,5,2,140,20.00,Jordan,185,1,8,2,100,11.11,20
"
Academy of Science and Tech A",235,2,7,1,140,15.56,St. Thomas,215,3,5,2,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Heights A",430,8,6,2,260,18.57,St. Thomas,120,0,4,2,90,22.50,20
"
LASA A",410,7,5,3,270,22.50,Strake Jesuit,165,3,4,0,80,11.43,20
"
Academy of Science and Tech A",265,2,9,3,160,14.55,St. John XXIII,140,0,6,0,80,13.33,20
"
Jordan",310,4,8,4,190,15.83,Westside,190,3,4,1,110,15.71,20
"
Cy-Fair A",330,5,5,1,210,21.00,Heights B,235,4,6,1,120,12.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Heights A",455,8,6,5,300,21.43,St. John XXIII,65,0,3,1,40,13.33,20
"
LASA A",430,4,7,2,310,28.18,St. Thomas,190,2,4,2,130,21.67,20
"
Westside",355,3,11,2,210,15.00,Academy of Science and Tech A,155,0,5,1,110,22.00,20
"
Cy-Fair A",250,4,5,2,150,16.67,Strake Jesuit,115,1,6,2,50,7.14,20
"
Heights B",250,3,7,5,160,16.00,Jordan,220,0,9,2,140,15.56,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Heights A",520,5,11,3,350,21.88,Academy of Science and Tech A,70,0,3,0,40,13.33,20
"
Westside",475,3,13,0,300,18.75,Heights B,90,1,2,3,70,23.33,20
"
LASA A",395,5,8,2,250,19.23,St. John XXIII,110,1,4,1,60,12.00,20
"
Jordan",250,1,9,3,160,16.00,Strake Jesuit,140,1,4,1,90,18.00,20
"
St. Thomas",240,1,9,1,140,14.00,Cy-Fair A,230,4,4,2,140,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
LASA A",410,4,10,4,270,19.29,Academy of Science and Tech A,95,1,3,2,60,15.00,20
"
Heights A",320,2,9,4,220,20.00,Westside,125,2,3,3,80,16.00,20
"
Cy-Fair A",255,0,10,3,170,17.00,St. John XXIII,60,0,4,2,30,7.50,20
"
Heights B",310,2,10,2,190,15.83,Strake Jesuit,130,0,6,0,70,11.67,20
"
St. Thomas",230,2,7,2,140,15.56,Jordan,175,1,6,2,110,15.71,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jordan",275,5,6,2,150,13.64,St. John XXIII,25,0,2,1,10,5.00,20
"
Westside",325,2,10,3,210,17.50,Strake Jesuit,120,1,4,3,80,16.00,20
"
Academy of Science and Tech A",265,3,7,0,150,15.00,Cy-Fair A,170,1,5,3,120,20.00,20
"
LASA A",375,6,5,1,240,21.82,Heights A,295,4,4,3,210,26.25,20
"
St. Thomas",265,3,6,0,160,17.78,Heights B,190,4,4,2,100,12.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
St. Thomas",370,3,10,1,230,17.69,Strake Jesuit,75,1,3,0,30,7.50,20
"
Heights A",370,4,10,2,220,15.71,Cy-Fair A,105,1,3,0,60,15.00,20
"
Heights B",270,3,9,5,160,13.33,St. John XXIII,45,1,2,2,20,6.67,20
"
Jordan",285,4,7,1,160,14.55,Academy of Science and Tech A,170,2,6,2,90,11.25,20
"
Westside",290,3,5,1,200,25.00,LASA A,255,4,4,5,180,22.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
LASA A",605,6,12,1,400,22.22,Heights B,60,0,2,0,40,20.00,20
"
Heights A",405,4,10,1,250,17.86,Academy of Science and Tech A,65,1,3,2,30,7.50,20
"
Strake Jesuit",340,3,11,1,190,13.57,St. John XXIII,40,0,2,2,30,15.00,20
"
St. Thomas",305,0,10,1,210,21.00,Cy-Fair A,190,2,6,2,110,13.75,20
"
Westside",250,2,7,2,160,17.78,Jordan,230,3,5,1,140,17.50,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Academy of Science and Tech A",300,1,11,1,180,15.00,Heights B,130,0,5,4,100,20.00,20
"
Cy-Fair A",295,3,7,0,180,18.00,Jordan,180,0,6,2,130,21.67,20
"
LASA A",280,3,8,3,170,15.45,St. Thomas,220,2,5,0,140,20.00,20
"
Heights A",275,3,7,2,170,17.00,Westside,255,3,7,2,150,15.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Heights A",355,4,7,1,230,20.91,LASA A,265,4,4,3,180,22.50,20
