\nCentral,170,Dorman,130
\nCookeville A,350,Jefferson County B,50
\nSouthside A,465,Jefferson County A,40
\nRichlands A,335,Gate City A,120
\nCentral,240,Jefferson County B,135
\nDorman,245,Gate City A,165
\nSouthside A,295,Cookeville A,215
\nRichlands A,410,Jefferson County A,105
\nSouthside A,315,Jefferson County B,75
\nRichlands A,305,Cookeville A,170
\nCentral,260,Gate City A,165
\nDorman,230,Jefferson County A,130
\nRichlands A,350,Jefferson County B,110
\nGate City A,320,Jefferson County A,95
\nSouthside A,290,Central,135
\nCookeville A,265,Dorman,160
\nCookeville A,325,Jefferson County A,85
\nSouthside A,350,Dorman,105
\nRichlands A,265,Central,195
\nGate City A,365,Jefferson County B,65
\nDorman,300,Jefferson County B,100
\nRichlands A,325,Southside A,170
\nCentral,225,Jefferson County A,185
\nCookeville A,355,Gate City A,75
\nRichlands A,410,Dorman,90
\nCookeville A,335,Central,185
\nSouthside A,415,Gate City A,95
\nJefferson County B,185,Jefferson County A,70
