Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Bronx Science",725,9,10,0,490,25.79,Ridgewood B,0,0,1,4,10,10.00,20
"
Darien A",720,7,12,1,500,26.32,Edgemont B,10,0,1,2,10,10.00,20
"
Livingston A",605,12,4,1,390,24.38,Leonia B,35,2,1,1,0,0.00,20
"
Edgemont A",595,3,14,2,420,24.71,Horace Greeley B,30,0,2,0,10,5.00,20
"
Woodland",550,7,9,3,370,23.12,Scarsdale B,70,1,2,1,40,13.33,20
"
Scarsdale A",500,5,10,3,340,22.67,King School Stamford B,80,1,3,3,50,12.50,20
"
Wilton",575,10,4,1,390,27.86,North Babylon A,190,2,4,2,130,21.67,20
"
King School Stamford A",420,3,10,3,290,22.31,Livingston F,115,1,4,0,60,12.00,20
"
Darien B",475,8,5,3,320,24.62,Ridgewood A,185,3,3,2,120,20.00,20
"
West Windsor-Plainsboro North A",440,9,4,3,280,21.54,Ardsley,175,2,4,1,110,18.33,20
"
Staples",430,7,5,3,290,24.17,Greens Farms A,245,2,6,1,160,20.00,20
"
Edison",405,6,6,5,280,23.33,Hastings,225,2,5,1,150,21.43,20
"
Livingston C",315,4,7,5,210,19.09,West Windsor-Plainsboro North B,145,1,4,0,90,18.00,20
"
Livingston B",420,4,8,0,280,23.33,Horace Greeley A,265,5,3,0,160,20.00,20
"
Darien C",285,2,8,3,190,19.00,Clarke,165,3,5,2,80,10.00,20
"
Livingston E",265,2,10,1,140,11.67,Leonia A,190,4,3,6,130,18.57,20
"
Livingston D",365,4,7,1,240,21.82,Somers A,310,3,6,1,210,23.33,20
"
North Babylon B",225,2,8,1,120,12.00,Somers B,215,1,7,0,130,16.25,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",620,13,4,3,400,23.53,Livingston D,60,0,2,0,40,20.00,20
"
Wilton",605,9,7,0,400,25.00,Hastings,50,0,3,2,30,10.00,20
"
Woodland",540,4,12,2,370,23.12,North Babylon B,50,0,2,0,30,15.00,20
"
Staples",505,8,8,1,310,19.38,Livingston F,70,2,1,0,30,10.00,20
"
Livingston B",505,4,11,1,340,22.67,Somers B,90,2,1,0,50,16.67,20
"
Scarsdale A",465,3,11,2,320,22.86,Edgemont B,75,1,3,2,40,10.00,20
"
North Babylon A",465,4,11,1,300,20.00,West Windsor-Plainsboro North B,85,1,2,0,50,16.67,20
"
Livingston A",555,10,4,1,370,26.43,Bronx Science,185,2,3,3,140,28.00,20
"
Darien B",530,8,6,2,360,25.71,Greens Farms A,160,4,2,2,90,15.00,20
"
Darien C",400,2,12,2,260,18.57,Leonia B,40,0,2,2,30,15.00,20
"
Horace Greeley A",440,3,11,3,300,21.43,Scarsdale B,85,1,3,2,50,12.50,20
"
West Windsor-Plainsboro North A",420,6,5,6,310,28.18,Leonia A,155,1,5,0,90,15.00,20
"
Edgemont A",390,2,10,0,260,21.67,Ardsley,125,1,4,2,80,16.00,20
"
Livingston E",255,1,9,2,160,16.00,Horace Greeley B,50,0,2,0,30,15.00,20
"
Edison",410,6,6,4,280,23.33,Livingston C,235,4,3,1,150,21.43,20
"
Ridgewood B",340,2,9,2,230,20.91,Clarke,180,0,7,4,130,18.57,20
"
King School Stamford A",345,3,8,2,230,20.91,Ridgewood A,280,3,6,1,180,20.00,20
"
Somers A",280,2,7,2,190,21.11,King School Stamford B,265,1,9,0,160,16.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",565,10,6,3,370,23.12,King School Stamford B,55,1,1,2,40,20.00,20
"
Bronx Science",510,4,11,4,360,24.00,Clarke,65,0,3,1,40,13.33,20
"
Darien B",510,6,8,6,370,26.43,Livingston F,80,0,4,0,40,10.00,20
"
Woodland",485,10,4,3,310,22.14,Horace Greeley A,140,1,4,3,100,20.00,20
"
Livingston B",395,4,9,5,270,20.77,North Babylon B,50,0,3,0,20,6.67,20
"
Ridgewood A",405,6,7,1,250,19.23,Greens Farms A,100,0,4,2,70,17.50,20
"
West Windsor-Plainsboro North A",450,9,4,3,290,22.31,Edgemont A,175,3,4,0,90,12.86,20
"
Ridgewood B",320,3,10,3,190,14.62,Leonia B,65,0,3,1,40,13.33,20
"
Staples",400,5,7,5,280,23.33,King School Stamford A,170,4,1,2,110,22.00,20
"
Livingston A",375,7,4,2,240,21.82,Darien C,205,2,6,1,120,15.00,20
"
Leonia A",215,1,8,2,130,14.44,Horace Greeley B,45,0,3,1,20,6.67,20
"
Scarsdale A",315,2,8,3,220,22.00,Somers A,175,3,2,2,120,24.00,20
"
Livingston D",300,2,9,2,190,17.27,Edgemont B,165,0,7,1,100,14.29,20
"
Ardsley",230,2,7,0,130,14.44,Livingston E,100,1,4,1,50,10.00,20
"
Wilton",375,4,6,1,260,26.00,Edison,275,3,6,2,180,20.00,20
