Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Norfolk Academic Guild",570,3,12,1,410,27.33,Dinwiddie A,20,1,0,1,10,10.00,20
"
Richard Montgomery",630,10,7,2,420,24.71,Maggie Walker Governor's School D,80,1,2,1,50,16.67,20
"
Maggie Walker Governor's School B",450,2,15,0,270,15.88,Dinwiddie B,20,0,1,0,10,10.00,20
"
Maggie Walker Governor's School A",500,7,8,1,320,21.33,Maggie Walker Governor's School C,95,1,3,2,60,15.00,20
"
Freeman",470,2,13,0,310,20.67,Thomas Edison,150,2,3,0,90,18.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Richard Montgomery",575,6,10,1,390,24.38,Maggie Walker Governor's School B,75,1,3,0,30,7.50,20
"
Thomas Edison",270,2,9,2,160,14.55,Dinwiddie B,20,0,1,0,10,10.00,20
"
Norfolk Academic Guild",310,2,8,2,210,21.00,Maggie Walker Governor's School C,140,1,6,1,70,10.00,20
"
Maggie Walker Governor's School A",325,1,10,0,210,19.09,Freeman,285,5,4,2,180,20.00,20
"
Maggie Walker Governor's School D",165,0,8,1,90,11.25,Dinwiddie A,145,0,9,1,60,6.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Norfolk Academic Guild",450,4,12,2,280,17.50,Dinwiddie B,20,0,2,0,0,0.00,20
"
Freeman",445,3,13,0,270,16.88,Maggie Walker Governor's School B,55,0,3,1,30,10.00,20
"
Richard Montgomery",365,6,6,1,220,18.33,Maggie Walker Governor's School A,180,5,2,1,90,12.86,20
"
Maggie Walker Governor's School C",175,0,9,1,90,10.00,Dinwiddie A,100,1,5,3,50,8.33,20
"
Maggie Walker Governor's School D",160,1,7,3,90,11.25,Thomas Edison,130,1,6,3,70,10.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Richard Montgomery",555,7,10,2,360,21.18,Dinwiddie B,5,0,1,1,0,0.00,20
