Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Burlington",155,1,6,2,90,12.86,Essex A,55,0,3,3,40,13.33,16
"
Hanover",180,2,5,2,110,15.71,South Burlington A,90,1,4,3,50,10.00,16
"
South Burlington B",135,2,5,1,60,8.57,Champlain Valley B,60,1,3,5,40,10.00,16
"
Champlain Valley A",165,3,4,6,110,15.71,Champlain Valley C,105,1,4,2,60,12.00,13
"
Mt. Abraham A",140,1,6,1,70,10.00,Rice Memorial,125,1,5,2,70,11.67,15
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Burlington",310,2,9,2,200,18.18,South Burlington B,55,1,2,0,20,6.67,16
"
Hanover",270,4,7,2,150,13.64,Champlain Valley C,55,1,1,2,40,20.00,17
"
Champlain Valley B",190,4,6,2,80,8.00,Rice Memorial,70,1,2,1,40,13.33,17
"
South Burlington A",160,2,6,2,80,10.00,Mt. Abraham A,75,0,3,1,50,16.67,16
"
Essex A",215,2,5,1,140,20.00,Champlain Valley A,205,3,4,4,140,20.00,16
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hanover",300,3,9,1,170,14.17,Rice Memorial,70,1,2,1,40,13.33,17
"
Essex A",275,3,8,0,150,13.64,South Burlington B,50,2,1,2,20,6.67,14
"
Champlain Valley B",185,2,6,3,110,13.75,Mt. Abraham A,40,0,3,2,20,6.67,15
"
Champlain Valley A",225,1,8,4,150,16.67,South Burlington A,130,2,4,2,70,11.67,16
"
Champlain Valley C",235,3,6,0,130,14.44,Burlington,230,3,5,3,150,18.75,19
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Champlain Valley A",380,4,9,0,230,17.69,Burlington,70,2,1,4,50,16.67,17
"
Hanover",305,6,5,1,170,15.45,Champlain Valley B,55,1,2,0,20,6.67,15
"
Essex A",245,4,5,1,140,15.56,Mt. Abraham A,90,0,3,0,60,20.00,15
"
Champlain Valley C",200,1,6,1,130,18.57,South Burlington B,140,0,7,0,70,10.00,15
"
South Burlington A",180,0,7,0,110,15.71,Rice Memorial,145,4,3,1,60,8.57,15
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Burlington",320,4,7,0,190,17.27,Rice Memorial,15,0,1,1,10,10.00,18
"
Champlain Valley A",250,2,6,2,170,21.25,South Burlington B,10,0,2,2,0,0.00,15
"
Hanover",290,3,8,1,170,15.45,Mt. Abraham A,50,0,2,0,30,15.00,17
"
Essex A",205,3,6,0,100,11.11,Champlain Valley C,155,2,3,1,100,20.00,18
"
South Burlington A",180,1,6,3,120,17.14,Champlain Valley B,175,0,7,1,110,15.71,17
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
South Burlington A",180,1,8,1,90,10.00,Mt. Abraham A,60,0,3,0,30,10.00,15
"
Rice Memorial",165,1,5,0,100,16.67,South Burlington B,70,1,3,3,40,10.00,15
"
Champlain Valley A",245,5,3,4,160,20.00,Essex A,180,0,7,0,110,15.71,16
"
Champlain Valley C",170,1,5,1,110,18.33,Champlain Valley B,140,3,4,1,60,8.57,17
"
Hanover (OT)",240,2,8,2,140,17.50,Burlington,220,2,8,4,130,14.44,21
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hanover",230,2,7,0,130,14.44,Champlain Valley A,125,2,4,3,70,11.67,17
"
Rice Memorial",180,2,6,2,100,12.50,Champlain Valley B,120,3,1,1,70,17.50,16
"
Mt. Abraham A",145,1,5,0,80,13.33,South Burlington B,105,2,2,1,60,15.00,16
"
South Burlington A",185,1,5,0,120,20.00,Champlain Valley C,170,2,5,2,100,14.29,17
"
Essex A",225,3,5,0,130,16.25,Burlington,215,1,6,2,150,21.43,16
