Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Caddo Magnet A",460,10,3,6,310,23.85,St. Paul's,20,0,1,0,10,10.00,20
"
Jesuit A",515,6,9,3,350,23.33,Grapevine,80,0,4,2,50,12.50,20
"
Greenhill",475,3,12,0,310,20.67,Caddo Magnet B,90,2,2,2,50,12.50,20
"
Episcopal-Acadiana",340,1,12,1,210,16.15,C. E. Byrd,85,1,3,0,40,10.00,20
"
Cistercian B",290,0,11,2,190,17.27,Zachary,130,0,5,2,90,18.00,20
"
Cistercian A",250,2,6,4,180,22.50,Jesuit B,240,2,8,2,140,14.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",540,3,14,1,360,21.18,Cistercian B,80,0,3,2,60,20.00,20
"
Greenhill",485,4,12,1,310,19.38,C. E. Byrd,40,0,2,0,20,10.00,20
"
Caddo Magnet A",395,5,8,6,270,20.77,Zachary,100,1,4,1,50,10.00,20
"
Episcopal-Acadiana",275,3,7,4,180,18.00,Cistercian A,200,0,8,2,130,16.25,20
"
St. Paul's",200,1,9,1,100,10.00,Grapevine,155,2,4,1,90,15.00,20
"
Jesuit B",235,1,7,0,150,18.75,Caddo Magnet B,200,2,5,2,130,18.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Greenhill",530,6,10,0,340,21.25,Jesuit B,70,0,3,2,50,16.67,20
"
Jesuit A",475,5,10,2,310,20.67,Zachary,20,0,1,0,10,10.00,20
"
Episcopal-Acadiana",345,4,9,3,210,16.15,Caddo Magnet B,95,0,4,1,60,15.00,20
"
Caddo Magnet A",285,3,7,8,210,21.00,Grapevine,150,1,6,1,80,11.43,20
"
Cistercian B",240,0,9,2,160,17.78,St. Paul's,115,0,7,1,50,7.14,20
"
Cistercian A",245,2,9,1,130,11.82,C. E. Byrd,170,2,5,0,90,12.86,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Jesuit A",445,4,11,3,290,19.33,St. Paul's,60,1,2,1,30,10.00,20
"
Caddo Magnet A",485,7,6,2,330,25.38,Cistercian B,170,2,5,0,90,12.86,20
"
Greenhill",380,5,7,1,240,20.00,Episcopal-Acadiana,225,2,6,1,140,17.50,20
"
Jesuit B",225,0,11,3,130,11.82,C. E. Byrd,100,1,4,1,50,10.00,20
"
Zachary",200,1,7,1,120,15.00,Grapevine,85,2,3,3,40,8.00,20
"
Cistercian A",245,2,8,5,160,16.00,Caddo Magnet B,195,0,9,1,110,12.22,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Episcopal-Acadiana",335,3,9,4,220,18.33,Jesuit B,115,0,6,3,70,11.67,20
"
Caddo Magnet B",285,1,12,2,160,12.31,C. E. Byrd,110,0,5,0,60,12.00,20
"
Greenhill",305,3,8,0,180,16.36,Cistercian A,180,0,8,0,100,12.50,20
"
Cistercian B",230,0,10,2,140,14.00,Grapevine,115,2,3,3,70,14.00,20
"
Caddo Magnet A",400,7,4,1,260,23.64,Jesuit A,300,4,5,0,190,21.11,20
"
Zachary",180,0,9,4,110,12.22,St. Paul's,155,1,5,2,100,16.67,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Greenhill",550,4,14,0,350,19.44,Cistercian B,-10,0,1,6,10,10.00,20
"
Caddo Magnet A",530,9,6,3,350,23.33,Cistercian A,125,2,2,1,80,20.00,20
"
Jesuit A",380,4,9,0,230,17.69,Episcopal-Acadiana,125,2,3,3,80,16.00,20
"
Caddo Magnet B",330,1,11,3,220,18.33,St. Paul's,85,1,3,2,50,12.50,20
"
Jesuit B",340,2,10,0,210,17.50,Grapevine,120,2,5,4,60,8.57,20
"
Zachary",300,2,10,2,180,15.00,C. E. Byrd,150,0,7,0,80,11.43,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Caddo Magnet A",485,8,7,3,310,20.67,Episcopal-Acadiana,105,2,2,1,60,15.00,20
"
Jesuit B",245,5,7,2,110,9.17,St. Paul's,85,1,4,2,40,8.00,20
"
Caddo Magnet B",270,3,7,3,170,17.00,Zachary,145,1,6,0,70,10.00,20
"
Jesuit A",360,8,3,2,220,20.00,Greenhill,255,4,4,1,160,20.00,20
"
Cistercian A",255,3,6,2,160,17.78,Cistercian B,170,0,8,2,100,12.50,20
"
C. E. Byrd",170,0,8,0,90,11.25,Grapevine,95,1,5,4,50,8.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Caddo Magnet B",250,2,8,2,150,15.00,Grapevine,80,0,4,4,60,15.00,20
"
C. E. Byrd",155,3,7,0,40,4.00,St. Paul's,95,1,5,2,40,6.67,20
"
Jesuit B",230,5,6,1,100,9.09,Zachary,170,0,8,0,90,11.25,20
"
Cistercian B",290,4,5,0,180,20.00,Episcopal-Acadiana,230,4,5,4,140,15.56,20
"
Greenhill",295,4,5,1,190,21.11,Caddo Magnet A,265,5,4,4,170,18.89,20
"
Cistercian A",280,3,7,1,170,17.00,Jesuit A,265,5,4,4,170,18.89,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Caddo Magnet A",410,5,8,1,260,20.00,Greenhill,155,3,2,0,90,18.00,20
